Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-23-2024_Slot1-270_5735.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-23-2024_Slot1-271_5736.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-23-2024_Slot1-272_5737.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-235_5745.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-236_5746.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-237_5747.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-238_5748.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-239_5749.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-273_5738.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-274_5739.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-275_5740.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-276_5741.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-277_5742.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-278_5743.d	D:\LucyC\20240419_huh7_sample_prep\Lucy_huh7_C_SC_058_4-24-2024_Slot1-279_5744.d
P56556	P56556	NDUA6_HUMAN	NDUFA6	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 6			1142.08		1766				1228.54		1186.8				
P57088	P57088	TMM33_HUMAN	TMEM33	Transmembrane protein 33	3291.72	2489.3	3041.92	5154.25	3812.39	1996.63			1393.93		1677.62	3244.07	3511.19	997.348	
P57105	P57105	SYJ2B_HUMAN	SYNJ2BP	Synaptojanin-2-binding protein	1274.33		846.275	759.46	919.712	794.285					896.922	770.545	679.926		
P57740	P57740	NU107_HUMAN	NUP107	Nuclear pore complex protein Nup107	926.314	1203.01	1182.85	1284.31	1050.74	996.966			943.17		1086.91	1135.56	1708.68		
P58107	P58107	EPIPL_HUMAN	EPPK1	Epiplakin	1029.55	627.014		943.255		847.021	3902.81								
P58546	P58546	MTPN_HUMAN	MTPN	Myotrophin	1018.44	1093.84	1267.75			830.262			1200.23			1342.99	1095.55		
P59998	P59998	ARPC4_HUMAN	ARPC4	Actin-related protein 2/3 complex subunit 4	7790.11	5339.09	6272.26	2230.83	1862.06	5601.52	2635.42		4601.22	2926.78	2252.75	8506.44	7288.58	3578.94	2796.12
P60174	P60174	TPIS_HUMAN	TPI1	Triosephosphate isomerase	4609.48	4026.79	4445.84	2984.31	1509.98	3942.15	6395.94		9566.66	7012.64	4645	3963.03	3575.32	4241.54	3802.48
P60228	P60228	EIF3E_HUMAN	EIF3E	Eukaryotic translation initiation factor 3 subunit E	3207.21	3315.06	3043.74	1975.16		3108.84			2410.19		1406.73	3721.46	2362.8		
P60468	P60468	SC61B_HUMAN	SEC61B	Protein transport protein Sec61 subunit beta	1675.63	2046.58	2262.7	3544.27	2043.7	1532.06			1640.72		2866.47	2544.67	3068.29	1057.21	
P60510	P60510	PP4C_HUMAN	PPP4C	Serine/threonine-protein phosphatase 4 catalytic subunit	830.938	1008.97	903.286			813.982			697.751			779.085	739.359		
P60660	P60660	MYL6_HUMAN	MYL6	Myosin light polypeptide 6	8528.93	4619.32	8200.61	5018.54	1482.06	4869.03	1596.09		4752.49	1238.07	1620.27	6614.56	6434.26	1314.89	958.232
P60709;P63261	P63261;P60709	ACTB_HUMAN;ACTG_HUMAN	ACTB;ACTG1	Actin, cytoplasmic 1	249655	226412	255576	96755.1	122189	197854	47185.4		231226	52790.2	120582	296128	234013	59486.3	35998.4
P60842	P60842;Q14240	IF4A1_HUMAN	EIF4A1	Eukaryotic initiation factor 4A-I	30777	29013.6	24088.6	12844.6	1668.78	28052.1	4149.96		22841.8	6245.32	2359.73	28067.2	24400.9	5734.81	3430.26
P60866	P60866	RS20_HUMAN	RPS20	40S ribosomal protein S20	7214.18	9272.27	6548.11	1693.02		7054.6			5132.42			6683.56	8630.72	1106.81	
P60891	P21108;P11908;P60891	PRPS1_HUMAN	PRPS1	Ribose-phosphate pyrophosphokinase 1	3015.82	3571.06	2509.18	1172.15		3200.43			3328.15			2425.18	4088.28	1231.3	
P60900	P60900	PSA6_HUMAN	PSMA6	Proteasome subunit alpha type-6	7870.13	7598.09	5660.52	1957.79	1817.77	8692.94	2164.18		7248.21	2771.31	2062.44	8272.77	6916.3	4232.83	2052.02
P60903	P60903	S10AA_HUMAN	S100A10	Protein S100-A10	3809.2	3304.46	5797.46		1052.24	4772.94			5527.91		427.524	4589.03	1836.41	4446.93	
P60953	P60953	CDC42_HUMAN	CDC42	Cell division control protein 42 homolog	889.901	968.334	1392.12		553.626	1359.61			888.459			1521.91	921.854		
P60981	P60981	DEST_HUMAN	DSTN	Destrin	3779.88	3030.85	2473.99	842.073		1780.46			2446.37		462.81	3045.23	1670.62	752.719	
P60983	P60983	GMFB_HUMAN	GMFB	Glia maturation factor beta	1420.53	1795.63	1543.23			1968.16			1018.98			3119.49	1490.01		
P61006	P61006	RAB8A_HUMAN	RAB8A	Ras-related protein Rab-8A	1376.47	1940.35	1606.63	704.475	1680.1	1456.84			1078.59		957.448	833.804	894.44		
P61009	P61009	SPCS3_HUMAN	SPCS3	Signal peptidase complex subunit 3	1663.19	2379.63	2268.21	4351.26	2440.25	2849.73			1490.98	3258.29	2508.44	2479.21	2047.4	4198.29	
P61011	P61011	SRP54_HUMAN	SRP54	Signal recognition particle 54 kDa protein	2074.09	1052.49	792.23	763.348		1204.03			815.46			1211.86	1996.99		
P61019	P61019;Q8WUD1	RAB2A_HUMAN	RAB2A	Ras-related protein Rab-2A	2638.49	2697.03	3414.22	3743.73	4450.6	2916.67			2951.24	2106.04	2524.21	2905.2	4067.95		
P61020	P61020	RAB5B_HUMAN	RAB5B	Ras-related protein Rab-5B	1083.99	763.591	913.195	1252.77	657.868	700.709			1560.8			969.328	1062.65		
P61026	P61026	RAB10_HUMAN	RAB10	Ras-related protein Rab-10	3811.77	2513.12	3500.89	3978.16	4534.3	3011.45			2090.82		2249.49	3323.01	2181.9	1234.6	
P61077;P62837	P61077;P62837	UB2D2_HUMAN;UB2D3_HUMAN	UBE2D2;UBE2D3	Ubiquitin-conjugating enzyme E2 D3	2877.43	3577.76	3340	1531.39		3605.83			4742.38			3155.25	3798.24	2075.83	
P61081	P61081	UBC12_HUMAN	UBE2M	NEDD8-conjugating enzyme Ubc12	4154.16	3147.2	2928.76	1953.99		3856.5			2986.77			4343.9	3837.67		
P61086	P61086	UBE2K_HUMAN	UBE2K	Ubiquitin-conjugating enzyme E2 K	3135.89	4235.22	2503.55	1199.05		3484.6			2953.42			4246.38	2946.3		
P61088	P61088	UBE2N_HUMAN	UBE2N	Ubiquitin-conjugating enzyme E2 N	10181.7	11589.6	9913.54	3353.57	541.512	8964.79	2117.95		11704.9	1409.73	1360.49	12229.1	12130.8	1843.89	2537.12
P61106	P61106	RAB14_HUMAN	RAB14	Ras-related protein Rab-14	4549.84	3848.34	5924.96	4396.18	4567.27	3622.38	1184.52		2477.27		3521.58	4824.59	3637.15	2691.73	
P61158	P61158	ARP3_HUMAN	ACTR3	Actin-related protein 3	4564.59	3031.25	3899.27	1592.35	1095.86	3485.7			3356.23	992.906	1694.49	5508.89	4477.44	1136.62	
P61160	P61160	ARP2_HUMAN	ACTR2	Actin-related protein 2	2076.12	1606.41	2264.56	2035.86	846.487	2158.18			1398		776.085	2614.22	2480.11		
P61163	P61163;P42025	ACTZ_HUMAN	ACTR1A	Alpha-centractin	3940.17	3600.29	4788.26	3150.27		4526.8			3189.96			4297.41	4322.73		
P61201	P61201	CSN2_HUMAN	COPS2	COP9 signalosome complex subunit 2	999.705		802.171			1379.55			1509.85			1484.91	648.398		
P61204;P84077	P61204;P84077	ARF1_HUMAN;ARF3_HUMAN	ARF1;ARF3	ADP-ribosylation factor 3	6102.34	5977.66	7252.69	3450.72	344.755	4984.32	1370.14		5851.76		1105.34	6406.35	7875.79		
P61221	P61221	ABCE1_HUMAN	ABCE1	ATP-binding cassette sub-family E member 1	2156.1	1664.08	1314.29	1018.28		1990.9			1950.85			1636.15	1809.28		
P61224	P62834;P61224	RAP1B_HUMAN	RAP1B	Ras-related protein Rap-1b	7618.7	9803.14	9756.06	8311.41	7407.68	10196.7			7786.16	2688.47	3015.85	7868.72	11805.9	4616.63	
P61225	Q9Y3L5;P10114;P61225	RAP2B_HUMAN	RAP2B	Ras-related protein Rap-2b	644.497	1523.01	1694.96	1481.05	1071.43	1157.95			829.982		1308.23		1374.18		
P61247	P61247	RS3A_HUMAN	RPS3A	40S ribosomal protein S3a	12913.3	18737.9	11774.9	2991.46	1917.06	12979.6			12658.7		2660.34	13994.7	15995.5	6790.95	1411.22
P61254	P61254;Q9UNX3	RL26_HUMAN	RPL26	60S ribosomal protein L26	14123.8	15953.9	13234.1	4036.47	1743.97	12368	978.047		13692.8	1461.57	2874.23	14310.1	20079.8	11798.3	1298.83
P61289	P61289	PSME3_HUMAN	PSME3	Proteasome activator complex subunit 3	3856.6	3690.12	2523.7	1263.15		3342.03			2536.29		2914.58	3961.69	1996.63		
P61313	P61313	RL15_HUMAN	RPL15	60S ribosomal protein L15	11051.8	11874.9	10421.7	4000.78	2838.76	8586.59	887.036		10565.9		3366.76	10218.9	16479.9	7182.94	
P61326;Q96A72	P61326;Q96A72	MGN2_HUMAN;MGN_HUMAN	MAGOH;MAGOHB	Protein mago nashi homolog	1303.08	665.812	1249.12		615.803	1371.23			1191.8		1066.74	980.872	1413.76		
P61353	P61353	RL27_HUMAN	RPL27	60S ribosomal protein L27	16707.6	19465.9	15815.3	5686.95	5624.93	16817.7	3277.73		20105.4	3414.32	7926.19	18613	25477	16842.5	
P61421	P61421	VA0D1_HUMAN	ATP6V0D1	V-type proton ATPase subunit d 1	1525.9	1462.59	881.788	1608.72	1295.6	887.214			975.21			1872.56	1077.97		
P61513	P61513	RL37A_HUMAN	RPL37A	60S ribosomal protein L37a	2756.17	3849.95	2641.32	1078.34	742.441	2380.08			3091.45		955.203	3553.39	4435.83	1722.09	
P61586	P61586;P08134;P62745	RHOA_HUMAN	RHOA	Transforming protein RhoA	3877.39	3103.14	2630.5	3081.51	1668.12	3485.77			2995.23			3563.09	2837.58		
P61604	P61604	CH10_HUMAN	HSPE1	10 kDa heat shock protein, mitochondrial	4777.2	5060.22	5474.96	7241.27	5421.01	5751.56			6064.46	2829.5	6520.85	4155.98	5026.23	7741.84	5217.76
P61619	Q9H9S3;P61619	S61A1_HUMAN	SEC61A1	Protein transport protein Sec61 subunit alpha isoform 1	2586.93	3580.82	3305.44	4630.14	2490.96	4172.65			2533.19	1205.72	5269.07	3039.08	3814.39	1936.32	
P61626	P61626	LYSC_HUMAN	LYZ	Lysozyme C	2438.63	3553.31	1829.77	5476.49	2464.35	2736.96	7833.55		3636.99	8833.05	4664.02	2596.04	1851.62	10099	6310.95
P61758	P61758	PFD3_HUMAN	VBP1	Prefoldin subunit 3			1243.31			1211.54			967.172			1540.66	1193.09		
P61803	P61803	DAD1_HUMAN	DAD1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1	7022.92	6193.66	6859.26	15750.5	7078.77	6361.88	721.536		5204.07	3242.22	10697.8	8734.29	7291.59	4959.65	
P61923	P61923	COPZ1_HUMAN	COPZ1	Coatomer subunit zeta-1	2222.62	1496.62	1607.52	1784.93		2468.55			2579.84			2182.51	2132.04		
P61956	P61956;P55854;Q6EEV6	SUMO2_HUMAN	SUMO2	Small ubiquitin-related modifier 2	8672.88	8192.99	8202.39	1496.61	463.139	9997.77	1430.06		5641.63	1224.26	1324.13	8973.69	7122.75	1585.4	851.203
P61970	P61970	NTF2_HUMAN	NUTF2	Nuclear transport factor 2	4486.98	4689.98	4077.32	1399.91	349.561	3026.56	1855.92		4706.57	3386.72	1615.1	4194.21	4668.61	2135.33	
P61978	P61978	HNRPK_HUMAN	HNRNPK	Heterogeneous nuclear ribonucleoprotein K	14247.4	13933.9	14208.7	2558.29	3036.47	14167.6	1994.39		16057.5		2587.41	12679.6	12570.1	3316.52	1098.5
P61981	P61981	1433G_HUMAN	YWHAG	14-3-3 protein gamma	25312.3	27116	26740	5732.65	2436.15	24359.1	4381.89		23226.2	5814.54	3324.25	25463.1	24854.2	6487.99	5375.27
P62070	P62070	RRAS2_HUMAN	RRAS2	Ras-related protein R-Ras2		1755.92	2040.74	1315.55	2245.15	1834.27						1771.33	1225.36		
P62081	P62081	RS7_HUMAN	RPS7	40S ribosomal protein S7	15664.6	19665.8	14647.2	3494.86	1122.96	15596.2			15118.4		2002.65	15573.7	20127.5	9187.12	1750.63
P62136	P62136	PP1A_HUMAN	PPP1CA	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit	2780.34	2334.71	2501.83		863.256	3054.54	1405.37		2276.87	2554.71	530.366	2346.02	2311.79		
P62140	P62140	PP1B_HUMAN	PPP1CB	Serine/threonine-protein phosphatase PP1-beta catalytic subunit	1519.43	1039.38	978.683			1835.09			986.227			1099.63	1002.6		
P62191	P62191	PRS4_HUMAN	PSMC1	26S proteasome regulatory subunit 4	2517.35	1944.07	1923.46	1073.58	392.564	2509.93			1924.96			3007.53	2092.46		
P62195	P62195	PRS8_HUMAN	PSMC5	26S proteasome regulatory subunit 8	3634.27	2566.83	2997.35	2255.6	1064.4	2466.63			2168.43			2693.05	2871.08		
P62241	P62241	RS8_HUMAN	RPS8	40S ribosomal protein S8	14082	20467.6	12590.8	3820.64	2298.04	14613	2768.35		13082	2537.78	2399.04	15897.7	17783	10756.1	2131.13
P62244	P62244	RS15A_HUMAN	RPS15A	40S ribosomal protein S15a	21936.6	27673.8	21487.2	8205.46	3087.84	22545.8	2696.7		24152.6	6455.81	4951.42	23236.7	30441.4	17125.8	3757.78
P62249	P62249	RS16_HUMAN	RPS16	40S ribosomal protein S16	17393.9	24893.3	16250.9	4957.88	2264.6	18131	2386.81		16222.8	3170.46	3145.75	17596.3	21620.8	11234.5	1704.77
P62258	P62258	1433E_HUMAN	YWHAE	14-3-3 protein epsilon	77725.6	55584.5	66323.9	14625.5	7493.88	82154.5	18790.2		50862.7	16732.3	11683	68156	60637.4	18920.6	21323.4
P62263	P62263	RS14_HUMAN	RPS14	40S ribosomal protein S14	13283.1	16686.4	13517.2	2560.69	1918.53	13477.4			14236	1357.28	1961.75	13313	15810.9	6985.97	
P62266	P62266	RS23_HUMAN	RPS23	40S ribosomal protein S23	5099.99	8200.94	5986.17	2364.07	729.085	5652.05	1119.86		5202.23	1546.98		6612.64	7768.79	2858.16	
P62269	P62269	RS18_HUMAN	RPS18	40S ribosomal protein S18	14999.2	20844.1	14171.1	5133.53	1071.5	13971.8	3214.59		13173.4		2542.54	15874.9	20435	7605.12	2032.95
P62277	P62277	RS13_HUMAN	RPS13	40S ribosomal protein S13	22853.4	29962.5	19697.4	9662.9	4426.6	19888.8	3371.78		20845.6		3296.21	22151.4	27830	15266.7	
P62280	P62280	RS11_HUMAN	RPS11	40S ribosomal protein S11	13112.6	17508.1	12282.1	4555.51	1825.07	11955.9			10444.6		1943.4	13568.9	16843.6	6586.62	
P62304	P62304	RUXE_HUMAN	SNRPE	Small nuclear ribonucleoprotein E		944.125	1076.98			1261.9			764.65			1303.64			
P62306	P62306	RUXF_HUMAN	SNRPF	Small nuclear ribonucleoprotein F		704.008	556.909		577.929	627.592			929.033			758.042	491.711		
P62310	P62310	LSM3_HUMAN	LSM3	U6 snRNA-associated Sm-like protein LSm3	2378.54	1159.49	1800.65		716.236	3590.11			1374.48		721.899	4162.44	2753.13	1951.89	1115.55
P62312	P62312	LSM6_HUMAN	LSM6	U6 snRNA-associated Sm-like protein LSm6	856.138	1893.05	1623.52			2596.34			1538.34			1960.62	1351		
P62314	P62314	SMD1_HUMAN	SNRPD1	Small nuclear ribonucleoprotein Sm D1	4072.36	4734.81	3590.35		1398.84	5100.88			4252.4			3865.34	3584.99		
P62316	P62316	SMD2_HUMAN	SNRPD2	Small nuclear ribonucleoprotein Sm D2	3917.55	2316.25	3358.85		1931.9	5599.39			4211.47		1614.7	3512.95	3087.85		
P62318	P62318	SMD3_HUMAN	SNRPD3	Small nuclear ribonucleoprotein Sm D3	3147.99	3235.76	3271.76	1250.5	3059.37	4742.01			4132.43		1502.82	4108.28	2670.59	2252.01	
P62328	P62328	TYB4_HUMAN	TMSB4X	Thymosin beta-4	14548.3	4824.77	9953.75	2131.42	883.862	6410	1574.75		11814.8	771.377	2039.53	6416.92	11403	1597.17	2889.1
P62330	P62330	ARF6_HUMAN	ARF6	ADP-ribosylation factor 6	1149.79	1166.17		1333.4		1402.78			1173.51			909.704	1489.6		
P62333	P62333	PRS10_HUMAN	PSMC6	26S proteasome regulatory subunit 10B	2094.01	2105.25	2489.4	1069.71	609.002	2400.74			1835.05			2644.59	1761.69		
P62424	P62424	RL7A_HUMAN	RPL7A	60S ribosomal protein L7a	8874.3	9156.59	7021.34	3645.61	1842.75	6904.43			7745.94	1522.5	2648.75	7611.8	12043.5	6591.37	1840.66
P62495	P62495	ERF1_HUMAN	ETF1	Eukaryotic peptide chain release factor subunit 1	3711.66	2881.01	2322.34	1131.42		3591.59			2269.22			3659.99	2721.02		
P62701	P62701;Q8TD47	RS4X_HUMAN	RPS4X	40S ribosomal protein S4, X isoform	20547.3	26489.9	16283	5738.79	2367.25	19198.6	2382.7		17151.1	2295.32	3437.16	20948.9	24323.3	13558.5	
P62750	P62750	RL23A_HUMAN	RPL23A	60S ribosomal protein L23a	19379.7	19831	16242.6	5488.97	2569.63	14262.8			13961.1	3711.21	3803.61	16005.1	24581.5	9622.18	
P62753	P62753	RS6_HUMAN	RPS6	40S ribosomal protein S6	11373.4	16207.8	12441	4170.54	2119.47	11906.5	2061.11		11821.2	7076.25	2470.77	13857.1	16145.9	9315.22	
P62805	P62805	H4_HUMAN	H4C1	Histone H4	306056	334611	346249	571041	369656	329956	13678.4		483510	12959.2	488472	381605	308741	16992.9	9984.17
P62820	P62820;Q9H0U4	RAB1A_HUMAN	RAB1A	Ras-related protein Rab-1A	25284.7	21410.4	22384.4	20847.4	21220.5	23376.6	4608.57		14558.6	8491.45	15025	21330.1	18811.8	9018.53	2226.57
P62826	P62826	RAN_HUMAN	RAN	GTP-binding nuclear protein Ran	37256.3	37628.8	33369.3	9789.5	7623.57	47850.5	7348.4		41215.7	2519.85	6867.51	35510.6	37927.3	5703.49	3888.14
P62829	P62829	RL23_HUMAN	RPL23	60S ribosomal protein L23	10863.5	8868.8	6456.76	4072.07	1820.41	6501.89			9030.42		2435.82	10123.6	12111.2	4885.66	
P62847	P62847	RS24_HUMAN	RPS24	40S ribosomal protein S24	1509.58	2283.28	2329.21	638.929	89.0479	2377			1751.1			2466.16	3627.35		
P62851	P62851	RS25_HUMAN	RPS25	40S ribosomal protein S25	21221.5	29942.2	18015.9	2448.34	1382.3	21418.6			18276.9	949.561	1449.21	23026.9	27106	9317.97	
P62854	Q5JNZ5;P62854	RS26_HUMAN	RPS26	40S ribosomal protein S26	13644.1	19350.2	13891	4707.96	2248.49	15124.3			13322.1	1637.46	1766.25	13928.7	18866	8507.25	
P62857	P62857	RS28_HUMAN	RPS28	40S ribosomal protein S28	11394.6	14130.6	13011.9		761.839	11445.7	2625.75		9555.65		780.153	13598.9	16294.4	2679.79	
P62861	P62861	RS30_HUMAN	FAU	FAU ubiquitin-like and ribosomal protein S30	11571.3	23347.2	10817.8	4311.31	1621.99	9649.94	1772.91		9644.44	3035.92	3276.48	11606.6	17329	9842.64	2549.64
P62873;P62879	P62873;P16520;P62879	GBB1_HUMAN;GBB2_HUMAN	GNB1;GNB2	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1	3840.72	5170.9	3215.39	2407.76	4820.51	4824.84	1649.49		3805.6	904.039	3412.42	5440.47	4114.81	3382.84	
P62875	P62875	RPAB5_HUMAN	POLR2L	DNA-directed RNA polymerases I, II, and III subunit RPABC5	1131.87	1300.29			814.19	851.395			1584.14		896.379	946.055	1482.11	493.745	
P62888	P62888	RL30_HUMAN	RPL30	60S ribosomal protein L30	9531.87	12160.7	9085.79	4721.88	2783.66	9612.26			10699.4		4858.18	11290.3	16014.5	8353.32	
P62891;Q59GN2	P62891;Q59GN2	R39L5_HUMAN;RL39_HUMAN	RPL39;RPL39P5	60S ribosomal protein L39	4346.95	4928.37	2547.06			2733.99			1756.51			3030.4	5322.04		
P62899	P62899	RL31_HUMAN	RPL31	60S ribosomal protein L31	14992	17684.6	12608.4	3614.95	2078.93	10455			17264.2		2201.88	15428.1	20332.9	8984.48	1687.99
P62906	P62906	RL10A_HUMAN	RPL10A	60S ribosomal protein L10a	15535.5	16633.8	11926.8	5732.81	3554.35	10860.6	4726.98		12798	3329.93	5516.79	12744.8	18644.8	14029.6	19663.2
P62910	P62910	RL32_HUMAN	RPL32	60S ribosomal protein L32	7697.53	8782.96	7357.61	1546.17		5745.13			9093.52			8362.36	11177.8	4676.58	
P62913	P62913	RL11_HUMAN	RPL11	60S ribosomal protein L11	10899.7	9452.64	8660.39	3094.98	2162.25	7588.91	377.772		9124.12	2471.34	2225.41	8607.72	13240	5578.42	
P62917	P62917	RL8_HUMAN	RPL8	60S ribosomal protein L8	12447.9	12506.9	11416.6	4927.33	2295.78	9382.07			11309.1		2909.15	11623.8	16953.2	8283.97	
P62937	P62937	PPIA_HUMAN	PPIA	Peptidyl-prolyl cis-trans isomerase A	41598	47524.9	53218	8614.61	5478.86	48565.1	11537		49025.1	18277.8	7221.24	49790	44881.1	18085.2	12355.3
P62942	P62942	FKB1A_HUMAN	FKBP1A	Peptidyl-prolyl cis-trans isomerase FKBP1A	2647.8	2701.18	1888.48	1047.58	735.574	3043.33			1693.29			1540.25	2000.44		1369.59
P62993	P62993	GRB2_HUMAN	GRB2	Growth factor receptor-bound protein 2	2364.81	959.284	2332.03			1408.16			1198.51			1206.33	1090.84		
P62995	P62995	TRA2B_HUMAN	TRA2B	Transformer-2 protein homolog beta	2912.55	2932.38	2671.39	2087.38	3801.56	4084.09			3339.81		2458.35	2933.8	3010.13		
P63000	P63000;P15153;P60763	RAC1_HUMAN	RAC1	Ras-related C3 botulinum toxin substrate 1	3332.51	3887.97	3996.04	1407.3	2076.24	4688.43			2084.7		1629.61	6293.3	3015.67	6446.24	
P63010	P63010	AP2B1_HUMAN	AP2B1	AP-2 complex subunit beta	1864.01	1240.26	2201.06		1574.82	1864.15					967.389	1773.97	1848.49		
P63092;Q5JWF2	Q5JWF2;P63092	GNAS1_HUMAN;GNAS2_HUMAN	GNAS	Guanine nucleotide-binding protein G(s) subunit alpha isoforms short	5987.81	7517.05	7496.38	3804.47	6198.57	8704.5	2058.5		6670.72		3641.72	7593.37	10019.5	2624.9	1649.96
P63104	P63104	1433Z_HUMAN	YWHAZ	14-3-3 protein zeta/delta	18098.7	13417.8	16232.3	3682.4	1975.28	14044.9	4288.72		11854.9	5013.13	2630.25	13332	13254.4	5512.96	3563
P63151	P63151	2ABA_HUMAN	PPP2R2A	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform	2688.73	1556.84	2880.8			3370.11			2254.44			1213.26	2854.09		
P63165	P63165;G2XKQ0	SUMO1_HUMAN	SUMO1	Small ubiquitin-related modifier 1	2234.29	3116.64	2106.77		1047.33	3573.24			2505.84		1028.39	2903.6	2768.17		
P63167	P63167	DYL1_HUMAN	DYNLL1	Dynein light chain 1, cytoplasmic	3306.99	2665.02	2788.28	1800.95	780.862	3374.75			2545.13	1711.42	1182.06	3043.13	2870.23		1361.6
P63173	P63173	RL38_HUMAN	RPL38	60S ribosomal protein L38	6033.43	9467.25	6574.45			4975.37			5772.15		248.47	5183.09	10503.1	4577.3	
P63208	P63208	SKP1_HUMAN	SKP1	S-phase kinase-associated protein 1	1699.13	1577.04	1755.33	648.609	319.826	1572.57			1441.39			1653.89	1163.71		
P63218	P63218	GBG5_HUMAN	GNG5	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-5	3574.2	3808.83	4110.55		3280.07	4059.71			2822.32		2078.54	3790.36	2884.81	653.856	
P63220	P63220	RS21_HUMAN	RPS21	40S ribosomal protein S21	2813.41	4053.22	3142.91	745.739		3276.8			2913.46			3013.48	3588.62	1156.82	
P63241	P63241;Q9GZV4;Q6IS14	IF5A1_HUMAN	EIF5A	Eukaryotic translation initiation factor 5A-1	17662.3	15400.4	12294.9	2530.72	961.085	14216.5	4107.91		12475.5	2048.22	1753.77	17920.6	14975	1526.49	1279.4
P63244	P63244	RACK1_HUMAN	RACK1	Receptor of activated protein C kinase 1	19223	24430.9	16884.8	2548.22	1285.01	17999.1	3637.97		16135	4408.76	2160.32	17164.5	22082.7	3743.09	3143.13
P63279	P63279	UBC9_HUMAN	UBE2I	SUMO-conjugating enzyme UBC9	2142.23	2998.22	2181.69			2030.7			2156			2505.68	2786.6		
P63313	P63313;CONT|P21752|TYB10_BOVIN	TYB10_HUMAN	TMSB10	Thymosin beta-10	6046.94	2961.02	3082.38			2812.22			4450.25			2551.45	1417.66		
P67775	P67775;P62714	PP2AA_HUMAN	PPP2CA	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform	4462.19	2559.39	4708.97		836.562	4260.98			5075.4			3539.69	3084.79		1715.53
P67809	P67809;P16989;Q9Y2T7	YBOX1_HUMAN	YBX1	Y-box-binding protein 1	8000.28	11294	6392.77	2894.16	858.34	12090.9			4273.76		975.276	8703.14	7123.42	4281.3	
P67812	P67812	SC11A_HUMAN	SEC11A	Signal peptidase complex catalytic subunit SEC11A	3446.89	5185.32	2478.89	5442.98	4375.29	4389.85			2860.94	2086.38	4779.78	4723.94	3035.42	1753.48	
P67936	P67936;P09493;P07951;P06753;CONT|Q5KR48|TPM2_BOVIN	TPM4_HUMAN	TPM4	Tropomyosin alpha-4 chain	45131.9	29104.7	34278.6	7000.41	3712.11	24439.2	6053.09		24116.1	7720.81	4139.33	35698.5	24544.1	10960.4	4441.62
P68036	P68036;A0A1B0GUS4	UB2L3_HUMAN	UBE2L3	Ubiquitin-conjugating enzyme E2 L3	3490.4	3550.47	3970.46			3623.68			2941.57			4386.59	3262.91		
P68104;Q5VTE0	P68104;Q5VTE0	EF1A1_HUMAN;EF1A3_HUMAN	EEF1A1;EEF1A1P5	Elongation factor 1-alpha 1	237963	261786	168123	57150.6	12165.9	198552	18896.3		146083	19986	14791.2	227151	177782	35956.6	18244.7
P68363;Q71U36	P0DPH7;P68363;Q6PEY2;P68366;Q71U36;Q9NY65;P0DPH8;Q9BQE3	TBA1A_HUMAN;TBA1B_HUMAN	TUBA1A;TUBA1B	Tubulin alpha-1B chain	107898	72258.9	89433.5	21879.2	4394.38	86487.6	14634.6		89580.6	12496.4	7190.85	82227.4	87955.6	17176.8	11973.1
P68366	P68366	TBA4A_HUMAN	TUBA4A	Tubulin alpha-4A chain	1257.21	970.496	2019.26			2076.47						1312.86	746.993		1718.58
P68371	P68371	TBB4B_HUMAN	TUBB4B	Tubulin beta-4B chain	15549.1	11681.2	15139.8	3733.13	919.442	17015.9	3002.53		12969.6	1849.3	1437.08	14437.2	13419.6	3629.78	1788.78
