Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-25-2024_Slot2-94_3888.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-28-2024_Slot2-94_3955.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-28-2024_Slot2-94_3959.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-28-2024_Slot2-94_3968.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_2-29-2024_Slot2-94_3994.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_3-2-2024_Slot2-94_4032.d	D:\LucyC\20240413_Hela250pg_LCMS_methodtest\Hela_250pg_DIA_3-3-2024_Slot2-94_4061.d
Q4VC31	Q4VC31	MIX23_HUMAN	MIX23	Protein MIX23	569.226	732.353		702.854	1136.04	855.801	942.764
Q52LJ0	Q52LJ0	FA98B_HUMAN	FAM98B	Protein FAM98B	727.169	578.079	916.542	1056.18	611.318	600.264	807.202
Q53EL6	Q53EL6	PDCD4_HUMAN	PDCD4	Programmed cell death protein 4	1340.79	1207.07	2130.8	1642.97	1713.42	1488.87	1547.1
Q53EP0	Q53EP0	FND3B_HUMAN	FNDC3B	Fibronectin type III domain-containing protein 3B	292.943			306.517		336.379	
Q53F19	Q53F19	NCBP3_HUMAN	NCBP3	Nuclear cap-binding protein subunit 3	565.3	295.259		473.541		459.474	
Q53FT3	Q53FT3	HIKES_HUMAN	HIKESHI	Protein Hikeshi	174.538	433.736		279.764			
Q53GQ0	Q53GQ0	DHB12_HUMAN	HSD17B12	Very-long-chain 3-oxoacyl-CoA reductase	1130.85	826.761		778.412	654.378	1505.77	1604.85
Q53GS9	Q53GS9	SNUT2_HUMAN	USP39	U4/U6.U5 tri-snRNP-associated protein 2	1107.17	666.108		681.863	801.458	812.207	525.26
Q53H12	Q53H12	AGK_HUMAN	AGK	Acylglycerol kinase, mitochondrial		314.096		520.219	376.506	269.086	280.003
Q53H82	Q53H82	LACB2_HUMAN	LACTB2	Endoribonuclease LACTB2	356.845	342.133		698.011		431.939	267.116
Q53H96	Q53H96	P5CR3_HUMAN	PYCR3	Pyrroline-5-carboxylate reductase 3	198.662	419.055					476.25
Q53TN4	Q53TN4	CYBR1_HUMAN	CYBRD1	Plasma membrane ascorbate-dependent reductase CYBRD1		196.503				334.135	465.565
Q562R1	Q562R1	ACTBL_HUMAN	ACTBL2	Beta-actin-like protein 2					9555.74	5523.8	
Q5BJF2	Q5BJF2	SGMR2_HUMAN	TMEM97	Sigma intracellular receptor 2	1540.48	2090.11		1811.39	1611.48		1845.37
Q5BJH7	Q5BJH7	YIF1B_HUMAN	YIF1B	Protein YIF1B	258.094			483.8	312.739	279.788	
Q5BKZ1	Q5BKZ1	ZN326_HUMAN	ZNF326	DBIRD complex subunit ZNF326	310.474	174.239		353.885		524.141	674.149
Q5EBL8	Q5EBL8	PDZ11_HUMAN	PDZD11	PDZ domain-containing protein 11				708.07			
Q5F1R6	Q5F1R6	DJC21_HUMAN	DNAJC21	DnaJ homolog subfamily C member 21	673.096	433.155		348.052	400.473	255.799	764.669
Q5GLZ8	Q5GLZ8	HERC4_HUMAN	HERC4	Probable E3 ubiquitin-protein ligase HERC4	266.215	285.426		347.928			526.614
Q5H9R7	Q5H9R7	PP6R3_HUMAN	PPP6R3	Serine/threonine-protein phosphatase 6 regulatory subunit 3	358.286	327.663	893.781	798.029	538.366	464.954	423.684
Q5J8M3	Q5J8M3	EMC4_HUMAN	EMC4	ER membrane protein complex subunit 4	816.631	543.645		464.594	356.478	349.195	401.165
Q5JRA6	Q5JRA6	TGO1_HUMAN	MIA3	Transport and Golgi organization protein 1 homolog	1073.8	337.159		282.607			343.142
Q5JRX3	Q5JRX3	PREP_HUMAN	PITRM1	Presequence protease, mitochondrial	507.033	439.472		457.528	462.697	748.833	
Q5JSH3	Q5JSH3	WDR44_HUMAN	WDR44	WD repeat-containing protein 44	388.074	364.501				373.605	710.121
Q5JTH9	Q5JTH9	RRP12_HUMAN	RRP12	RRP12-like protein	473.722	628.555		690.62	1008.42	998.055	576.342
Q5JTJ3	Q5JTJ3	COA6_HUMAN	COA6	Cytochrome c oxidase assembly factor 6 homolog	786.58	645.307	148.12	1098.79	754.556	552.643	953.281
Q5JTV8	Q5JTV8	TOIP1_HUMAN	TOR1AIP1	Torsin-1A-interacting protein 1	4190.62	3617.41	5534.9	3876.79	2564.36	2581.88	4431.32
Q5JTZ9	Q5JTZ9	SYAM_HUMAN	AARS2	Alanine--tRNA ligase, mitochondrial		366.324					527.102
Q5JVF3	Q5JVF3	PCID2_HUMAN	PCID2	PCI domain-containing protein 2	369.136	709.017	836.4	328.515	613.813	616.788	519.708
Q5K651	Q5K651	SAMD9_HUMAN	SAMD9	Sterile alpha motif domain-containing protein 9				237.047			237.852
Q5M775	Q5M775	CYTSB_HUMAN	SPECC1	Cytospin-B	270.714	457.603		347.515	685.381	509.303	429.619
Q5QJE6	Q5QJE6	TDIF2_HUMAN	DNTTIP2	Deoxynucleotidyltransferase terminal-interacting protein 2		589.687		750.726	331.696	1386.86	1064.88
Q5R3I4	Q5R3I4	TTC38_HUMAN	TTC38	Tetratricopeptide repeat protein 38	286.603	367.306		827.386	391.804	368.87	593.451
Q5RI15	Q5RI15	COX20_HUMAN	COX20	Cytochrome c oxidase assembly protein COX20, mitochondrial	352.239	409.611		211.139	647.986		737.745
Q5RKV6	Q5RKV6	EXOS6_HUMAN	EXOSC6	Exosome complex component MTR3	456.311	521.936	1169.95	471.695	839.74	576.776	121.771
Q5SRE5	Q5SRE5	NU188_HUMAN	NUP188	Nucleoporin NUP188	298.885	517.844	1469.08	575.468	315.107	517.541	392.222
Q5SSJ5	Q5SSJ5	HP1B3_HUMAN	HP1BP3	Heterochromatin protein 1-binding protein 3	2267.43	2266.76	3317.52	2063.38	2676.57	2049.96	2489.03
Q5SW79	Q5SW79	CE170_HUMAN	CEP170	Centrosomal protein of 170 kDa		393.225					
Q5SY16	Q5SY16	NOL9_HUMAN	NOL9	Polynucleotide 5'-hydroxyl-kinase NOL9	256.206	177.008			278.915	553.585	
Q5T0F9	Q5T0F9	C2D1B_HUMAN	CC2D1B	Coiled-coil and C2 domain-containing protein 1B						390.007	
Q5T280	Q5T280	CI114_HUMAN	SPOUT1	Putative methyltransferase C9orf114		225.995		235.919	362.957		413.873
Q5T3I0	Q5T3I0	GPTC4_HUMAN	GPATCH4	G patch domain-containing protein 4				442.557			
Q5T4S7	Q5T4S7	UBR4_HUMAN	UBR4	E3 ubiquitin-protein ligase UBR4	877.72	950.038		710.956	915.411	1300.21	1066.19
Q5T653	Q5T653	RM02_HUMAN	MRPL2	39S ribosomal protein L2, mitochondrial	512.86			571.622	437.14	480.04	454.776
Q5T6F2	Q5T6F2	UBAP2_HUMAN	UBAP2	Ubiquitin-associated protein 2	627.358	453.085		766.718	421.39	441.253	455.121
Q5T6V5	Q5T6V5	QSPP_HUMAN	C9orf64	Queuosine salvage protein	639.845	451.694		562.251	551.748	557.522	594.09
Q5T8P6	Q5T8P6	RBM26_HUMAN	RBM26	RNA-binding protein 26	186.631	338.714	180.771	354.226	118.986	411.798	532.758
Q5T9A4	Q5T9A4	ATD3B_HUMAN	ATAD3B	ATPase family AAA domain-containing protein 3B	937.344	687.524	936.332	674.963	454.232	385.752	625.35
Q5TA45	Q5TA45	INT11_HUMAN	INTS11	Integrator complex subunit 11		277.958		364.002			
Q5TC12	Q5TC12	ATPF1_HUMAN	ATPAF1	ATP synthase mitochondrial F1 complex assembly factor 1	332.463	156.687		355.312		200.357	
Q5TDH0	Q5TDH0	DDI2_HUMAN	DDI2	Protein DDI1 homolog 2		283.928					582.856
Q5TEC6	Q16695;Q6NXT2;P68431;Q71DI3;Q5TEC6;P84243	H37_HUMAN	H3-7	Histone H3-7	224965	209062	181132	221726	216991	196454	203991
Q5TFE4	Q5TFE4	NT5D1_HUMAN	NT5DC1	5'-nucleotidase domain-containing protein 1	285.067	410.719		465.528	533.137	427.025	193.581
Q5TGZ0	Q5TGZ0	MIC10_HUMAN	MICOS10	MICOS complex subunit MIC10		515.334			848.148		
Q5U5X0	Q5U5X0	LYRM7_HUMAN	LYRM7	Complex III assembly factor LYRM7	369.196	284.171		324.614		1241.22	365.328
Q5UCC4	Q5UCC4	EMC10_HUMAN	EMC10	ER membrane protein complex subunit 10		224.386			629.204		366.773
Q5UIP0	Q5UIP0	RIF1_HUMAN	RIF1	Telomere-associated protein RIF1	261.335			182.567	222.054	217.415	242.309
Q5VT52	Q5VT52	RPRD2_HUMAN	RPRD2	Regulation of nuclear pre-mRNA domain-containing protein 2	309.516	306.703			456.164		
Q5VT66	Q5VT66;Q969Z3	MARC1_HUMAN	MTARC1	Mitochondrial amidoxime-reducing component 1	475.416	520.746			343.39		328.714
Q5VTB9	Q5VTB9	RN220_HUMAN	RNF220	E3 ubiquitin-protein ligase RNF220				207.977	174.894		
Q5VTL8	Q5VTL8	PR38B_HUMAN	PRPF38B	Pre-mRNA-splicing factor 38B	437.001	361.731			422.971	450.404	318.718
Q5VTR2	Q5VTR2	BRE1A_HUMAN	RNF20	E3 ubiquitin-protein ligase BRE1A		234.952	1052.33	541.896	260.85		613.245
Q5VV42	Q5VV42	CDKAL_HUMAN	CDKAL1	Threonylcarbamoyladenosine tRNA methylthiotransferase		416.577					
Q5VW32	Q5VW32	BROX_HUMAN	BROX	BRO1 domain-containing protein BROX	743.064	425.913	1357.43	655.969	752.549	538.175	1110.69
Q5VW36	Q5VW36	FOCAD_HUMAN	FOCAD	Focadhesin	1045.85	837.506			1181.58	772.013	
Q5VWZ2	Q5VWZ2	LYPL1_HUMAN	LYPLAL1	Lysophospholipase-like protein 1		428.394				412.168	
Q5VYK3	Q5VYK3	ECM29_HUMAN	ECPAS	Proteasome adapter and scaffold protein ECM29	410.329	485.411	1115.89	494.138	485.182	318.353	572.601
Q5XKP0	Q5XKP0	MIC13_HUMAN	MICOS13	MICOS complex subunit MIC13						590.444	416.987
Q5ZPR3	Q5ZPR3	CD276_HUMAN	CD276	CD276 antigen	733.411	806.07				354.945	633.849
Q63HN8	Q63HN8	RN213_HUMAN	RNF213	E3 ubiquitin-protein ligase RNF213	491.876	587.746		521.819	376.353	596.036	405.53
Q63ZY3	Q63ZY3	KANK2_HUMAN	KANK2	KN motif and ankyrin repeat domain-containing protein 2	478.112	262.199		489.535	515.784	343.594	412.814
Q641Q2;Q9Y4E1	Q641Q2;Q9Y4E1	WAC2A_HUMAN;WAC2C_HUMAN	WASHC2A;WASHC2C	WASH complex subunit 2A	569.774	225.894			259.567	608.969	
Q658Y4	Q658Y4	F91A1_HUMAN	FAM91A1	Protein FAM91A1	131.165	240.961			274.198		
Q66K74	Q66K74	MAP1S_HUMAN	MAP1S	Microtubule-associated protein 1S		365.015		267.083			
Q66PJ3	Q66PJ3	AR6P4_HUMAN	ARL6IP4	ADP-ribosylation factor-like protein 6-interacting protein 4	348.713	483.348			772.428		
Q676U5	Q676U5	A16L1_HUMAN	ATG16L1	Autophagy-related protein 16-1					214.31		
Q68CZ2	Q68CZ2	TENS3_HUMAN	TNS3	Tensin-3					251.424		
Q68E01	Q68E01	INT3_HUMAN	INTS3	Integrator complex subunit 3	204.811				288.161		
Q68EM7	Q68EM7	RHG17_HUMAN	ARHGAP17	Rho GTPase-activating protein 17	951.092	1090.67	720.271	899.776	1228.67	1210.21	1415.62
Q69YN2	Q69YN2	C19L1_HUMAN	CWF19L1	CWF19-like protein 1	492.103				428.099		
Q6DD88	Q6DD88	ATLA3_HUMAN	ATL3	Atlastin-3	1537.85	1220.9		1033.69	1577.04	1616.21	1065.02
Q6DKI1	Q6DKI1	RL7L_HUMAN	RPL7L1	60S ribosomal protein L7-like 1	913.857	432.086		866.935		465.479	515.957
Q6DKJ4	Q6DKJ4	NXN_HUMAN	NXN	Nucleoredoxin	391.386	816.881		623.449	1050.13	578.964	1014.91
Q6EMK4	Q6EMK4	VASN_HUMAN	VASN	Vasorin	183.942	420.764		308.855	221.154	222.641	
Q6FI81	Q6FI81	CPIN1_HUMAN	CIAPIN1	Anamorsin	1211.66	987.494	1955.07	1470.69	1118.26	1110	1040.64
Q6GMV3	Q6GMV3	PTRD1_HUMAN	PTRHD1	Putative peptidyl-tRNA hydrolase PTRHD1	264.638	495.877		593.86	597.42	600.31	
Q6IA86	Q6IA86	ELP2_HUMAN	ELP2	Elongator complex protein 2	219.431	347.776		183.059	389.717		
Q6IAA8	Q6IAA8	LTOR1_HUMAN	LAMTOR1	Ragulator complex protein LAMTOR1	1452.05	1039.71		944.483	1116.48	951.626	1208.35
Q6IAN0	Q6IAN0	DRS7B_HUMAN	DHRS7B	Dehydrogenase/reductase SDR family member 7B	477.853	348.322		115.587	293.4		127.792
Q6IBS0	Q6IBS0	TWF2_HUMAN	TWF2	Twinfilin-2	444.442	655.648		849.489	775.902	1109.62	726.289
Q6KB66	Q6KB66;CONT|Q6KB66|K2C80_HUMAN	K2C80_HUMAN	KRT80	Keratin, type II cytoskeletal 80	377.838	245.145		400.65	200.821	415.787	
Q6KC79	Q6KC79	NIPBL_HUMAN	NIPBL	Nipped-B-like protein	291.271	596.702		367.764		381.264	
Q6L8Q7	Q6L8Q7	PDE12_HUMAN	PDE12	2',5'-phosphodiesterase 12	651.963	687.888		351.107	697.954	973.474	993.177
Q6MZW2	Q6MZW2	FSTL4_HUMAN	FSTL4	Follistatin-related protein 4	708.77	586.731		662.665	350.93	801.861	1071.66
Q6NUK1	Q6NUK1	SCMC1_HUMAN	SLC25A24	Calcium-binding mitochondrial carrier protein SCaMC-1	1342.66	1163	1945.45	1393.43	1352.7	1351.35	1278.57
Q6NUQ4	Q6NUQ4	TM214_HUMAN	TMEM214	Transmembrane protein 214	425.634	523.06	1666.02		770.883	717.775	688.563
Q6NVY1	Q6NVY1	HIBCH_HUMAN	HIBCH	3-hydroxyisobutyryl-CoA hydrolase, mitochondrial	963.561	599.347	2056.89	923.212	1111.65	700.087	1143.41
Q6NW29	Q6NW29	RWDD4_HUMAN	RWDD4	RWD domain-containing protein 4	447.754				426.049	423.888	391.372
Q6NYC1	Q6NYC1	JMJD6_HUMAN	JMJD6	Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6	269.274	236.891		210.125	516.118	258.301	414.34
Q6NZI2	Q6NZI2	CAVN1_HUMAN	CAVIN1	Caveolae-associated protein 1	693.713	1099.22	1394.32	1086.31	883.183	857.08	987.816
Q6P158	Q6P158	DHX57_HUMAN	DHX57	Putative ATP-dependent RNA helicase DHX57	247.065	160.76					233.68
Q6P161	Q6P161	RM54_HUMAN	MRPL54	39S ribosomal protein L54, mitochondrial	651.834	553.187		421.087	554.569	931.464	371.403
Q6P1J9	Q6P1J9	CDC73_HUMAN	CDC73	Parafibromin	598.362	439.886		467.41	635.555	769.46	610.494
Q6P1L8	Q6P1L8	RM14_HUMAN	MRPL14	39S ribosomal protein L14, mitochondrial	437.587	308.76		469.422	439.707	553.839	304.585
Q6P1M0	Q6P1M0	S27A4_HUMAN	SLC27A4	Long-chain fatty acid transport protein 4	350.883	476.191		435.198	345.18	303.125	
Q6P1N0	Q6P1N0	C2D1A_HUMAN	CC2D1A	Coiled-coil and C2 domain-containing protein 1A	132.765	249.061		433.056	108.949		547.439
Q6P1N9	Q6P1N9	TATD1_HUMAN	TATDN1	Deoxyribonuclease TATDN1	2305.86	3932.96	1915.39	2648.57	2464.78	1857.3	2463.82
Q6P2E9	Q6P2E9	EDC4_HUMAN	EDC4	Enhancer of mRNA-decapping protein 4	503.963	657.076	727.205	457.501	857.712	688.737	468.046
Q6P2Q9	Q6P2Q9	PRP8_HUMAN	PRPF8	Pre-mRNA-processing-splicing factor 8	1433.9	1344.58	1099.99	1372.89	1469.92	1385.11	1355.55
Q6P587	Q6P587	FAHD1_HUMAN	FAHD1	Acylpyruvase FAHD1, mitochondrial	508.017	432.788	1591.62	588.337		477.817	723.657
Q6P996	Q6P996	PDXD1_HUMAN	PDXDC1	Pyridoxal-dependent decarboxylase domain-containing protein 1	802.571	889.548	1003.94	1030.06	862.193	804.973	1246.28
Q6PCE3	Q6PCE3	PGM2L_HUMAN	PGM2L1	Glucose 1,6-bisphosphate synthase	398.564						
Q6PD62	Q6PD62	CTR9_HUMAN	CTR9	RNA polymerase-associated protein CTR9 homolog	557.444	393.273		945.091	740.522	598.301	1231.93
Q6PGP7	Q6PGP7	TTC37_HUMAN	TTC37	Tetratricopeptide repeat protein 37	565.409	507.585	1001.96	518.392	730.662	328.496	319.42
Q6PI48	Q6PI48	SYDM_HUMAN	DARS2	Aspartate--tRNA ligase, mitochondrial	716.036	926.376		701.656	652.007	1011.3	696.939
Q6PIJ6	Q6PIJ6	FBX38_HUMAN	FBXO38	F-box only protein 38	112.855						232.803
Q6PIU2	Q6PIU2	NCEH1_HUMAN	NCEH1	Neutral cholesterol ester hydrolase 1	637.607	856.835		624.585	633.797	503.477	776.951
Q6PJG6	Q6PJG6	BRAT1_HUMAN	BRAT1	BRCA1-associated ATM activator 1	273.793	294.741	710.495		697.826	336.165	
Q6PJT7	Q6PJT7	ZC3HE_HUMAN	ZC3H14	Zinc finger CCCH domain-containing protein 14	494.645	391.031		594.362	1099.3		249.795
Q6PK04	Q6PK04	CC137_HUMAN	CCDC137	Coiled-coil domain-containing protein 137	257.283			183.392			
Q6PKG0	Q659C4;Q6PKG0	LARP1_HUMAN	LARP1	La-related protein 1	1349.38	1311.66	2048.33	1297.79	1315.97	1230.27	1407.95
Q6PL18	Q6PL18	ATAD2_HUMAN	ATAD2	ATPase family AAA domain-containing protein 2	346.441	321.236		305.584	389.935	410.932	
Q6RFH5	Q6RFH5	WDR74_HUMAN	WDR74	WD repeat-containing protein 74	273.82	260.583		436.424		454.454	1011.47
Q6RW13	Q6RW13	ATRAP_HUMAN	AGTRAP	Type-1 angiotensin II receptor-associated protein	507.49			634.247	266.514	404.053	
Q6UB35	Q6UB35	C1TM_HUMAN	MTHFD1L	Monofunctional C1-tetrahydrofolate synthase, mitochondrial	1468.47	1285.26	2483.92	1487.23	1238.43	1445.55	1614.58
Q6UN15	Q6UN15	FIP1_HUMAN	FIP1L1	Pre-mRNA 3'-end-processing factor FIP1	682.897	949.483	1409.07	1182.25	997.286	493.118	541.796
Q6UW56	Q6UW56	ARAID_HUMAN	ATRAID	All-trans retinoic acid-induced differentiation factor				1131.41			856.573
Q6UW63	Q6UW63	PLGT2_HUMAN	POGLUT2	Protein O-glucosyltransferase 2	343.845	322.087			534.993	568.645	
Q6UW68	Q6UW68	TM205_HUMAN	TMEM205	Transmembrane protein 205	620.512	308.607				562.442	503.899
Q6UWE0	Q6UWE0	LRSM1_HUMAN	LRSAM1	E3 ubiquitin-protein ligase LRSAM1	192.059	380.6			469.262		282.3
Q6UWN8	Q6UWN8	ISK6_HUMAN	SPINK6	Serine protease inhibitor Kazal-type 6					216.835		398.299
Q6UWP7	Q6UWP7	LCLT1_HUMAN	LCLAT1	Lysocardiolipin acyltransferase 1	488.658				495.972	553.463	376.254
Q6UX04	Q6UX04	CWC27_HUMAN	CWC27	Spliceosome-associated protein CWC27 homolog	260.97	434.927		160.134	230.484	404.991	367.611
Q6UXH1	Q6UXH1	CREL2_HUMAN	CRELD2	Protein disulfide isomerase CRELD2	515.734	764.325			1093.16	778.672	559.756
Q6UXN9	Q6UXN9	WDR82_HUMAN	WDR82	WD repeat-containing protein 82	775.528			377.852	476.983	668.909	700.747
Q6UXV4	Q6UXV4	MIC27_HUMAN	APOOL	MICOS complex subunit MIC27		100.503		308.409		209.885	
Q6VY07	Q6VY07	PACS1_HUMAN	PACS1	Phosphofurin acidic cluster sorting protein 1	517.968	640.014		598.773	211.044	303.152	453.741
Q6WCQ1	Q6WCQ1	MPRIP_HUMAN	MPRIP	Myosin phosphatase Rho-interacting protein	848.773	229.699		695.098	601.279	808.909	1919.68
Q6XE24	Q6XE24	RBMS3_HUMAN	RBMS3	RNA-binding motif, single-stranded-interacting protein 3	411.617	519.46		605.035	296.484	806.222	538.848
Q6XQN6	Q6XQN6	PNCB_HUMAN	NAPRT	Nicotinate phosphoribosyltransferase	851.502	1139.32	862.278	944.72	1001.69	1272.37	1196.92
Q6XZF7	Q6XZF7	DNMBP_HUMAN	DNMBP	Dynamin-binding protein	672.694	290.408		364.993	282.852		591.53
Q6Y7W6	Q6Y7W6	GGYF2_HUMAN	GIGYF2	GRB10-interacting GYF protein 2	525.618	736.383		656.497	594.93	727.848	566.068
Q6YN16	Q6YN16	HSDL2_HUMAN	HSDL2	Hydroxysteroid dehydrogenase-like protein 2	960.15	824.716		1236.92	952.118	797.017	932.707
Q6YP21	Q6YP21	KAT3_HUMAN	KYAT3	Kynurenine--oxoglutarate transaminase 3	739.133	454.317			395.038	478.486	363.045
Q6ZMK1	Q6ZMK1	CYHR1_HUMAN	CYHR1	Cysteine and histidine-rich protein 1	152.648	127.791					
Q6ZRP7	Q6ZRP7	QSOX2_HUMAN	QSOX2	Sulfhydryl oxidase 2	325.837	358.234				244.193	319.326
Q6ZSJ8	Q6ZSJ8	CA122_HUMAN	C1orf122	Uncharacterized protein C1orf122				425.824			269.523
Q6ZXV5	Q6ZXV5	TMTC3_HUMAN	TMTC3	Protein O-mannosyl-transferase TMTC3	433.29	198.337			1622.66		1609.17
Q70J99	Q70J99	UN13D_HUMAN	UNC13D	Protein unc-13 homolog D	455.812			437.004	328.976		389.024
Q70UQ0	Q70UQ0	IKIP_HUMAN	IKBIP	Inhibitor of nuclear factor kappa-B kinase-interacting protein	600.91	699.681		499.87	734.727	575.378	665.041
Q712K3	Q712K3;P49427	UB2R2_HUMAN	UBE2R2	Ubiquitin-conjugating enzyme E2 R2		508.536		523.477	317.292	561.303	338.403
Q71RC2	Q71RC2	LARP4_HUMAN	LARP4	La-related protein 4	434.731	464.622				368.342	1217.61
Q71UM5	P42677;Q71UM5	RS27L_HUMAN	RPS27L	40S ribosomal protein S27-like	8943.75	10180.6	9985.47	9751.98	8842.39	9533.87	10469.8
Q7KZ85	Q7KZ85	SPT6H_HUMAN	SUPT6H	Transcription elongation factor SPT6	336.86	606.719		504.657	893.606	739.399	655.346
Q7KZF4	Q7KZF4	SND1_HUMAN	SND1	Staphylococcal nuclease domain-containing protein 1	5734.63	4999.7	4871.93	5219.29	5228.31	5593.53	5304.06
Q7L014	Q7L014	DDX46_HUMAN	DDX46	Probable ATP-dependent RNA helicase DDX46	915.514	984.181	1229.09	986.654	1062.58	941.023	1403
Q7L0Y3	Q7L0Y3	TM10C_HUMAN	TRMT10C	tRNA methyltransferase 10 homolog C	850.388	1058.92		777.532	717.031	1124.2	1259.92
Q7L1Q6	Q7L1Q6	5MP2_HUMAN	BZW1	eIF5-mimic protein 2	4103.65	4245.25	4647.87	3885.44	3985.98	4254.46	3862.19
Q7L2E3	Q7L2E3	DHX30_HUMAN	DHX30	ATP-dependent RNA helicase DHX30	1082.32	905.159		1108.47	962.207	1154.93	896.242
Q7L2H7	Q7L2H7	EIF3M_HUMAN	EIF3M	Eukaryotic translation initiation factor 3 subunit M	767.034	946.542		567.553	746.958	810.059	1062.86
Q7L3B6	Q7L3B6	CD37L_HUMAN	CDC37L1	Hsp90 co-chaperone Cdc37-like 1		345.889			735.784		
Q7L4I2	Q7L4I2	RSRC2_HUMAN	RSRC2	Arginine/serine-rich coiled-coil protein 2							175.396
Q7L576	Q7L576;Q96F07	CYFP1_HUMAN	CYFIP1	Cytoplasmic FMR1-interacting protein 1	1255	1592.38		1205.29	1159.02	1120.67	991.435
Q7L592	Q7L592	NDUF7_HUMAN	NDUFAF7	Protein arginine methyltransferase NDUFAF7, mitochondrial	166.412						
Q7L5D6	Q7L5D6	GET4_HUMAN	GET4	Golgi to ER traffic protein 4 homolog	285.544	332.547		397.337	634.062		
Q7L5N1	Q7L5N1	CSN6_HUMAN	COPS6	COP9 signalosome complex subunit 6	761.555	971.72	3531.15	663.487	827.307	1032.44	1167.13
Q7L5N7	Q7L5N7	PCAT2_HUMAN	LPCAT2	Lysophosphatidylcholine acyltransferase 2	262.161	259.268			400.212	639.527	
Q7L8L6	Q7L8L6	FAKD5_HUMAN	FASTKD5	FAST kinase domain-containing protein 5, mitochondrial	1265.91					820.539	
Q7L9L4;Q9H8S9	Q7L9L4;Q9H8S9	MOB1A_HUMAN;MOB1B_HUMAN	MOB1A;MOB1B	MOB kinase activator 1B	238.655	458.433		806.936	862.211	534.975	595.739
Q7LBC6	Q7LBC6	KDM3B_HUMAN	KDM3B	Lysine-specific demethylase 3B		143.7			196.643		
Q7LBR1	Q7LBR1	CHM1B_HUMAN	CHMP1B	Charged multivesicular body protein 1b	1329.53	530.865		536.412	817.239	690.833	887.958
Q7RTV0	Q7RTV0	PHF5A_HUMAN	PHF5A	PHD finger-like domain-containing protein 5A	1466.14	1339.88		1444.56	1092.49	1121.15	1690.54
Q7Z2K6	Q7Z2K6	ERMP1_HUMAN	ERMP1	Endoplasmic reticulum metallopeptidase 1	523.481	481.769			191.222	293.713	737.891
Q7Z2W4	Q7Z2W4	ZCCHV_HUMAN	ZC3HAV1	Zinc finger CCCH-type antiviral protein 1	937.439	989.697		898.434	1200.07	1229.14	912.721
Q7Z2W9	Q7Z2W9	RM21_HUMAN	MRPL21	39S ribosomal protein L21, mitochondrial		498.943		756.534			638.353
Q7Z2Z2	Q7Z2Z2	EFL1_HUMAN	EFL1	Elongation factor-like GTPase 1		275.784					458.848
Q7Z3B1	Q7Z3B1	NEGR1_HUMAN	NEGR1	Neuronal growth regulator 1						126.846	571.516
Q7Z3B4	Q7Z3B4	NUP54_HUMAN	NUP54	Nucleoporin p54	507.633	289.389		485.781	633.507	307.414	786.843
Q7Z3C6	Q7Z3C6	ATG9A_HUMAN	ATG9A	Autophagy-related protein 9A	406.126						
Q7Z3K3	Q7Z3K3	POGZ_HUMAN	POGZ	Pogo transposable element with ZNF domain		218.431				187.452	422.803
Q7Z3U7	Q7Z3U7	MON2_HUMAN	MON2	Protein MON2 homolog	365.042	375.133			268.36	472.651	
Q7Z417	Q7Z417	NUFP2_HUMAN	NUFIP2	Nuclear fragile X mental retardation-interacting protein 2	471.478	240.653	1523.83	299.43	534.105	618.745	483.568
Q7Z460	Q7Z460	CLAP1_HUMAN	CLASP1	CLIP-associating protein 1	1103.33	116.811		542.269	553.639	293.178	691.267
Q7Z478	Q7Z478	DHX29_HUMAN	DHX29	ATP-dependent RNA helicase DHX29	675.114			493.972			567.059
Q7Z4H8	Q7Z4H8	PLGT3_HUMAN	POGLUT3	Protein O-glucosyltransferase 3	202.925	245.814		395.974	390.103	499.419	
Q7Z4Q2	Q7Z4Q2	HEAT3_HUMAN	HEATR3	HEAT repeat-containing protein 3	349.973					348.019	
Q7Z4S6	Q7Z4S6	KI21A_HUMAN	KIF21A	Kinesin-like protein KIF21A	281.149						
Q7Z4V5	Q7Z4V5	HDGR2_HUMAN	HDGFL2	Hepatoma-derived growth factor-related protein 2	356.618	475.392		436.945	291.583	718.363	699.881
Q7Z4W1	Q7Z4W1	DCXR_HUMAN	DCXR	L-xylulose reductase		292.293					
Q7Z5L9	Q7Z5L9	I2BP2_HUMAN	IRF2BP2	Interferon regulatory factor 2-binding protein 2	164.575	559.458		385.026	420.892		533.866
Q7Z6E9	Q7Z6E9	RBBP6_HUMAN	RBBP6	E3 ubiquitin-protein ligase RBBP6	109.456					229.57	206.088
Q7Z6K5	Q7Z6K5	ARPIN_HUMAN	ARPIN	Arpin		584.124					
