Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-209_4256.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-210_4257.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-211_4258.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-213_4260.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-219_4267.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-220_4268.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-11-2024_Slot1-221_4269.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_229El1_SC_DIA_3-12-2024_Slot1-222_4289.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-52_4249.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-53_4250.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-54_4251.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-55_4252.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-56_4253.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-11-2024_Slot1-74_4264.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-11-2024_Slot1-75_4265.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\pri_astro_m_w229E_30minLC_p87MS\Lucy_pri_m_astro_p5_control1_SC_DIA_3-11-2024_Slot1-76_4266.d
Q01968	Q01968	OCRL_HUMAN	OCRL	Inositol polyphosphate 5-phosphatase OCRL											9913.5					
Q01970	Q01970	PLCB3_HUMAN	PLCB3	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3"				4242.89			45109.3									
Q01995	Q01995	TAGL_HUMAN	TAGLN	Transgelin	22528.5		9873.43	48535.4	33208	17349.9	16832.5	51398.5		20037.8	6089.69		40212.9	27978.1	9956.42	
Q02040	Q02040	AK17A_HUMAN	AKAP17A	A-kinase anchor protein 17A		6541.23		11331.2												
Q02218	Q02218	ODO1_HUMAN	OGDH	"2-oxoglutarate dehydrogenase, mitochondrial"		13469.7	19599.6	19427.4	12007.3	9185.61			21539.6	24208	20252.1	33568.3		15606.5		
Q02252	Q02252	MMSA_HUMAN	ALDH6A1	"Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial"			40345.3	10987.2								17428.5				211899
Q02318	Q02318	CP27A_HUMAN	CYP27A1	"Sterol 26-hydroxylase, mitochondrial"				8040.7					10922.4							
Q02338	Q02338	BDH_HUMAN	BDH1	"D-beta-hydroxybutyrate dehydrogenase, mitochondrial"				5296.97	8089.73							6401.19				
Q02410	Q02410	APBA1_HUMAN	APBA1	Amyloid-beta A4 precursor protein-binding family A member 1				9215.17												
Q02413	Q02413	DSG1_HUMAN	DSG1	Desmoglein-1	76641.7	90238.6	67198.2	32223.2	346803	71914.6	64373.8	81157.1	86899.8	73138.7	83523.9	60223.9	104682	59076.7	90639.5	88678.7
Q02539	Q02539	H11_HUMAN	H1-1	Histone H1.1											9406.75					
Q02543	Q02543	RL18A_HUMAN	RPL18A	60S ribosomal protein L18a	50634.5	45042.9	40124.1	58011.6	67276.4	47146.1	93199.5	101336	79697.5	52867.9	60789	16927.1	56362.3	81851	66996	36005.2
Q02750	Q02750	MP2K1_HUMAN	MAP2K1	Dual specificity mitogen-activated protein kinase kinase 1											25112					
Q02790	Q02790	FKBP4_HUMAN	FKBP4	Peptidyl-prolyl cis-trans isomerase FKBP4	32304.2			13334.7	10722.4	18114.5	28380.5	33550.9		16075.9	30871.5		14510.1	17712	13458.1	19802.3
Q02809	Q02809	PLOD1_HUMAN	PLOD1	"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"	6809.81	17087.1	63719.7	22727.8	5451.75	12436.9		18422.6	8824.88	18193.4	13643.5	36607.3	18422.3	17490.4	13971.2	47584.1
Q02818	Q02818	NUCB1_HUMAN	NUCB1	Nucleobindin-1		50461	10472.4	8248.33					25985.2	7406.63	16158.3	28669.1	9357.39	22670.8		15867.4
Q02878	Q02878	RL6_HUMAN	RPL6	60S ribosomal protein L6	157986	104403	116493	152924	224024	182000	198316	186332	157965	162277	186889	42679.3	179642	191861	208434	188125
Q02880	Q02880	TOP2B_HUMAN	TOP2B	DNA topoisomerase 2-beta		12957.6	14500.2			33482.2	17989.6	19614		14755.1		12462.2		7735.1		32314.5
Q02952	Q02952	AKA12_HUMAN	AKAP12	A-kinase anchor protein 12	38247	10372.7	12589.5	28917.1	18412.6	19322.1	22288.4	13875.2	11447.3	11319.6	20270.8	54397.9	5994.25	17233.2	29106.3	38134.1
Q02978	Q02978	M2OM_HUMAN	SLC25A11	Mitochondrial 2-oxoglutarate/malate carrier protein	12359.4	22198	19300.8	14950	17460.3	24750.4	17415.5	21341	24757.4	17439.9	20216.2	28517.7		17395.4	31401	10139.3
Q03001	Q03001	DYST_HUMAN	DST	Dystonin		14289.5	10496.2	8170.37		10017.2		99175.8	8988.96	55710.1		6731.47		11843.4		
Q03135	Q03135	CAV1_HUMAN	CAV1	Caveolin-1	41044.8	78961.9	39261.7	101306	23323.4	33684.2	44197.8	21629	14675.2	43372.8	43988	47525.2		40731.6	36164.8	27615.3
Q03154	Q03154	ACY1_HUMAN	ACY1	Aminoacylase-1				8706.72	7799.32									8337.64	12601.4	
Q03252	Q03252	LMNB2_HUMAN	LMNB2	Lamin-B2	46485.4	65379.1	45120.6	32174.8	40121.8	52768	51998.5	31594.5	60858.5	61005.7	60252.1	60548.2	47229.8	46570.9	47818	41572.2
Q03426	Q03426	KIME_HUMAN	MVK	Mevalonate kinase				1581.93	11802.2											
Q03518	Q03518	TAP1_HUMAN	TAP1	Antigen peptide transporter 1		18098.3	10409	3953.88	6759.71			26930.1				12809.8				
Q03519	Q9NUT2;Q03519;Q9NRK6	TAP2_HUMAN	TAP2	Antigen peptide transporter 2			14201.5	11877.8	23832.1							24506.8		3474.16		
Q03701	Q03701	CEBPZ_HUMAN	CEBPZ	CCAAT/enhancer-binding protein zeta					5659.6			4233.84	11547.2			18659.9		8941.87		8016.9
Q04206	Q04206	TF65_HUMAN	RELA	Transcription factor p65					9818.22				18293.5	16764.1				13381.2		
Q04323	Q04323	UBXN1_HUMAN	UBXN1	UBX domain-containing protein 1			2549.86	18655.9	14928		12778.5	21207.9			16680		13695	12694.2	10862.8	
Q04446	Q04446	GLGB_HUMAN	GBE1	"1,4-alpha-glucan-branching enzyme"	25400.6		10785.1	45772.7	7630.9	10874.5	8909.79	105107	24345.4	16443.6	11519.6		53560.1	12590.5	11340.7	21117.8
Q04637	Q04637	IF4G1_HUMAN	EIF4G1	Eukaryotic translation initiation factor 4 gamma 1	28078.4		11808.5	26552.5	35213.8	27247	32162.2	36998.5	29513	25264.1	25966.8		37388.1	24301.4	28407.8	29471.3
Q04695	Q04695;CONT|Q04695|K1C17_HUMAN	K1C17_HUMAN	KRT17	"Keratin, type I cytoskeletal 17"	99866.3	112781	77890.9	38990.1	661608	117186	96380.2	154075	104652	107764	112945	93648.9	121669	59506.3	105153	131549
Q04760	Q04760	LGUL_HUMAN	GLO1	Lactoylglutathione lyase	37418.4	13203.9	25425.3	53194.4	46267.7	44993.6	32239.9	39420.1	22964.6	39834.8	51340.1		54296	54413.8	42242.9	33801.8
Q04837	Q04837	SSBP_HUMAN	SSBP1	"Single-stranded DNA-binding protein, mitochondrial"	7596.68	15041.3					10137.6			12988.2						
Q04917	Q04917	1433F_HUMAN	YWHAH	14-3-3 protein eta	24399.9		26830.8	18363.6	25165.5	17636	23871.4	22580.2	19951.1	41463.8	32106.3		95579.5	25499.6	49802.1	14918.2
Q04941	Q04941	PLP2_HUMAN	PLP2	Proteolipid protein 2	23375.1	20926.5	22551.7	25847.8	9274.27	11982.7			20625.7	25136.7	26968.6	7661.61		22217.1		14819.3
Q05048	Q05048	CSTF1_HUMAN	CSTF1	Cleavage stimulation factor subunit 1			10699.5													
Q05086	Q05086	UBE3A_HUMAN	UBE3A	Ubiquitin-protein ligase E3A				5816.47						12059.6						
Q05193	Q05193	DYN1_HUMAN	DNM1	Dynamin-1				32250.3					48713.6							
Q05209	Q05209	PTN12_HUMAN	PTPN12	Tyrosine-protein phosphatase non-receptor type 12				7701.93	7437.21		10649.6		57836.1		10729.5			38833.1		
Q05397	Q05397	FAK1_HUMAN	PTK2	Focal adhesion kinase 1				7232.4		4357.11										
Q05519	Q05519	SRS11_HUMAN	SRSF11	Serine/arginine-rich splicing factor 11	17126.3	23152.3	11088.9	6161.56	14071.7	5380.11	9795.02	21213.3	15818.2	21286.5	15020	31616.2		13438	11174.1	
Q05655	Q05655	KPCD_HUMAN	PRKCD	Protein kinase C delta type				2081.83									30317.5			
Q05682	Q05682	CALD1_HUMAN	CALD1	Caldesmon	31772	18904	7567.08	42722.2	19974.4	32435.1	28856.2	45897.5	24070.4	19000.6	22139			44469.4	29949.5	
Q05707	Q05707	COEA1_HUMAN	COL14A1	Collagen alpha-1(XIV) chain		89431.4														
Q05BV3	Q05BV3	EMAL5_HUMAN	EML5	Echinoderm microtubule-associated protein-like 5	48583.5		75961.6				46030.4					8476.4		54790.7		49682.8
Q06124	Q06124	PTN11_HUMAN	PTPN11	Tyrosine-protein phosphatase non-receptor type 11	11672.7			14039.8							22024.5			10437.4		26307.8
Q06203	Q06203	PUR1_HUMAN	PPAT	Amidophosphoribosyltransferase				7471.99	8809.19	9044.99	9828.79		8061.45					4689.3		13064.8
Q06210	Q06210	GFPT1_HUMAN	GFPT1	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1	14884.6			16782.9	14245	25554.2	14857.9	11534.8	30040.4	9082.15	22420		17241.6	15587.2	21785.2	32084.1
Q06265	Q06265	EXOS9_HUMAN	EXOSC9	Exosome complex component RRP45		11528		4939.67	8189.56	14512.7	11818.3			10294.9				10704.1	15223.7	
Q06323	Q06323	PSME1_HUMAN	PSME1	Proteasome activator complex subunit 1	27474.9	15672.5	14680.6	33518.3	32411.8	29217.7	33356	58902.5	52095.9	28610.2	44856.1		20088.7	41941.9	22127.4	27467.2
Q06587	Q06587	RING1_HUMAN	RING1	E3 ubiquitin-protein ligase RING1														7509.66		
Q06787	Q06787	FMR1_HUMAN	FMR1	Synaptic functional regulator FMR1					18151.5									10024		
Q06830	Q06830	PRDX1_HUMAN	PRDX1	Peroxiredoxin-1	202746	120892	73747.5	293252	237029	198465	208533	261854	247092	180283	235151	71923.3	233914	214845	188850	285486
Q07020	Q07020	RL18_HUMAN	RPL18	60S ribosomal protein L18	35820.1	16513.4	24008.8	25470.4	37653.2	45363.5	41734.5	49779.7	40583.6	44301.9	27119.5	11522.9	43387.4	42161.1	24495.1	28728.4
Q07021	Q07021	C1QBP_HUMAN	C1QBP	"Complement component 1 Q subcomponent-binding protein, mitochondrial"	10998.7	39777.2	28518	20236.9	6566.12	24047.8	16146.8	29395.6	16745.8	14529.5	25237.5	24815.2	22831	15245.6	16194.3	17541.1
Q07065	Q07065	CKAP4_HUMAN	CKAP4	Cytoskeleton-associated protein 4	43927.3	98537	254737	96569.1	60273.3	56275.3	47644.7	53247.4	93845.2	70297.2	112538	118941	56526.3	65824.6	45152.4	50762.4
Q07157	Q07157	ZO1_HUMAN	TJP1	Tight junction protein ZO-1		9857.27		4217.98	16867.3	68043.4	14378.8				8418.88		15524.3	10925.3		
Q07666	Q07666;Q5VWX1;O75525	KHDR1_HUMAN	KHDRBS1	"KH domain-containing, RNA-binding, signal transduction-associated protein 1"	42336.4	62120	58062.6	35720.8	55418	47697.6	48316.5	75616.6	68444.3	78117.5	65279	56812.1	47720.8	61930.5	46327.4	47992
Q07812	Q07812	BAX_HUMAN	BAX	Apoptosis regulator BAX	12221.9	4525.61	4388.11	18075.6	17695.5	7054.79	20679.8	14668.9	15655	19344	33300.5	3907.53		21708.2	11499.5	15204.2
Q07817	Q07817	B2CL1_HUMAN	BCL2L1	Bcl-2-like protein 1		3833.62	1561.2	5632.99	6702.1					8504.15						
Q07866	Q07866	KLC1_HUMAN	KLC1	Kinesin light chain 1	12173.6		5330.68	5570.37	7359.68	13759.6	8765.12	15048.7	12799.1	8948.22	10422.2		5915.68	14191.9	4823.38	20396.7
Q07954	Q07954	LRP1_HUMAN	LRP1	Prolow-density lipoprotein receptor-related protein 1		12592.9	22050.6								35740.1	26219.9				
Q07955	Q07955	SRSF1_HUMAN	SRSF1	Serine/arginine-rich splicing factor 1	32038.8	30820.6	28756.4	22844.5	26069.7	31856.1	35614.2	38314.3	31150.6	34677.5	35406	14682.6	27261	34446.2	33148.4	19349.3
Q07960	Q07960	RHG01_HUMAN	ARHGAP1	Rho GTPase-activating protein 1	24985.6	7179.13	15410.2	42939.4	36451.4	22071.9	24383.6	80234.8	21268.1	19227.5	34541.6		14297.9	30788.7		20283.1
Q08117	Q08117	TLE5_HUMAN	TLE5	TLE family member 5														3410.84		
Q08170	Q08170	SRSF4_HUMAN	SRSF4	Serine/arginine-rich splicing factor 4	18837.2	21142	9577.91	3291.72	8153.56		15315.8					15866.3		24490.3	37925.8	
Q08174	Q08174	PCDH1_HUMAN	PCDH1	Protocadherin-1		24926.7														
Q08188	Q08188	TGM3_HUMAN	TGM3	Protein-glutamine gamma-glutamyltransferase E	36907.9	29588.1	18361.6	12748.3	39023.2	37877.8	38709.6	67021.9	34698	38022.8	38183.2	45932	32178.9	31422.6	41933.8	40858.9
Q08209	P48454;P16298;Q08209	PP2BA_HUMAN	PPP3CA	Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform	13236			5477.07			4358.17	25069.3		12082.4						
Q08211	Q08211	DHX9_HUMAN	DHX9	ATP-dependent RNA helicase A	73525	77933.1	58173.2	34819.2	51000.4	67498.8	57835.3	42454.8	46724.6	72303.9	59912.1	50265.5	47312.1	58242.7	48176.1	31135.3
Q08257	Q08257	QOR_HUMAN	CRYZ	Quinone oxidoreductase	21970.8	20649.2	13569.1	13564.7	14782.3	4657.75	8533.23		26058.6	20262.4	16024.9	14048.6	10812.8	22028.6	18583	24409.6
Q08378	Q08378	GOGA3_HUMAN	GOLGA3	Golgin subfamily A member 3				10458.6	12498.3	31625.4			24773.9		33015.1	28963		17108.3		
Q08379	Q08379	GOGA2_HUMAN	GOLGA2	Golgin subfamily A member 2		10404	14268.1	4238.33	10054.1				4622.21	11721.9	13091	11462.6				
Q08380	Q08380	LG3BP_HUMAN	LGALS3BP	Galectin-3-binding protein		17762.4	7186.42	4366.64	21018.5			31536.4			13880	17111.4			5511.8	
Q08426	Q08426	ECHP_HUMAN	EHHADH	Peroxisomal bifunctional enzyme				4452.11			5915.89									
Q08431	Q08431	MFGM_HUMAN	MFGE8	Lactadherin								22615.8								
Q08554	Q08554	DSC1_HUMAN	DSC1	Desmocollin-1	79843.9	57892.5	39952.3	30996	93123.5	63456.2	59247.3	82214.5	68373.9	77480.6	63978.9	67726.7	91193	72715.5	105759	65309
Q08722	Q08722	CD47_HUMAN	CD47	Leukocyte surface antigen CD47				5123.02												
Q08752	Q08752	PPID_HUMAN	PPID	Peptidyl-prolyl cis-trans isomerase D	9286.33			8988.09			8288.1									
Q08945	Q08945	SSRP1_HUMAN	SSRP1	FACT complex subunit SSRP1	48599.5	32014.3	18009.7	12078	31580	31614.4	37891.6	29112.9	22981.1	42092.9	16461.4		33435.3	32106.3	33208	21443.5
Q08AD1	Q08AD1	CAMP2_HUMAN	CAMSAP2	Calmodulin-regulated spectrin-associated protein 2				3978.21												
Q08AE8	Q08AE8	SPIR1_HUMAN	SPIRE1	Protein spire homolog 1														3219.46		
Q08AF3	Q08AF3	SLFN5_HUMAN	SLFN5	Schlafen family member 5			11230.8	7527.98	7152.29	13068.7				12277.9				10777.1		
Q08AM6	Q08AM6	VAC14_HUMAN	VAC14	Protein VAC14 homolog				22644.2				202770	140160							
Q08J23	Q08J23	NSUN2_HUMAN	NSUN2	RNA cytosine C(5)-methyltransferase NSUN2	15737.4	12901.7	14172.9	10462.2	18744.8	19317.7	10143.1	66119.7		19428.6				7973.17		24361.6
Q09028	Q09028	RBBP4_HUMAN	RBBP4	Histone-binding protein RBBP4	4836.74		7902.39				28920.2	19736.9		32623.5			11499.4	16935.3	17868.4	
Q09161	Q09161	NCBP1_HUMAN	NCBP1	Nuclear cap-binding protein subunit 1		1765.11	10954.3		7094.95		8337.89							4703.14		
Q09666	Q09666	AHNK_HUMAN	AHNAK	Neuroblast differentiation-associated protein AHNAK	141845	126693	78886.5	211826	225119	186930	146422	130088	259191	200738	273023	42076.6	227088	148290	142162	242758
Q0VAQ4	Q0VAQ4	SMAGP_HUMAN	SMAGP	Small cell adhesion glycoprotein				4547.49												
Q0VDF9	Q0VDF9	HSP7E_HUMAN	HSPA14	Heat shock 70 kDa protein 14				18638							65708.3			4528.48		7377.34
Q0VGL1	Q0VGL1	LTOR4_HUMAN	LAMTOR4	Ragulator complex protein LAMTOR4			4209.27													
Q0ZGT2	Q0ZGT2	NEXN_HUMAN	NEXN	Nexilin	25717.9	19322.5	27968.5	16994.1	10829.2	12872.1	18004.6			6058.6	10762					
Q10471	Q10471	GALT2_HUMAN	GALNT2	Polypeptide N-acetylgalactosaminyltransferase 2		11025.7		6860.69		11636.6	4520.99	17299.6	13329.8	13707.1	20919.2	24432.1	10493.2	17605.8	10703.4	14769.6
Q10472	Q8IUC8;Q10472	GALT1_HUMAN	GALNT1	Polypeptide N-acetylgalactosaminyltransferase 1											12113.2					
Q10567	Q10567	AP1B1_HUMAN	AP1B1	AP-1 complex subunit beta-1	9362.94	3844.9		14143	22593.6		25372.7	76379.1	23934.6		20894.4		6821.4	15239.6		16685.4
Q10570	Q10570	CPSF1_HUMAN	CPSF1	Cleavage and polyadenylation specificity factor subunit 1					7763.52		11776.1				8557.42			5781.37		8265.75
Q10713	Q10713	MPPA_HUMAN	PMPCA	Mitochondrial-processing peptidase subunit alpha		11385	30592.7	7139.71	6079.87	118922				22351.9	14351.6	15734.9		5635.07	9133.63	
Q12756	Q12756	KIF1A_HUMAN	KIF1A	Kinesin-like protein KIF1A				5474.07	16637.4	6197.82				4027.96					6784.67	
Q12765	Q12765	SCRN1_HUMAN	SCRN1	Secernin-1	42495.6			26708.4	15667.5	33351.4			45380.3	34611.6	26590.9			32752.2	9350.86	
Q12768	Q12768	WASC5_HUMAN	WASHC5	WASH complex subunit 5				7114.7	9717.67		58909							22209.4		
Q12769	Q12769	NU160_HUMAN	NUP160	Nuclear pore complex protein Nup160		8731.13		9527.94	35192.1	3848.87				3725.82		34709.5		10717		
Q12788	Q12788	TBL3_HUMAN	TBL3	Transducin beta-like protein 3				20982.4	20557.3					61995.1				18483.5	5516.38	
Q12791	Q12791	KCMA1_HUMAN	KCNMA1	Calcium-activated potassium channel subunit alpha-1					5760.74				89629.8							
Q12792	Q12792	TWF1_HUMAN	TWF1	Twinfilin-1	18809.5		6682.4	18402.1	17837.5	31459.6	18409.2	15422.7	22975	15754.5	18673.8		27351.9	25959	20285.9	20236.8
Q12797	Q12797	ASPH_HUMAN	ASPH	Aspartyl/asparaginyl beta-hydroxylase		20883.3	49615.9	40171.7	17059.4		15682.5	18202.7	23904.2	25961.3	17000.8	43759.7	31555.6	14316.6	840056	31837.3
Q12802	Q12802	AKP13_HUMAN	AKAP13	A-kinase anchor protein 13				4805.35										3969.32	6786.5	
Q12824	Q12824	SNF5_HUMAN	SMARCB1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily B member 1	6250.98			5819.42					8639.83			11429.5		9065.5		
Q12846	Q12846	STX4_HUMAN	STX4	Syntaxin-4	44452.9		8041.59	9234.95							10760.6	5801.56	14893.4			
Q12849	Q12849	GRSF1_HUMAN	GRSF1	G-rich sequence factor 1					6604.46	5082.23		10870.9							14861.7	
Q12874	Q12874	SF3A3_HUMAN	SF3A3	Splicing factor 3A subunit 3	14810.4	9832.27	11441.9	8218.74	5344.74	8193.91	10661.5	11186.7		13579.6	8511.89	11837.4	4444.48	14290.6	2506.7	12310.1
Q12882	Q12882	DPYD_HUMAN	DPYD	Dihydropyrimidine dehydrogenase [NADP(+)]				1945.76												
Q12884	Q12884	SEPR_HUMAN	FAP	Prolyl endopeptidase FAP		11911.6		6653.1				8163.89				20383.2	11332.8			45274.4
Q12888	Q12888	TP53B_HUMAN	TP53BP1	TP53-binding protein 1	12732.2	10581.6	12768.7	6236.8				29721	17956.3	6240.16	18024.7	13355.3		13294.3		5742.48
Q12899	Q12899	TRI26_HUMAN	TRIM26	Tripartite motif-containing protein 26			11792.7			13556.6					9128.74					
Q12904	Q12904	AIMP1_HUMAN	AIMP1	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1	12507.2		2131.68	10467.3	17611.9	15244.8	21011.8	14217.6	14338.6	13096.1	17394.9		13713.5	12591.5	8439.71	
Q12905	Q12905	ILF2_HUMAN	ILF2	Interleukin enhancer-binding factor 2	20273.1	28182.4	19084.6	9506.54	17645.7	19891.8	29802.4	14511.2	23038.2	24746	25476.1	24695.7	58251.5	30780.7	52752.1	11678
Q12906	Q12906;Q96SI9	ILF3_HUMAN	ILF3	Interleukin enhancer-binding factor 3	55747.7	78636.2	74776	53438.3	36794.3	86268.1	45094	60531	50528.6	70421.6	55184.3	81213.6	44593.6	65647.2	55123.4	67599.6
Q12907	Q12907	LMAN2_HUMAN	LMAN2	Vesicular integral-membrane protein VIP36	19317.3	24187.2	42706.1	34994.8	41027.4		193412	100600	24716.3	17379.8	21455.2	32493		26859.3	22364.4	15199.9
Q12929	Q12929	EPS8_HUMAN	EPS8	Epidermal growth factor receptor kinase substrate 8	16008.5			8399.23										11819.6	17893.2	
Q12931	Q12931	TRAP1_HUMAN	TRAP1	"Heat shock protein 75 kDa, mitochondrial"	364526	313981	140673	246703	260915	475675	629244	362861	417120	304029	433394	211837	331066	266667	456746	431950
Q12955	Q12955	ANK3_HUMAN	ANK3	Ankyrin-3														13597.7		
Q12965	Q12965	MYO1E_HUMAN	MYO1E	Unconventional myosin-Ie			10828.4	10640.7	11086	8922.05					10277.6			10486.1		
Q12972	Q12972	PP1R8_HUMAN	PPP1R8	Nuclear inhibitor of protein phosphatase 1					6638.31									6041.08		
Q12979	Q12979	ABR_HUMAN	ABR	Active breakpoint cluster region-related protein			25301.1	4483.08	12977.7					26888.3	22095.7		16068.2	12754.7		42478
Q12981	Q12981	SEC20_HUMAN	BNIP1	Vesicle transport protein SEC20		4226.21	10069.9	3719.53	6358.44						1528.65			8234.43		
Q12996	Q12996	CSTF3_HUMAN	CSTF3	Cleavage stimulation factor subunit 3		21219.7		9568.78						15564.1	8092.33	6989.93		52380.4		4738.21
Q13011	Q13011	ECH1_HUMAN	ECH1	"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial"		7219.77	2660.99	4604.1	18393.2			8714.56	22906	14812.4	13936.8	9930.5		6134.86		
Q13033	Q13033	STRN3_HUMAN	STRN3	Striatin-3			9211.31		8905.51									6236.47		
Q13045	Q13045	FLII_HUMAN	FLII	Protein flightless-1 homolog				13111.7	17846.6	7918.49	29884.1	36409.7		17860.2	9365.25		16069.3	18002.3	127592	
Q13057	Q13057	COASY_HUMAN	COASY	Bifunctional coenzyme A synthase				3019.21	10198.3		13776.1				5445.52					
Q13084	Q13084	RM28_HUMAN	MRPL28	"39S ribosomal protein L28, mitochondrial"																
Q13085	Q13085	ACACA_HUMAN	ACACA	Acetyl-CoA carboxylase 1	15376.3		6332.89	8006.07	38443.4	12561.2	22390	23201.9	19414.1	13078.2	25038.3		10577.4	20549.2	17004	16750.3
Q13098	Q13098	CSN1_HUMAN	GPS1	COP9 signalosome complex subunit 1			9457.42	11488.1	13184.8	22844.8				8681.53				7086.27	16807.8	8832.15
Q13112	Q13112	CAF1B_HUMAN	CHAF1B	Chromatin assembly factor 1 subunit B					8921.26										10075.2	
Q13123	Q13123	RED_HUMAN	IK	Protein Red		12868.2	9645.48	2700.76	9159		8255.73			17951.8	4716.68			7953.61	7034.51	
Q13126	Q13126	MTAP_HUMAN	MTAP	S-methyl-5'-thioadenosine phosphorylase				11402.5	8188.01		11984.7			14976.6	16269.8		11245.1	20500		
Q13131	Q13131	AAPK1_HUMAN	PRKAA1	5'-AMP-activated protein kinase catalytic subunit alpha-1				16942.8	10036.9	10422.1		8923.04	17360.3		15705.2			12111	6970.61	20910.1
Q13136	Q13136	LIPA1_HUMAN	PPFIA1	Liprin-alpha-1	65799.6		5361.15	24088.9	10042.1					10176	26808.6		27400.2	4519.38		
Q13144	Q13144	EI2BE_HUMAN	EIF2B5	Translation initiation factor eIF-2B subunit epsilon	13133.8			4738.45		10991.7	8874.4		11253.5					9212.55		
Q13148	Q13148	TADBP_HUMAN	TARDBP	TAR DNA-binding protein 43	27012.8	12272.1	14907.6	14003.5	24005	13372.1	15794.2	12566.6	27341.9	27536.1	35002.1	10740.7	23198.3	18680.6	20933.8	19509.1
Q13151	Q13151	ROA0_HUMAN	HNRNPA0	Heterogeneous nuclear ribonucleoprotein A0	30246.3	38153.3	19825.9	17433.2	36120.5	46944.8	34306.4	34037.7	23891.7	44381.5	26457.2	44398.5	30535.5	40826.3	46618.2	36220.9
Q13153	Q13153	PAK1_HUMAN	PAK1	Serine/threonine-protein kinase PAK 1				6097.75			11132.6		2503.71					7830.1		12970.7
Q13155	Q13155	AIMP2_HUMAN	AIMP2	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2			1258.16	4007.31	9455.71									10535.4		
Q13162	Q13162	PRDX4_HUMAN	PRDX4	Peroxiredoxin-4						15471.8	24911.6	34981.6				9787.33				
Q13177	Q13177	PAK2_HUMAN	PAK2	Serine/threonine-protein kinase PAK 2	21123.8		8292.09	22695.2	14176	25212.7	20790.6	18781.9	32984.2	7597.67	18950.4		14949.7	21091.8	34614	40041.4
