gene	GO_id	GO_term	definition	synonym	gene_product	annotation_extention	additional_terms
ROCK2	GO:0004674	protein serine/threonine kinase activity	Rho-associated protein kinase 2	KIAA0619	protein	brain microvascular endothelial cell|myosin-light-chain-phosphatase activity|brain microvascular endothelial cell	"microvascular endothelial cell|epithelial cell|brain microvascular endothelial cell|disconnected anatomical group|anatomical conduit|blood vessel endothelium|tissue|circulatory system|neural cell|anatomical cluster|barrier cell|brain|lining cell|squamous epithelial cell|blood vessel endothelial cell|organ|anatomical structure|multicellular organism|anatomical system|material anatomical entity|vasculature|cell|protein-containing material entity|vessel|anatomical entity|unilaminar epithelium|material anatomical entity|endothelium|squamous epithelium|blood vasculature|connected anatomical structure|cardiovascular system|blood vessel|anatomical entity|cardiovascular system endothelium|endothelial cell|microvascular endothelium|endothelial cell of vascular tree|meso-epithelium|meso-epithelial cell|multicellular anatomical structure|biological entity|organ system subdivision|microcirculatory vessel|vascular system|epithelium|mesoderm-derived structure|ectoderm-derived structure|central nervous system|blood microvessel|nervous system|simple squamous epithelium|hydrolase activity, acting on ester bonds|phosphoprotein phosphatase activity|catalytic activity, acting on a protein|catalytic activity|phosphatase activity|myosin-light-chain-phosphatase activity|phosphoric ester hydrolase activity|molecular_function|hydrolase activity|microvascular endothelial cell|epithelial cell|brain microvascular endothelial cell|disconnected anatomical group|anatomical conduit|blood vessel endothelium|tissue|circulatory system|neural cell|anatomical cluster|barrier cell|brain|lining cell|squamous epithelial cell|blood vessel endothelial cell|organ|anatomical structure|multicellular organism|anatomical system|material anatomical entity|vasculature|cell|protein-containing material entity|vessel|anatomical entity|unilaminar epithelium|material anatomical entity|endothelium|squamous epithelium|blood vasculature|connected anatomical structure|cardiovascular system|blood vessel|anatomical entity|cardiovascular system endothelium|endothelial cell|microvascular endothelium|endothelial cell of vascular tree|meso-epithelium|meso-epithelial cell|multicellular anatomical structure|biological entity|organ system subdivision|microcirculatory vessel|vascular system|epithelium|mesoderm-derived structure|ectoderm-derived structure|central nervous system|blood microvessel|nervous system|simple squamous epithelium"
ROCK2	GO:0002931	response to ischemia	Rho-associated protein kinase 2	KIAA0619	protein	brain microvascular endothelial cell|cerebral cortex|aortic endothelial cell	microvascular endothelial cell|epithelial cell|brain microvascular endothelial cell|disconnected anatomical group|anatomical conduit|blood vessel endothelium|tissue|circulatory system|neural cell|anatomical cluster|barrier cell|brain|lining cell|squamous epithelial cell|blood vessel endothelial cell|organ|anatomical structure|multicellular organism|anatomical system|material anatomical entity|vasculature|cell|protein-containing material entity|vessel|anatomical entity|unilaminar epithelium|material anatomical entity|endothelium|squamous epithelium|blood vasculature|connected anatomical structure|cardiovascular system|blood vessel|anatomical entity|cardiovascular system endothelium|endothelial cell|microvascular endothelium|endothelial cell of vascular tree|meso-epithelium|meso-epithelial cell|multicellular anatomical structure|biological entity|organ system subdivision|microcirculatory vessel|vascular system|epithelium|mesoderm-derived structure|ectoderm-derived structure|central nervous system|blood microvessel|nervous system|simple squamous epithelium|multi cell part structure|gray matter of telencephalon|root|cerebral hemisphere gray matter|regional part of nervous system|anatomical entity|gray matter of forebrain|material anatomical entity|brain gray matter|connected anatomical structure|anatomical entity|nervous system cell part layer|cerebral cortex|Opisthokonta|Archaea or Eukaryota|cerebral hemisphere|brain|Unikonta|regional part of brain|organism|multicellular anatomical structure|biological entity|organ system subdivision|central nervous system cell part cluster|central nervous system gray matter layer|forebrain|Eumetazoa|organ part|multi-tissue structure|ectoderm-derived structure|gray matter|organ|anatomical structure|multicellular organism|pallium|central nervous system|cellular organisms|anatomical system|Eukaryota|telencephalon|nervous system|Metazoa|material anatomical entity|cellular organisms or viruses|lateral structure|epithelial cell|disconnected anatomical group|anatomical conduit|blood vessel endothelium|tissue|circulatory system|anatomical cluster|barrier cell|arterial blood vessel|lining cell|squamous epithelial cell|blood vessel endothelial cell|anatomical structure|multicellular organism|anatomical system|arterial system endothelium|material anatomical entity|vasculature|tube|endothelium of artery|artery|cell|endothelial cell of artery|protein-containing material entity|vessel|arterial system|anatomical entity|unilaminar epithelium|material anatomical entity|endothelium|squamous epithelium|blood vasculature|connected anatomical structure|cardiovascular system|blood vessel|anatomical entity|cardiovascular system endothelium|endothelial cell|endothelial cell of vascular tree|meso-epithelium|meso-epithelial cell|multicellular anatomical structure|biological entity|vascular system|epithelium|mesoderm-derived structure|simple squamous epithelium|epithelial tube|aortic endothelial cell|endothelial tube
ROCK2	GO:0010629	negative regulation of gene expression	Rho-associated protein kinase 2	KIAA0619	protein	brain microvascular endothelial cell|response to ischemia|cerebral cortex|cardiac endothelial cell	microvascular endothelial cell|epithelial cell|brain microvascular endothelial cell|disconnected anatomical group|anatomical conduit|blood vessel endothelium|tissue|circulatory system|neural cell|anatomical cluster|barrier cell|brain|lining cell|squamous epithelial cell|blood vessel endothelial cell|organ|anatomical structure|multicellular organism|anatomical system|material anatomical entity|vasculature|cell|protein-containing material entity|vessel|anatomical entity|unilaminar epithelium|material anatomical entity|endothelium|squamous epithelium|blood vasculature|connected anatomical structure|cardiovascular system|blood vessel|anatomical entity|cardiovascular system endothelium|endothelial cell|microvascular endothelium|endothelial cell of vascular tree|meso-epithelium|meso-epithelial cell|multicellular anatomical structure|biological entity|organ system subdivision|microcirculatory vessel|vascular system|epithelium|mesoderm-derived structure|ectoderm-derived structure|central nervous system|blood microvessel|nervous system|simple squamous epithelium|biological_process|response to ischemia|response to stress|response to stimulus|multi cell part structure|gray matter of telencephalon|root|cerebral hemisphere gray matter|regional part of nervous system|anatomical entity|gray matter of forebrain|material anatomical entity|brain gray matter|connected anatomical structure|anatomical entity|nervous system cell part layer|cerebral cortex|Opisthokonta|Archaea or Eukaryota|cerebral hemisphere|brain|Unikonta|regional part of brain|organism|multicellular anatomical structure|biological entity|organ system subdivision|central nervous system cell part cluster|central nervous system gray matter layer|forebrain|Eumetazoa|organ part|multi-tissue structure|ectoderm-derived structure|gray matter|organ|anatomical structure|multicellular organism|pallium|central nervous system|cellular organisms|anatomical system|Eukaryota|telencephalon|nervous system|Metazoa|material anatomical entity|cellular organisms or viruses|lateral structure|main body axis|primary circulatory organ|cardiac endothelial cell|body proper|epithelial cell|cell|thoracic segment organ|structure with developmental contribution from neural crest|circulatory organ|subdivision of trunk|protein-containing material entity|viscus|anatomical entity|material anatomical entity|tissue|circulatory system|connected anatomical structure|cardiovascular system|organism subdivision|anatomical entity|compound organ|endothelial cell|thoracic segment of trunk|barrier cell|lining cell|cardiocyte|meso-epithelial cell|multicellular anatomical structure|biological entity|subdivision of organism along main body axis|trunk|epithelium|thoracic cavity element|trunk region element|mesoderm-derived structure|organ|anatomical structure|multicellular organism|anatomical system|material anatomical entity|heart|heart plus pericardium
ROCK2	GO:0045019	negative regulation of nitric oxide biosynthetic process	Rho-associated protein kinase 2	KIAA0619	protein	response to ischemia|brain microvascular endothelial cell|cerebral cortex|cardiac endothelial cell	biological_process|response to ischemia|response to stress|response to stimulus|microvascular endothelial cell|epithelial cell|brain microvascular endothelial cell|disconnected anatomical group|anatomical conduit|blood vessel endothelium|tissue|circulatory system|neural cell|anatomical cluster|barrier cell|brain|lining cell|squamous epithelial cell|blood vessel endothelial cell|organ|anatomical structure|multicellular organism|anatomical system|material anatomical entity|vasculature|cell|protein-containing material entity|vessel|anatomical entity|unilaminar epithelium|material anatomical entity|endothelium|squamous epithelium|blood vasculature|connected anatomical structure|cardiovascular system|blood vessel|anatomical entity|cardiovascular system endothelium|endothelial cell|microvascular endothelium|endothelial cell of vascular tree|meso-epithelium|meso-epithelial cell|multicellular anatomical structure|biological entity|organ system subdivision|microcirculatory vessel|vascular system|epithelium|mesoderm-derived structure|ectoderm-derived structure|central nervous system|blood microvessel|nervous system|simple squamous epithelium|multi cell part structure|gray matter of telencephalon|root|cerebral hemisphere gray matter|regional part of nervous system|anatomical entity|gray matter of forebrain|material anatomical entity|brain gray matter|connected anatomical structure|anatomical entity|nervous system cell part layer|cerebral cortex|Opisthokonta|Archaea or Eukaryota|cerebral hemisphere|brain|Unikonta|regional part of brain|organism|multicellular anatomical structure|biological entity|organ system subdivision|central nervous system cell part cluster|central nervous system gray matter layer|forebrain|Eumetazoa|organ part|multi-tissue structure|ectoderm-derived structure|gray matter|organ|anatomical structure|multicellular organism|pallium|central nervous system|cellular organisms|anatomical system|Eukaryota|telencephalon|nervous system|Metazoa|material anatomical entity|cellular organisms or viruses|lateral structure|main body axis|primary circulatory organ|cardiac endothelial cell|body proper|epithelial cell|cell|thoracic segment organ|structure with developmental contribution from neural crest|circulatory organ|subdivision of trunk|protein-containing material entity|viscus|anatomical entity|material anatomical entity|tissue|circulatory system|connected anatomical structure|cardiovascular system|organism subdivision|anatomical entity|compound organ|endothelial cell|thoracic segment of trunk|barrier cell|lining cell|cardiocyte|meso-epithelial cell|multicellular anatomical structure|biological entity|subdivision of organism along main body axis|trunk|epithelium|thoracic cavity element|trunk region element|mesoderm-derived structure|organ|anatomical structure|multicellular organism|anatomical system|material anatomical entity|heart|heart plus pericardium
ROCK2	GO:0045019	negative regulation of nitric oxide biosynthetic process	Rho-associated protein kinase 2	KIAA0619	protein	brain microvascular endothelial cell	microvascular endothelial cell|epithelial cell|brain microvascular endothelial cell|disconnected anatomical group|anatomical conduit|blood vessel endothelium|tissue|circulatory system|neural cell|anatomical cluster|barrier cell|brain|lining cell|squamous epithelial cell|blood vessel endothelial cell|organ|anatomical structure|multicellular organism|anatomical system|material anatomical entity|vasculature|cell|protein-containing material entity|vessel|anatomical entity|unilaminar epithelium|material anatomical entity|endothelium|squamous epithelium|blood vasculature|connected anatomical structure|cardiovascular system|blood vessel|anatomical entity|cardiovascular system endothelium|endothelial cell|microvascular endothelium|endothelial cell of vascular tree|meso-epithelium|meso-epithelial cell|multicellular anatomical structure|biological entity|organ system subdivision|microcirculatory vessel|vascular system|epithelium|mesoderm-derived structure|ectoderm-derived structure|central nervous system|blood microvessel|nervous system|simple squamous epithelium
WDR89	GO:0021591	ventricular system development	WD repeat-containing protein 89	C14orf150|MSTP050	protein	NA	NA
WDR89	GO:0022038	corpus callosum development	WD repeat-containing protein 89	C14orf150|MSTP050	protein	NA	NA
CLDN1	GO:0035633	maintenance of blood-brain barrier	Claudin-1	CLD1|SEMP1|UNQ481/PRO944	protein	NA	NA
CLDN1	GO:0070160	tight junction	Claudin-1	CLD1|SEMP1|UNQ481/PRO944	protein	brain microvascular endothelial cell	microvascular endothelial cell|epithelial cell|brain microvascular endothelial cell|disconnected anatomical group|anatomical conduit|blood vessel endothelium|tissue|circulatory system|neural cell|anatomical cluster|barrier cell|brain|lining cell|squamous epithelial cell|blood vessel endothelial cell|organ|anatomical structure|multicellular organism|anatomical system|material anatomical entity|vasculature|cell|protein-containing material entity|vessel|anatomical entity|unilaminar epithelium|material anatomical entity|endothelium|squamous epithelium|blood vasculature|connected anatomical structure|cardiovascular system|blood vessel|anatomical entity|cardiovascular system endothelium|endothelial cell|microvascular endothelium|endothelial cell of vascular tree|meso-epithelium|meso-epithelial cell|multicellular anatomical structure|biological entity|organ system subdivision|microcirculatory vessel|vascular system|epithelium|mesoderm-derived structure|ectoderm-derived structure|central nervous system|blood microvessel|nervous system|simple squamous epithelium
VPS4B	GO:0060856	establishment of blood-brain barrier	Vacuolar protein sorting-associated protein 4B	SKD1|VPS42|MIG1	protein	NA	NA
SYNJ1	GO:0097060	synaptic membrane	Synaptojanin-1	KIAA0910	protein	retina|brain	main body axis|body proper|non-connected functional system|structure with developmental contribution from neural crest|chorioretinal region|root|disconnected anatomical group|head|anterior region of body|organism subdivision|subdivision of head|Opisthokonta|eyeball of camera-type eye|Archaea or Eukaryota|posterior segment of eyeball|Unikonta|subdivision of organism along main body axis|organ part|sense organ|sensory system|organ subunit|anatomical wall|organ|anatomical structure|multicellular organism|anatomical system|material anatomical entity|craniocervical region|cellular organisms or viruses|photoreceptor array|anatomical entity|material anatomical entity|camera-type eye|connected anatomical structure|eye|anatomical entity|entire sense organ system|organism|multicellular anatomical structure|biological entity|Eumetazoa|multi-tissue structure|orbital region|ectoderm-derived structure|cellular organisms|Eukaryota|organ component layer|face|nervous system|Metazoa|visual system|simple eye|lateral structure|retina|multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
GRID2	GO:0021707	cerebellar granule cell differentiation	"Glutamate receptor ionotropic, delta-2"	GLURD2	protein	NA	NA
MPC1	GO:0003674	molecular_function	Mitochondrial pyruvate carrier 1	BRP44L|CGI-129|HSPC040|PNAS-115	protein	NA	NA
MPC1	GO:0005515	protein binding	Mitochondrial pyruvate carrier 1	BRP44L|CGI-129|HSPC040|PNAS-115	protein	NA	NA
MPC1	GO:0005515	protein binding	Mitochondrial pyruvate carrier 1	BRP44L|CGI-129|HSPC040|PNAS-115	protein	NA	NA
MPC1	GO:0005515	protein binding	Mitochondrial pyruvate carrier 1	BRP44L|CGI-129|HSPC040|PNAS-115	protein	NA	NA
MPC1	GO:0006850	mitochondrial pyruvate transmembrane transport	Mitochondrial pyruvate carrier 1	BRP44L|CGI-129|HSPC040|PNAS-115	protein	NA	NA
MPC1	GO:0006850	mitochondrial pyruvate transmembrane transport	Mitochondrial pyruvate carrier 1	BRP44L|CGI-129|HSPC040|PNAS-115	protein	NA	NA
MPC1	GO:0006850	mitochondrial pyruvate transmembrane transport	Mitochondrial pyruvate carrier 1	BRP44L|CGI-129|HSPC040|PNAS-115	protein	NA	NA
MPC1	GO:0008150	biological_process	Mitochondrial pyruvate carrier 1	BRP44L|CGI-129|HSPC040|PNAS-115	protein	NA	NA
MPC1	GO:0005739	mitochondrion	Mitochondrial pyruvate carrier 1	BRP44L|CGI-129|HSPC040|PNAS-115	protein	NA	NA
MPC1	GO:0005743	mitochondrial inner membrane	Mitochondrial pyruvate carrier 1	BRP44L|CGI-129|HSPC040|PNAS-115	protein	NA	NA
MPC1	GO:0005743	mitochondrial inner membrane	Mitochondrial pyruvate carrier 1	BRP44L|CGI-129|HSPC040|PNAS-115	protein	NA	NA
MPC1	GO:0098800	inner mitochondrial membrane protein complex	Mitochondrial pyruvate carrier 1	BRP44L|CGI-129|HSPC040|PNAS-115	protein	NA	NA
MPC1	GO:0050833	pyruvate transmembrane transporter activity	Mitochondrial pyruvate carrier 1	BRP44L|CGI-129|HSPC040|PNAS-115	protein	NA	NA
MPC1	GO:0005743	mitochondrial inner membrane	Mitochondrial pyruvate carrier 1	BRP44L|CGI-129|HSPC040|PNAS-115	protein	NA	NA
MPC1	GO:0006850	mitochondrial pyruvate transmembrane transport	Mitochondrial pyruvate carrier 1	BRP44L|CGI-129|HSPC040|PNAS-115	protein	NA	NA
FOXG1	GO:0007420	brain development	Forkhead box protein G1	FKH2|FKHL1|FKHL2|FKHL3|FKHL4|FOXG1A|FOXG1B|FOXG1C	protein	NA	NA
FOXG1	GO:0007420	brain development	Forkhead box protein G1	FKH2|FKHL1|FKHL2|FKHL3|FKHL4|FOXG1A|FOXG1B|FOXG1C	protein	NA	NA
FOXG1	GO:0021852	pyramidal neuron migration to cerebral cortex	Forkhead box protein G1	FKH2|FKHL1|FKHL2|FKHL3|FKHL4|FOXG1A|FOXG1B|FOXG1C	protein	NA	NA
EXT1	GO:0021772	olfactory bulb development	Exostosin-1	NA	protein	NA	NA
SCYL2	GO:0007420	brain development	SCY1-like protein 2	CVAK104|KIAA1360	protein	NA	NA
SCYL2	GO:0021860	pyramidal neuron development	SCY1-like protein 2	CVAK104|KIAA1360	protein	NA	NA
RTN3	GO:0007420	brain development	Reticulon-3	ASYIP|NSPL2	protein	NA	NA
NFIB	GO:0007420	brain development	Nuclear factor 1 B-type	NA	protein	NA	NA
NFIB	GO:0021740	principal sensory nucleus of trigeminal nerve development	Nuclear factor 1 B-type	NA	protein	NA	NA
NFIB	GO:0021846	cell proliferation in forebrain	Nuclear factor 1 B-type	NA	protein	NA	NA
NFIB	GO:0021960	anterior commissure morphogenesis	Nuclear factor 1 B-type	NA	protein	NA	NA
NFIB	GO:0030902	hindbrain development	Nuclear factor 1 B-type	NA	protein	NA	NA
CBS	GO:0021587	cerebellum morphogenesis	Cystathionine beta-synthase	NA	protein	NA	NA
BPTF	GO:0007420	brain development	Nucleosome-remodeling factor subunit BPTF	FAC1|FALZ	protein	NA	NA
BPTF	GO:0007420	brain development	Nucleosome-remodeling factor subunit BPTF	FAC1|FALZ	protein	NA	NA
PGAP1	GO:0021871	forebrain regionalization	GPI inositol-deacylase	UNQ3024/PRO9822	protein	NA	NA
ROGDI	GO:0007420	brain development	Protein rogdi homolog	NA	protein	NA	NA
UBA6	GO:0021764	amygdala development	Ubiquitin-like modifier-activating enzyme 6	MOP4|UBE1L2	protein	NA	NA
UBA6	GO:0021766	hippocampus development	Ubiquitin-like modifier-activating enzyme 6	MOP4|UBE1L2	protein	NA	NA
TWSG1	GO:0030900	forebrain development	Twisted gastrulation protein homolog 1	TSG|PSEC0250	protein	NA	NA
NEDD4	GO:0019899	enzyme binding	E3 ubiquitin-protein ligase NEDD4	KIAA0093|NEDD4-1|RPF1|PIG53	protein	brain blood vessel|capillary|membrane	vasculature of central nervous system|vasculature of central nervous system plus retina|vasculature of brain|protein-containing material entity|disconnected anatomical group|vessel|anatomical conduit|anatomical entity|material anatomical entity|circulatory system|blood vasculature|connected anatomical structure|cardiovascular system|blood vessel|anatomical entity|anatomical cluster|vasculature of organ|brain|multicellular anatomical structure|biological entity|organ system subdivision|vascular system|mesoderm-derived structure|ectoderm-derived structure|organ|anatomical structure|multicellular organism|central nervous system|anatomical system|brain blood vessel|nervous system|vasculature|material anatomical entity|protein-containing material entity|disconnected anatomical group|vessel|anatomical conduit|anatomical entity|material anatomical entity|circulatory system|blood vasculature|connected anatomical structure|capillary|cardiovascular system|blood vessel|anatomical entity|anatomical cluster|multicellular anatomical structure|biological entity|microcirculatory vessel|vascular system|mesoderm-derived structure|anatomical structure|multicellular organism|anatomical system|blood microvessel|vasculature|material anatomical entity|material anatomical entity|connected anatomical structure|biological entity|anatomical entity|membrane|material anatomical entity|cellular anatomical entity|cellular_component|anatomical structure|anatomical entity
NEDD4	GO:0061630	ubiquitin protein ligase activity	E3 ubiquitin-protein ligase NEDD4	KIAA0093|NEDD4-1|RPF1|PIG53	protein	brain blood vessel|capillary|membrane	vasculature of central nervous system|vasculature of central nervous system plus retina|vasculature of brain|protein-containing material entity|disconnected anatomical group|vessel|anatomical conduit|anatomical entity|material anatomical entity|circulatory system|blood vasculature|connected anatomical structure|cardiovascular system|blood vessel|anatomical entity|anatomical cluster|vasculature of organ|brain|multicellular anatomical structure|biological entity|organ system subdivision|vascular system|mesoderm-derived structure|ectoderm-derived structure|organ|anatomical structure|multicellular organism|central nervous system|anatomical system|brain blood vessel|nervous system|vasculature|material anatomical entity|protein-containing material entity|disconnected anatomical group|vessel|anatomical conduit|anatomical entity|material anatomical entity|circulatory system|blood vasculature|connected anatomical structure|capillary|cardiovascular system|blood vessel|anatomical entity|anatomical cluster|multicellular anatomical structure|biological entity|microcirculatory vessel|vascular system|mesoderm-derived structure|anatomical structure|multicellular organism|anatomical system|blood microvessel|vasculature|material anatomical entity|material anatomical entity|connected anatomical structure|biological entity|anatomical entity|membrane|material anatomical entity|cellular anatomical entity|cellular_component|anatomical structure|anatomical entity
RERE	GO:0021691	cerebellar Purkinje cell layer maturation	Arginine-glutamic acid dipeptide repeats protein	ARG|ARP|ATN1L|KIAA0458	protein	NA	NA
RERE	GO:0021930	cerebellar granule cell precursor proliferation	Arginine-glutamic acid dipeptide repeats protein	ARG|ARP|ATN1L|KIAA0458	protein	NA	NA
RERE	GO:0021942	radial glia guided migration of Purkinje cell	Arginine-glutamic acid dipeptide repeats protein	ARG|ARP|ATN1L|KIAA0458	protein	NA	NA
MED12	GO:1990403	embryonic brain development	Mediator of RNA polymerase II transcription subunit 12	ARC240|CAGH45|HOPA|KIAA0192|TNRC11|TRAP230	protein	NA	NA
FZD3	GO:0033278	cell proliferation in midbrain	Frizzled-3	NA	protein	NA	NA
FZD3	GO:1904693	midbrain morphogenesis	Frizzled-3	NA	protein	NA	NA
USP9X	GO:0005829	cytosol	Ubiquitin carboxyl-terminal hydrolase 9X	DFFRX|FAM|USP9	protein	brain|epithelial cell	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain|epithelial cell|multicellular anatomical structure|cell|biological entity|protein-containing material entity|epithelium|anatomical structure|anatomical entity|material anatomical entity|tissue|multicellular organism|connected anatomical structure|anatomical entity|material anatomical entity
NDRG2	GO:0021762	substantia nigra development	Protein NDRG2	KIAA1248|SYLD	protein	NA	NA
PLCB1	GO:0021987	cerebral cortex development	"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-1"	KIAA0581	protein	NA	NA
ATF2	GO:0003360	brainstem development	Cyclic AMP-dependent transcription factor ATF-2	CREB2|CREBP1	protein	NA	NA
ATF2	GO:0021742	abducens nucleus development	Cyclic AMP-dependent transcription factor ATF-2	CREB2|CREBP1	protein	NA	NA
ATF2	GO:0021743	hypoglossal nucleus development	Cyclic AMP-dependent transcription factor ATF-2	CREB2|CREBP1	protein	NA	NA
ATF2	GO:0021754	facial nucleus development	Cyclic AMP-dependent transcription factor ATF-2	CREB2|CREBP1	protein	NA	NA
TOP2B	GO:0030900	forebrain development	DNA topoisomerase 2-beta	NA	protein	NA	NA
BNIP3	GO:0021987	cerebral cortex development	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3	NIP3	protein	NA	NA
PBX3	GO:0007420	brain development	Pre-B-cell leukemia transcription factor 3	NA	protein	NA	NA
PBX2	GO:0007420	brain development	Pre-B-cell leukemia transcription factor 2	G17	protein	NA	NA
PBX1	GO:0007420	brain development	Pre-B-cell leukemia transcription factor 1	PRL	protein	NA	NA
GIT2	GO:0007420	brain development	ARF GTPase-activating protein GIT2	KIAA0148	protein	NA	NA
SCRIB	GO:0021747	cochlear nucleus development	Protein scribble homolog	CRIB1|KIAA0147|LAP4|SCRB1|VARTUL	protein	NA	NA
MXRA8	GO:0060857	establishment of glial blood-brain barrier	Matrix remodeling-associated protein 8	NA	protein	NA	NA
NRP1	GO:0021828	gonadotrophin-releasing hormone neuronal migration to the hypothalamus	Neuropilin-1	NRP|VEGF165R	protein	NA	NA
MEIS2	GO:0007420	brain development	Homeobox protein Meis2	MRG1	protein	NA	NA
HDAC6	GO:0048156	tau protein binding	Histone deacetylase 6	KIAA0901|JM21	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
NFASC	GO:0007420	brain development	Neurofascin	KIAA0756	protein	NA	NA
DCLK2	GO:0021766	hippocampus development	Serine/threonine-protein kinase DCLK2	DCAMKL2|DCDC3B|DCK2	protein	NA	NA
DCLK2	GO:0021860	pyramidal neuron development	Serine/threonine-protein kinase DCLK2	DCAMKL2|DCDC3B|DCK2	protein	NA	NA
WLS	GO:0030901	midbrain development	Protein wntless homolog	C1orf139|GPR177|UNQ85/PRO18667	protein	NA	NA
WLS	GO:0030902	hindbrain development	Protein wntless homolog	C1orf139|GPR177|UNQ85/PRO18667	protein	NA	NA
BIN1	GO:0005856	cytoskeleton	Myc box-dependent-interacting protein 1	AMPHL	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
BIN1	GO:0005634	nucleus	Myc box-dependent-interacting protein 1	AMPHL	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
BIN1	GO:0005737	cytoplasm	Myc box-dependent-interacting protein 1	AMPHL	protein	neuron|brain|astrocyte|brain	electrically responsive cell|multicellular anatomical structure|cell|biological entity|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|anatomical system|connected anatomical structure|neural cell|nervous system|anatomical entity|material anatomical entity|electrically signaling cell|neuron|electrically active cell|multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain|multicellular anatomical structure|cell|biological entity|neuron associated cell|anatomical structure|anatomical entity|material anatomical entity|multicellular organism|anatomical system|connected anatomical structure|neural cell|anatomical entity|nervous system|material anatomical entity|macroglial cell|astrocyte|glial cell|multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
BIN1	GO:0016020	membrane	Myc box-dependent-interacting protein 1	AMPHL	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
MINK1	GO:0007420	brain development	Misshapen-like kinase 1	B55|MAP4K6|MINK|YSK2|ZC3	protein	NA	NA
CDK5	GO:0005874	microtubule	Cyclin-dependent kinase 5	CDKN5|PSSALRE	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
CDK5	GO:0021697	cerebellar cortex formation	Cyclin-dependent kinase 5	CDKN5|PSSALRE	protein	NA	NA
CDK5	GO:0021766	hippocampus development	Cyclin-dependent kinase 5	CDKN5|PSSALRE	protein	NA	NA
CDK5	GO:0021819	layer formation in cerebral cortex	Cyclin-dependent kinase 5	CDKN5|PSSALRE	protein	NA	NA
CDK5	GO:0022038	corpus callosum development	Cyclin-dependent kinase 5	CDKN5|PSSALRE	protein	NA	NA
CDK5	GO:0005737	cytoplasm	Cyclin-dependent kinase 5	CDKN5|PSSALRE	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
CDK5	GO:0016020	membrane	Cyclin-dependent kinase 5	CDKN5|PSSALRE	protein	brain	multicellular anatomical structure|biological entity|organ system subdivision|ectoderm-derived structure|organ|anatomical entity|anatomical structure|multicellular organism|material anatomical entity|central nervous system|anatomical system|connected anatomical structure|nervous system|anatomical entity|material anatomical entity|brain
