Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-194_4215.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-195_4216.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-196_4217.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-197_4218.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-9-2024_Slot1-198_4219.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-199_4228.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-200_4229.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-201_4230.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-202_4231.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_229E1_SC_DIA_3-10-2024_Slot1-203_4232.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-26_4209.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-27_4210.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-28_4211.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-29_4212.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-9-2024_Slot1-30_4213.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-31_4222.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-32_4223.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-33_4224.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-34_4225.d	D:\LucyC\20240310_primary_male_astrocytes_w_229E_SC_SCP_DIA\Lucy_pri_m_astro_p5_control1_SC_DIA_3-10-2024_Slot1-35_4226.d
P67775	P67775;P62714	PP2AA_HUMAN	PPP2CA	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform	330.532	173.914	851.444	895.22		1074.32	276.202	605.739	678.65	148.158		588.484	428.216		1205.67	932.291	582.948	333.231	552.256	661.318
P67809	P67809	YBOX1_HUMAN	YBX1	Y-box-binding protein 1	2183.75		1595.75	2014.95		1664.34	1357.98	3642.77	3186.64	1235.27		1265.97	1041.6	955.842	2166.98	1214.63	1367.11	910.965	2883.25	1805.07
P67812	P67812	SC11A_HUMAN	SEC11A	Signal peptidase complex catalytic subunit SEC11A	250.119		292.858			258.556			261.28	297.933			743.281	1157.13	726.898		364.456	607.055	700.18	575.018
P67936	P67936;P09493;P07951;P06753;CONT|Q5KR48|TPM2_BOVIN	TPM4_HUMAN	TPM4	Tropomyosin alpha-4 chain	6909.4	4284.5	19824.6	32441.1	4321.89	14149.4	8807.76	7025.92	21747.3	4038.33		14352.8	4329.57	4035.14	13442.4	9457.79	12752.1	4053	17880	12814.6
P68036	P68036;A0A1B0GUS4	UB2L3_HUMAN	UBE2L3	Ubiquitin-conjugating enzyme E2 L3			325.331	729.73		1231.83			432.637			445.52					219.478			1054.09
P68104;Q5VTE0	P68104;Q5VTE0	EF1A1_HUMAN;EF1A3_HUMAN	EEF1A1;EEF1A1P5	Elongation factor 1-alpha 1	26723.9	5150.19	57878.7	57208.6	8618.51	61931.9	15213.4	9890.86	52400.2	9115.57		37051.2	8897.43	6472.75	37460.1	30038	30432.1	5813.8	43760.6	43147.3
P68363;Q71U36;Q9BQE3	P0DPH7;P68363;Q6PEY2;P68366;Q71U36;Q9NY65;P0DPH8;Q9BQE3	TBA1A_HUMAN;TBA1B_HUMAN;TBA1C_HUMAN	TUBA1A;TUBA1B;TUBA1C	Tubulin alpha-1B chain	14017.1	3446.19	46238.2	46903.2	6657.24	51297.5	18551	6996.73	46501.1	6774.6		44632.1	10489.4	5794.9	44861.6	27431.7	33165.5	4477.2	45368.4	48888.7
P68366	P0DPH7;P68363;Q6PEY2;P68366;Q9H853;Q71U36;Q9NY65;P0DPH8;Q9BQE3	TBA4A_HUMAN	TUBA4A	Tubulin alpha-4A chain		976.612	224.268	500.62	609.328	435.058	372.642	597.391	443.557	195.59			546.398		417.438	619.664	331.157	329.516		
P68371	P68371;Q9BVA1;Q13885	TBB4B_HUMAN	TUBB4B	Tubulin beta-4B chain	2279.77	865.805	6654.5	8822.17	838.839	8386.58	3687.95	1174.5	6672.36	969.272		9191.76	1380.35	880.509	5870.37	3738.99	4250.1	438.803	8277.06	7109.33
P68400;Q8NEV1	P68400;Q8NEV1	CSK21_HUMAN;CSK23_HUMAN	CSNK2A1;CSNK2A3	Casein kinase II subunit alpha			328.382			518.919			451.567								249.833			602.068
P68402	P68402	PA1B2_HUMAN	PAFAH1B2	Platelet-activating factor acetylhydrolase IB subunit alpha2			562.219	401.554								453.012					243.045		326.318	
P68431;Q16695;Q71DI3	Q16695;Q6NXT2;P68431;Q71DI3;Q5TEC6;P84243	H31T_HUMAN;H31_HUMAN;H32_HUMAN	H3-4;H3C1;H3C15	Histone H3.1	49318.4	3112.14	42082.1	45764	4449.2	55641.6	61899.2	50944.2	41749	50076.7		43229.1	52457.4	34622.8	45500.6	3491.25	57000.5	22365.8	37246.8	45496.8
P69849;Q15155;Q5JPE7	Q15155;P69849;Q5JPE7	NOMO1_HUMAN;NOMO2_HUMAN;NOMO3_HUMAN	NOMO1;NOMO2;NOMO3	Nodal modulator 3	631.521			542.238		441.09		33.8454		215.037				1414.2	708.405		688.45	922.332		
P69905	P69905;P02008;CONT|P01966|HBA_BOVIN	HBA_HUMAN	HBA1	Hemoglobin subunit alpha	1865.37	2028.77	631.081	5006.89	2707.85	1207.07	2487.34	1882.74	1276.1	2092.52		1760.81	2716.66	1497.57	2030.93	2115.27	1133.46	965.718	1546.48	1792.51
P78318	P78318	IGBP1_HUMAN	IGBP1	Immunoglobulin-binding protein 1			319.151			375.778			321.189								202.429			
P78330	P78330	SERB_HUMAN	PSPH	Phosphoserine phosphatase				381.615										286.936						
P78344	P78344	IF4G2_HUMAN	EIF4G2	Eukaryotic translation initiation factor 4 gamma 2	204.342		155.906	234.203		416.996			318.09			289.77				400.038	161.507	291.226	488.388	484.42
P78347	P78347	GTF2I_HUMAN	GTF2I	General transcription factor II-I			180.468			157.425		465.865	280.645				543.48	181.523			257.383			
P78357	P78357	CNTP1_HUMAN	CNTNAP1	Contactin-associated protein 1													425.101				382.969	242.7		
P78371	P78371	TCPB_HUMAN	CCT2	T-complex protein 1 subunit beta	745.06	711.035	1287.89	1218.27	616.728	1301.49	584.966	1627.95	1187.44	635.1		896.139	661.803	459.411	1327.12	1029.64	1032.25	506.953	1344.92	1068.48
P78417	P78417	GSTO1_HUMAN	GSTO1	Glutathione S-transferase omega-1		719.297	1698.33	1241.61		2340.51		687.809	2024.54			1226.25		1644.7	916.501		830.302	535.168	1178.45	2549.42
P78527	P78527	PRKDC_HUMAN	PRKDC	DNA-dependent protein kinase catalytic subunit	2105.05		1724.59	1463.86		1511.13	2175.93	1971.18	2064.24	2353.7		1360.23	2646.87	2573.03	1804.92		1811.36	548.951	1674.61	2218.78
P78559	P78559	MAP1A_HUMAN	MAP1A	Microtubule-associated protein 1A			240.2	212.19		514.544	773.35							369.706			472.136			
P80723	P80723	BASP1_HUMAN	BASP1	Brain acid soluble protein 1	323.807	2016.85	1139.17	355.203	1450.92	408.171	386.215	113.685	999.226			716.511	497.671	653.98	785.78	240.356	414.857	529.445	557.359	198.362
P81605	P81605	DCD_HUMAN	DCD	Dermcidin	47907.5	45533.8	15898.3	22851.2	38331.4	22304.3	51636.9	37805.6	33422.5	32781.2		30484.1	35046.4	27731.6	30663.5	36641.2	14987.7	16998	27998.6	31504
P82650	P82650	RT22_HUMAN	MRPS22	28S ribosomal protein S22, mitochondrial	699.058		365.945	510.837				220.42	199.611	420.027			1015.95	438.317			299.698	430.012	376.731	360.932
P82663	P82663	RT25_HUMAN	MRPS25	28S ribosomal protein S25, mitochondrial																	367.105	95.4136		430.965
P82675	P82675	RT05_HUMAN	MRPS5	28S ribosomal protein S5, mitochondrial	298.976			203.483						205.691			682.941	165.683	266.195		675.591	305.306		
P82909	P82909	KGD4_HUMAN	MRPS36	Alpha-ketoglutarate dehydrogenase component 4	49.7908		119.643	211.826					210.395								20.7716	305.776		
P82930	P82930	RT34_HUMAN	MRPS34	28S ribosomal protein S34, mitochondrial	260.728		289.358	89.6087											584.551		341.104	384.547		
P82979	P82979	SARNP_HUMAN	SARNP	SAP domain-containing ribonucleoprotein			1330.2	1000.26		1222.61			1143.71			895.652			1134.15		1238.67		1085.34	1282.63
P83111	P83111	LACTB_HUMAN	LACTB	Serine beta-lactamase-like protein LACTB, mitochondrial	382.477			423.081													221.756	448.556		
P83731	P83731	RL24_HUMAN	RPL24	60S ribosomal protein L24	1522.97	349.442	1675.92	1762.59		2125.16	1454.96	2190.32	1592.68	1319.89		2096.98	1357.64	1364.23	2555.29	803.296	1874.47	549.874	2431	2370.27
P83881	P83881	RL36A_HUMAN	RPL36A	60S ribosomal protein L36a			975.456	498.066		492.59			986.526			1490.12	447.368		1044.27		743.916		641.9	889.453
P84085	P84085	ARF5_HUMAN	ARF5	ADP-ribosylation factor 5				1679.04											576.574		299.446			
P84090	P84090	ERH_HUMAN	ERH	Enhancer of rudimentary homolog			299.625	182.919						400.533			259.05	556.242			221.843	191.93	94.961	
P84095	P84095	RHOG_HUMAN	RHOG	Rho-related GTP-binding protein RhoG	235.204		135.402	517.979		248.217	559.774		199.259			476.076		526.439	526.187		335.908	96.6443	585.729	
P84098	P84098	RL19_HUMAN	RPL19	60S ribosomal protein L19	1070.31		1668.94	1963.55		1454.97		3300.75	1771.46	325.566		1971.36	1034.41	1496.43	2259.96	644.31	1577.47	802.13	1999.25	1995.5
P84103	P84103	SRSF3_HUMAN	SRSF3	Serine/arginine-rich splicing factor 3	3043.16	557.716	4666.72	5094.94	889.501	5714.83	2142.99	4646.49	4274.6	3562.01		4836.73	3660.46	3246.8	4301.8		3219.47		4786.41	4075.97
P84157	P84157	MXRA7_HUMAN	MXRA7	Matrix-remodeling-associated protein 7													421.316	221.262			468.528	335.745		215.251
P85037	P85037	FOXK1_HUMAN	FOXK1	Forkhead box protein K1						451.966			322.012								227.459		190.757	
P98160	P98160	PGBM_HUMAN	HSPG2	Basement membrane-specific heparan sulfate proteoglycan core protein				3122.11																
P98179	P98179	RBM3_HUMAN	RBM3	RNA-binding protein 3			975.958	654.278		1796.11	466.502	1686.67	1560.12			1617.53	554.786	1284.08	2396.01		1485.9	573.578	2728.16	2310.48
P99999	P99999	CYC_HUMAN	CYCS	Cytochrome c	362.481		347.915	713.047	613.576	658.553	310.751	747.328	739.763	503.376		265.059	1393.79	508.324	775.278		223.955	719.773	292.711	381.193
Q00059	Q00059	TFAM_HUMAN	TFAM	Transcription factor A, mitochondrial	934.646		337.919	422.411		361.574	904.444	150.101	335.129	504.253		263.342		273.217	430.427		553.127	523.458	326.583	546.427
Q00325	Q00325	MPCP_HUMAN	SLC25A3	Phosphate carrier protein, mitochondrial	4529.46		2692.39	2578.87		3175.57	3412.3	3377.85	2749.87	3164.76		1670.99	3228.67	4335.29	2021.36		5090.75	6909.08	2644.68	2887.09
Q00341	Q00341	VIGLN_HUMAN	HDLBP	Vigilin	282.153		372.362	399.449		371.949			452.868			687.241			445.033		482.517	243.195	541.752	536.705
Q00577	Q00577	PURA_HUMAN	PURA	Transcriptional activator protein Pur-alpha			269.061	873.925	715.474												212.765			
Q00610	Q00610;P53675	CLH1_HUMAN	CLTC	Clathrin heavy chain 1	1199.56	685.243	3021.37	3369.67	1010.07	2354.13	1705.79	2470.53	2728.24	1475.85		2191.28	2431.81	2183.52	2143.88	1515.89	2149.7	1910.18	2359.61	2538.63
Q00688	Q00688	FKBP3_HUMAN	FKBP3	Peptidyl-prolyl cis-trans isomerase FKBP3			824.927	674.669		719.58	706.967		820.621			752.233			513.944	589.68	667.966		1156.12	662.384
Q00765	Q00765	REEP5_HUMAN	REEP5	Receptor expression-enhancing protein 5	186.21							285.755	290.18				259.653	188.397	179.449		194.585	341.174		
Q00796	Q00796	DHSO_HUMAN	SORD	Sorbitol dehydrogenase			161.245	717.91																
Q00839	Q00839	HNRPU_HUMAN	HNRNPU	Heterogeneous nuclear ribonucleoprotein U	9805.14		6220.45	5131.9		5330.22	7091.68	8757.25	5554.57	8572.71		4173.49	8261.36	7098.79	5548.43	1933.03	9178.13	3910.42	5302.54	6174.88
Q00978	Q00978	IRF9_HUMAN	IRF9	Interferon regulatory factor 9			723.481			480.004			768.77											
Q01081	Q01081	U2AF1_HUMAN	U2AF1	Splicing factor U2AF 35 kDa subunit			1673.38	1053.78		1592.69	967.728	756.776	1733.54	1548.35		796.266	1310.61	2004.35	674.87		1112.51		1427.23	1976.49
Q01082	Q01082	SPTB2_HUMAN	SPTBN1	Spectrin beta chain, non-erythrocytic 1	450.637	161.203	400.542	1356.23		708.374	529.483	812.388	650.69	675.239		1003.04	1150.58	684.87	656.275	638.856	715.772	681.257	789.955	701.582
Q01085	P31483;Q01085	TIAR_HUMAN	TIAL1	Nucleolysin TIAR			630.685	629.225		809.112		533.936				1456.07			1173.72		810.455		1121.85	667.75
Q01105	P0DME0;Q01105	SET_HUMAN	SET	Protein SET	631.332	387.786	2918.67	2973.62	704.96	2804.33	310.302	717.36	2253.62			2093.62	1105.24	2645.11	3409.8	309.529	2134.09	175.848	2755.58	3081.19
Q01130	Q01130	SRSF2_HUMAN	SRSF2	Serine/arginine-rich splicing factor 2	1214.12		3341.23	2961.96		3501.02	287.937	1339.52	3146.06	565.445		1966.94	573.112	632.426	2377.58		2258.37		2146.08	3245.84
Q01469	Q01469	FABP5_HUMAN	FABP5	Fatty acid-binding protein 5	12004.7	13639.7	6208.92	11485.5	17053.2	9729.47	16083	14090.7	12423.5	13254.5		11690.2	13993.5	10276.2	13086.2	15501.4	6375.27	5960.01	9150.42	11991
Q01518	Q01518;P40123	CAP1_HUMAN	CAP1	Adenylyl cyclase-associated protein 1	580.957		1768.9	2077.12	294.083	1942.81	820.506	640.554	2154.19	577.623		1809.26	588.011	354.07	1823.82	1338.08	1798.87	456.587	1998.53	1663.43
Q01813	Q01813	PFKAP_HUMAN	PFKP	ATP-dependent 6-phosphofructokinase, platelet type	1391.24	1391.41	2054.69	1619.29		1939.2	869.539	853.916	1887.06	1086.98		1738.65	2285.24	1115.73	2323.83	1839.65	1047.92	770.676	1458.33	2062.95
Q01844	Q01844	EWS_HUMAN	EWSR1	RNA-binding protein EWS			1191.14	1248.12		1595.63	329.803	1176.51	1167.81			1264.13		1831.34	909.733		705.703		561.851	1173.3
Q01995	Q01995	TAGL_HUMAN	TAGLN	Transgelin			394.643	513.305		279.822			613.65			321.725	229.07	187.686	321.278	390.03	357.167	343.248	190.601	393.245
Q02218	Q02218	ODO1_HUMAN	OGDH	2-oxoglutarate dehydrogenase, mitochondrial	951.574		426.242	1034.05		1441.58	887.184	1017.56	706.286	791.09		2673.07	965.149	914.906	857.954		780.063	1278.04	919.643	1190.77
Q02252	Q02252	MMSA_HUMAN	ALDH6A1	Methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial			584.753	1723.52		337.393			408.476	296.42							537.619	607.052		349.845
Q02318	Q02318	CP27A_HUMAN	CYP27A1	Sterol 26-hydroxylase, mitochondrial						261.184				365.738								397.909		
Q02413	Q02413	DSG1_HUMAN	DSG1	Desmoglein-1	4156.86	3990	1340.67	2231.63	4214.78	2540.57	4427.08	4110.17	2807.54	4121.21		3663.27	4252.56	3294.32	3510.51	4465.57	1871.46	1750.6	2208.1	3879.22
Q02539	Q02539	H11_HUMAN	H1-1	Histone H1.1												610.573					249.921			
Q02543	Q02543	RL18A_HUMAN	RPL18A	60S ribosomal protein L18a	2737.15	375.322	1492.99	1927.39		1692.3		2311.27	2130.01	1043.38		1295.02	1538.29	2346.44	2516.83	1128.24	1739.66	1170.64	3547.07	2261.56
Q02750	Q02750;P36507	MP2K1_HUMAN	MAP2K1	Dual specificity mitogen-activated protein kinase kinase 1			375.615	643.364		948.105			489.832			467.942			560.746		278.693		488.076	578.617
Q02790	Q02790	FKBP4_HUMAN	FKBP4	Peptidyl-prolyl cis-trans isomerase FKBP4			860.663	707.208		589.804			1030.57			490.145			419.943	999.398	578.968		654.168	626.161
Q02809	Q02809	PLOD1_HUMAN	PLOD1	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	578.401		211.334	362.66		527.151		369.108	665.06	625.179		583.73	1332.34	1488.78	671.63		689.95	1178.5	587.912	673.253
Q02818	Q02818	NUCB1_HUMAN	NUCB1	Nucleobindin-1								745.382	231.749	425.5			656.114	478.776			492.08	427.662	243.649	679.373
Q02878	Q02878	RL6_HUMAN	RPL6	60S ribosomal protein L6	2770.22	979.577	3554.17	3384.77	1832.69	3921.07	1985.7	5790.47	4129.1	1779.54		3823.8	2713.77	3652.75	4215.17	2454.19	3391.39	1910.05	4264.36	4354.45
Q02880	Q02880	TOP2B_HUMAN	TOP2B	DNA topoisomerase 2-beta	526.88		159.809	255.507		341.089	386.133	591.573	252.493	422.965		480.032	778.258	371.252	208.77		383.243	282.274	397.077	250.067
Q02952	Q02952	AKA12_HUMAN	AKAP12	A-kinase anchor protein 12	19289.4	18228.8	14495.9	21326.9	26156.5	21934.8	28736	21428.7	18512.5	24901.3		26844.6	22006.7	21894.1	25620.5	22943.1	10358.7	11199.5	19775.2	16350.7
Q02978	Q02978	M2OM_HUMAN	SLC25A11	Mitochondrial 2-oxoglutarate/malate carrier protein	659.23		316.879	298.103		529.169			495.747	285.413		751.402	372.903	679.638	475.629		676.508	777.039	415.371	770.056
Q03135	Q03135	CAV1_HUMAN	CAV1	Caveolin-1	2425.64	1621.91	843.123	2830.19	684.546	915.263	2098.92	1027.13	2755.61	854.264		1043.35	2003.63	3111.13	1042.39		1000.85	2239.42	1814.22	1924.51
Q03252	Q03252	LMNB2_HUMAN	LMNB2	Lamin-B2	3332.83		1919.93	1792.8		2100.74	2482.84	2268.49	2773.55	3154.8		1904.08	2574.18	3694.48	1360.72		2940.54	2886.87	1302.7	2438.06
Q03518	Q03518	TAP1_HUMAN	TAP1	Antigen peptide transporter 1			141.965					1137.4	181.431					316.502			237.218	298.7		
Q03519	Q9NUT2;Q03519;Q9NRK6	TAP2_HUMAN	TAP2	Antigen peptide transporter 2			441.316	425.107		248.343		620.248	415.524								560.743	264.489		262.615
Q04446	Q04446	GLGB_HUMAN	GBE1	1,4-alpha-glucan-branching enzyme			238.67	473.047		531.377			613.481	195.655		500.094	286.266		657.371	414.989	412.937	304.093	451.584	
Q04637	Q04637	IF4G1_HUMAN	EIF4G1	Eukaryotic translation initiation factor 4 gamma 1			724.769	666.819		954.315		535.689	1024.15			804.805			896.384	941.313	417.806		840.568	584.05
Q04695	P02533;Q04695;CONT|P02533|K1C14_HUMAN;CONT|Q04695|K1C17_HUMAN	K1C17_HUMAN	KRT17	Keratin, type I cytoskeletal 17	28035.9	29605.4	12669.4	18575.4	33207.4	19708.8	33397.9	28393.8	24564	29341.1		30238.7	30310.1	23191.7	27793.9	35818.9	13770.9	15458.2	19736.9	26262.4
Q04760	Q04760	LGUL_HUMAN	GLO1	Lactoylglutathione lyase			1623.55	1308.58	1382.61	1524.8			1488.18	530.886		1562.03	369.275	473.681	1998.25	1581.47	991.014	729.328	1241.01	1565.8
Q04917	Q04917	1433F_HUMAN	YWHAH	14-3-3 protein eta			690.814	647.906		529.127			760.105			865.654			561.226		449.225		789.569	464.714
Q04941	Q04941	PLP2_HUMAN	PLP2	Proteolipid protein 2	1065.55		647.219	1504.71	528.826	759.439	510.071	1549.87	880.039	549.69		695.538	1060.35	1225.82	472.538	501.958	517.763	1906.08	795.664	371.74
Q05519	Q05519	SRS11_HUMAN	SRSF11	Serine/arginine-rich splicing factor 11			408.688	226.423					390.701				408.924	555.423			398.913		235.254	480.244
Q05682	Q05682	CALD1_HUMAN	CALD1	Caldesmon	263.648		805.909	801.307		554.804			762.398			505.685			396.034	867.772	382.248	637.544	521.193	934.446
Q05707	Q05707	COEA1_HUMAN	COL14A1	Collagen alpha-1(XIV) chain			95.9094	3106.25																
Q05BV3	Q05BV3	EMAL5_HUMAN	EML5	Echinoderm microtubule-associated protein-like 5			1726.37			1850.83			1201.75	521.411		2139.85	353.582		641.757	882.643	927.831		2084.69	1497.35
Q06124	Q06124	PTN11_HUMAN	PTPN11	Tyrosine-protein phosphatase non-receptor type 11	210.528		266.335			568.249														
Q06203	Q06203	PUR1_HUMAN	PPAT	Amidophosphoribosyltransferase									305.526											
Q06210	Q06210	GFPT1_HUMAN	GFPT1	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1	197.305		459.383	407.939		240.024			746.569			259.096			219.201		258.288		379.749	340.797
Q06265	Q06265	EXOS9_HUMAN	EXOSC9	Exosome complex component RRP45									226.973	675.22							175.182		195.562	
Q06323	Q06323	PSME1_HUMAN	PSME1	Proteasome activator complex subunit 1	496.079		1448.1	1536.09		1356.78		1546.46	1926.86			1619.75		750.806	1167.46	1331.8	1424.75	159.021	983.816	1181.14
Q06830	Q06830	PRDX1_HUMAN	PRDX1	Peroxiredoxin-1	3414.93	4094.33	9255.89	11212.6	5089.56	8604.94	6311.07	4115.38	10262.7	4325.7		8780.76	6062.03	3463.84	7891.97	8152.93	6940.04	2620.84	7522.89	8133.3
Q07020	Q07020	RL18_HUMAN	RPL18	60S ribosomal protein L18	1131.59	655.841	1883.81	1777.66		2393.31	1202.68	2240.55	1549.46	1268.14		2641.35	1123.41	1691.6	2201.31	1173.88	2164.14	782.013	2622.92	2464.78
Q07021	Q07021	C1QBP_HUMAN	C1QBP	Complement component 1 Q subcomponent-binding protein, mitochondrial	473.622		663.794	494.389		255.952	434.817	462.397	231.084	892.934		392.731	456.376	603.037	410.979		603.43	980.973	201.853	
Q07065	Q07065	CKAP4_HUMAN	CKAP4	Cytoskeleton-associated protein 4	4222.87	1479.95	2127.65	2021.14		2417.64	2076.8	1936.37	2458.42	3191.89		1510.61	3396.94	5104.7	1395.06	772.204	2588.75	3799.98	1916.66	2208.33
Q07157	Q07157	ZO1_HUMAN	TJP1	Tight junction protein ZO-1	273.811			158.609		279.102			221.204						387.354		136.03			739.481
Q07352	Q07352	TISB_HUMAN	ZFP36L1	mRNA decay activator protein ZFP36L1									239.719											
Q07666	Q07666	KHDR1_HUMAN	KHDRBS1	KH domain-containing, RNA-binding, signal transduction-associated protein 1	1562.32		2204.75	1779.73		1669.9	1919.72	1826.55	1770.88	2143.02		1931.41	1965.46	2065.45	1680.35	907.574	2159.98	1017.02	2085.98	1985.76
Q07812	Q07812	BAX_HUMAN	BAX	Apoptosis regulator BAX			640.828	523.732		243.219			398.674			376.231			635.067	388.716	335.421		393.826	1328.34
Q07866	Q07866	KLC1_HUMAN	KLC1	Kinesin light chain 1			376.713	315.068		529.925			342.586			635.112		748.094	362.088	1094.64	417.897	164.963	938.167	571.334
Q07954	Q07954	LRP1_HUMAN	LRP1	Prolow-density lipoprotein receptor-related protein 1	8157.35	8686.47	4085.35	7490.18		5166.88	10548.3	7505.72	8573.05			6649.56	10107.5	6637.1	9651.06		4554.64	12428.2	5011.98	7299.44
Q07955	Q07955	SRSF1_HUMAN	SRSF1	Serine/arginine-rich splicing factor 1	844.873	222.805	1023.86	1063.32		1185.06	577.627	795.192	1081.64	1081.49		557.367	830.229	1115.68	666.248		808.87		740.333	719.49
Q07960	Q07960	RHG01_HUMAN	ARHGAP1	Rho GTPase-activating protein 1			732.349	809.767		645.016			835.683			1247.6			783.853	288.396	497.919	399.3	1043.15	1040.78
Q08209	P16298;Q08209	PP2BA_HUMAN	PPP3CA	Serine/threonine-protein phosphatase 2B catalytic subunit alpha isoform			147.663	194.629		328.937											255.704			81.5313
Q08211	Q08211	DHX9_HUMAN	DHX9	ATP-dependent RNA helicase A	2891.54		2016.64	2283.62		2061.71	2495.87	2796.03	1986.32	3112.86		1329.53	2657.04	2879.08	1847.94		3138.05	1425.4	1257.85	2270.58
Q08257	Q08257	QOR_HUMAN	CRYZ	Quinone oxidoreductase	456.727		419.847	749.945		661.778			658.487	452.263		546.24	290.185	433.53	384.072	711.27	419.904	650.758	491.606	715.963
Q08380	Q08380	LG3BP_HUMAN	LGALS3BP	Galectin-3-binding protein			174.343																	
Q08554	Q08554	DSC1_HUMAN	DSC1	Desmocollin-1	2754.7	2535.2	922.734	1850.29	3006.17	1309.06	2644.59	1630.22	1937.31	2229.3		2663.81	2907.94	1951.29	1667.19	3199.58	1230.66	1761.69	2219.68	2029.06
Q08945	Q08945	SSRP1_HUMAN	SSRP1	FACT complex subunit SSRP1			563.941	726.209		798.056		564.565	452.3			658.375	498.193	497.47	675.108		443.442		565.442	801.165
Q08J23	Q08J23	NSUN2_HUMAN	NSUN2	RNA cytosine C(5)-methyltransferase NSUN2			413.084	258.595	965.987	266.998			246.113			1013.65		459.563			451.436	673.205	262.757	763.33
Q09028	Q09028;Q16576	RBBP4_HUMAN	RBBP4	Histone-binding protein RBBP4	615.497		1013.68	1087.08	566.281	1399.02	372.504	1148.91	615.388	1376.36		1097.39	807.573	836.969	1016.87	520.793	998.994	524.937	1016.11	1215.62
Q09666	Q09666	AHNK_HUMAN	AHNAK	Neuroblast differentiation-associated protein AHNAK	2425.29	1343.76	7342.12	6116.79	2058.09	7070.85	2757.9	4300.33	7914.42	2164.45		7320.99	5508.92	6713.02	8681.42	6354.65	8352.91	1447.07	9843.7	9046.02
Q0ZGT2	Q0ZGT2	NEXN_HUMAN	NEXN	Nexilin	707.254		340.821	176.893	675.063		1029.92		836.335	276.782		590.759	662.386	237.298	197.066		168.994	870.178	266.232	306.652
Q10471	Q10471	GALT2_HUMAN	GALNT2	Polypeptide N-acetylgalactosaminyltransferase 2			723.057	467.917									908.148	754.19	436.202		565.872	345.243	445.758	
Q10567	Q10567	AP1B1_HUMAN	AP1B1	AP-1 complex subunit beta-1	533.942		531.881	538.283		398.264			432.55			674.478		227.322	766.309	399.04	386.245	263.3	308.191	623.191
Q10713	Q10713	MPPA_HUMAN	PMPCA	Mitochondrial-processing peptidase subunit alpha			363.393	223.479			979.399		584.816	874.822				191.527	181.715		336.073	517.418		466.995
