Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-111_4034.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-112_4035.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-113_4037.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-114_4038.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-115_4040.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-116_4041.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-117_4043.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-2-2024_Slot1-118_4044.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-123_4046.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-124_4047.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-125_4049.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-126_4050.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-128_4052.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-129_4053.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-130_4055.d	D:\LucyC\20240303_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_SC_DIA_3-3-2024_Slot1-131_4056.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-99_3909.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-100_3911.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-101_3913.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-102_3915.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-103_3917.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-104_3919.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-198_3921.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-199_3923.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-200_3925.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-201_3927.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-202_3929.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-203_3931.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-204_3935.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-205_3937.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-206_3939.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-207_3941.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-208_3943.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-209_3945.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-26_3890.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-27_3891.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-28_3892.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-29_3894.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-30_3895.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-31_3896.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-32_3898.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-33_3899.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-34_3900.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-35_3902.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-36_3903.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-37_3905.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-16_3870.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-17_3871.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_f_DIA_20ng_2-24-2024_Slot2-18_3872.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-13_3866.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-14_3867.d	D:\LucyC\20240228_primary_astrocytes_bulk_SCP_DIA\Lucy_pri_astro_m_DIA_20ng_2-24-2024_Slot2-15_3868.d
Q8WVR3	Q8WVR3	TPC14_HUMAN	TRAPPC14	Trafficking protein particle complex subunit 14																																																569.47	731.924	519.919	679.531	827.156
Q8WVT3	Q8WVT3	TPC12_HUMAN	TRAPPC12	Trafficking protein particle complex subunit 12		884.127					1579.95					4289.78																													1318.21							1475.38	1672.13	2167.96	1778.48	2141.68
Q8WVV4	Q8WVV4	POF1B_HUMAN	POF1B	Protein POF1B	13628.9	9016.44	9414.52	4254.67	7617.39	16306.4	8606.87	8731.14	11731.6	5356.68	9540.86	5252.91	5743.56	10156.9	17639.8	5621.41	13927.3	10709	6718.82	8474.11	9455.55	5466.73	9938.23	6918.19	9870.25	7790.9	5735.93	5885.77	5659.39	5250.73	15888.2	6199.8	14639	9120.42	10428.2	11580.5	12064.3	8063.82	6060.16	6657.65	36039.8	9829.2	8939.97	10413.1	6797.16	8579.5		611.181			1376.5	
Q8WVV9	Q8WVV9	HNRLL_HUMAN	HNRNPLL	Heterogeneous nuclear ribonucleoprotein L-like											1798.2																	31837.3															3974.17					1183.09	2119.3	1539.05	1459.36	1693.32
Q8WVX3	Q8WVX3	CD003_HUMAN	C4orf3	Uncharacterized protein C4orf3																2847.73																																628.728	1126.3	892.276	748.803	1013.78
Q8WVX9	Q8WVX9	FACR1_HUMAN	FAR1	Fatty acyl-CoA reductase 1				2757.13	1519.36						1595.41									1965.26						1254.31										4312.22					726.897		1272.26	3034.66				776.346	1449.83	1027.33	1166.46	1358.67
Q8WVY7	Q8WVY7	UBCP1_HUMAN	UBLCP1	Ubiquitin-like domain-containing CTD phosphatase 1				3460.91			3130.07			3472.8	1289.95	4770.49	6280.15			6488.3						2314.84	9226.87	4462.62			2539.11	10225.7	3854.72	3168.71								6793.12		11895.7	3360.21		1968.33		3780.85	3943	3240.13	3788.44	3844.1	4014.46	3707.53	4038.24
Q8WW01	Q8WW01	SEN15_HUMAN	TSEN15	tRNA-splicing endonuclease subunit Sen15																																																		166.704		257.633
Q8WW12	Q8WW12	PCNP_HUMAN	PCNP	PEST proteolytic signal-containing nuclear protein				5476.89	7542.14		2134.75	6508.73		3972.14		2855.78	4800.8			3976.87			3045.88			3633.43	4156.31	3813.35	4067.24		3972.57	4589.56		5300.3		7079.84			3411.08			5376.72	5200.82	8050.02	4026.27		1511.86	3949.98	2235.05	7928.24	4225.12	3528.6	4990.4	5499.46	2997.27	5613.35
Q8WW59	Q8WW59	SPRY4_HUMAN	SPRYD4	SPRY domain-containing protein 4	2744.86						2167.58					1487.08				2142.31			631.384					2105.92			2113.77	3678.39	3108.12	3707.79				2872.19				1686.18	1549.18	3124.96	2181.02	3485.96						1166.81	1451.48	1443.02	1518.97	1521.25
Q8WWC4	Q8WWC4	MAIP1_HUMAN	MAIP1	m-AAA protease-interacting protein 1, mitochondrial				2693.28																					2564.7			3876.9									1341.56				1512.94	3183.12				2751.14		406.95	1022.64	746.35	758.308	949.313
Q8WWH5	Q8WWH5	TRUB1_HUMAN	TRUB1	Probable tRNA pseudouridine synthase 1							3004.56																4590.03				2263		1201.88			838.769							1179.06		1625.46							729.504	605.516	732.641	797.06	717.139
Q8WWI1	Q8WWI1	LMO7_HUMAN	LMO7	LIM domain only protein 7	3500.48	4510.1		4164.39	3946.57	7274.35	3902.85	4198.74		1648.61	14837.7	3805.65	5983.4					8914.71	2897.32	4250.17	9832.95	3388.79		3379			5610.55									3251.76	3584.87		2747.05	3819.6	3065.71			26015.7			5022.02	4245.36	4771.23	3698.53	3819.46	4005.61
Q8WWI5	Q8WWI5	CTL1_HUMAN	SLC44A1	Choline transporter-like protein 1																		980.745																						6265.26								1211.1	1431.77	2300.64	2160.01	2624.74
Q8WWK9	Q8WWK9	CKAP2_HUMAN	CKAP2	Cytoskeleton-associated protein 2																4824.11																																202.874	313.524	446.173	421.397	496.629
Q8WWM7	Q8WWM7	ATX2L_HUMAN	ATXN2L	Ataxin-2-like protein				2226.61			4972.62	2831.52		3569.81	1496.7	3833.33	1773.23			2578.19		15924.3	3600.77	2839.94		7800.95		3890.99		2943.42	7037.09	2869.54	13700.1	3276.22		4935.51					1667.23		4599.93		3817.11			7844.27	3765.89	7733.4	3748.24	3959.97	4230.47	4535.16	3857.99	4587.39
Q8WWM9	Q8WWM9	CYGB_HUMAN	CYGB	Cytoglobin		10324.8		5657.06	2987.5		1156.26						2474.18					5806.76	3431.82			1569.25																									2178.11	3918.07	4078.55	1469.8	966.654	1505.15
Q8WWN8	Q8WWN8	ARAP3_HUMAN	ARAP3	Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 3																														1192.72																		551.786	686.142	767.693	643.344	711.304
Q8WWQ0	Q8WWQ0	PHIP_HUMAN	PHIP	PH-interacting protein							1113.35									1781.91						1206.75																1277.12									3574.1	1432.51	2519.17	1211.1	1468.93	1367.65
Q8WWV3	Q8WWV3	RT4I1_HUMAN	RTN4IP1	Reticulon-4-interacting protein 1, mitochondrial																																													1523.24			807.739	942.898	819.386	1243.34	870.872
Q8WWX9	Q8WWX9	SELM_HUMAN	SELENOM	Selenoprotein M																						1905.27																		789.923								1406.6	1203.63	1529.84	1195.37	1846.21
Q8WWY3	Q8WWY3	PRP31_HUMAN	PRPF31	U4/U6 small nuclear ribonucleoprotein Prp31				3473.41	4360.66		2782.64	5037.12		2751.63	1734.21	3050.49	4781.58			2741.31			2360.98	3218.23		2521.6	3710.41		2546.41	2101.74	3138.41	3179.43	2885.68	2769.26	4838.56	4846.83	3677.34		5548.09	1853.98		2777.67	4672.32	2623.08	3038.68	3117.09	3076.84	3648.99	3616.92	3110.25	3302.55	1985.26	2895.52	2268.63	2218.75	2402.48
Q8WX92	Q8WX92	NELFB_HUMAN	NELFB	Negative elongation factor B		1529.51																																														936.947	1483.24	1322.08	1193.99	1244.07
Q8WX93	Q8WX93	PALLD_HUMAN	PALLD	Palladin	10302.4	14244.4	9477.95	17441.2	9481.84	3594.46	14714.6	10451.7	18165.4	9812.18	5244.3	12105.6	10653.8	5613.35	4673.3	18649.5	2476.97	34484.5	12163.1	2600.65	9465.76	7819.77	13620.6	26479.8		2545.33	18783.7	9949.44	21413.3	9489.57	7536.55	13734.1		3300.98	6301.18	4965.21	12228.8	31474.9	17975.7	7306.1	16778.3	3844.17	13602.1	15354.8	37561.7	20973.9	18273.4	29632.1	28295.8	38337.3	34603.5	37613.3
Q8WXA3	Q8WXA3	RUFY2_HUMAN	RUFY2	RUN and FYVE domain-containing protein 2																																														1559.68		975.905	1508.56	1092.03	905.735	1055.68
Q8WXA9	Q8WXA9	SREK1_HUMAN	SREK1	Splicing regulatory glutamine/lysine-rich protein 1							1296.96					914.744																																				473.28	592.637	461.033	350.703	537.203
Q8WXD5	Q8WXD5	GEMI6_HUMAN	GEMIN6	Gem-associated protein 6										2171.63																																						1053.52	919.201	1630.44	913.499	1958.89
Q8WXE0	Q8WXE0	CSKI2_HUMAN	CASKIN2	Caskin-2																																																971.24	1246.72	868.015	729.967	941.449
Q8WXE1	Q8WXE1	ATRIP_HUMAN	ATRIP	ATR-interacting protein																																																2214.96	2916.02	1789.55	1182.78	2405.76
Q8WXF1	Q8WXF1	PSPC1_HUMAN	PSPC1	Paraspeckle component 1				9943.78	5086.23		5135.05	5112.24		7077.64	3209.12	5088.33	6432.18			7436.28			5228.38	11466.9		7179.15	5473.81	5767.49	3849.54	6312.93	5753.18	7001.12	6192.26	3948.83		3403.26	5387.15	5403.03	9550.02			4702.78	3352.3	6731.6	5163.64		3049.69	1798.1	3158.48	1875.77	8160.3	2453.92	2313.67	2078.42	2416.26	1931.01
Q8WXF7	Q8WXF7	ATLA1_HUMAN	ATL1	Atlastin-1				1494.35												1687.88																																855.729	1063.94	1268.81	1424.17	1174.25
Q8WXG6	Q8WXG6	MADD_HUMAN	MADD	MAP kinase-activating death domain protein																																																83.817	150.175	48.5242	60.4595	37.8476
Q8WXH0	Q8WXH0	SYNE2_HUMAN	SYNE2	Nesprin-2							2251.92									3053.48				3255.18							1323.58		2262.22			3949.06														4822.98	24814.7	1239.29	2127.74	1161.67	1376.15	1330.17
Q8WXI9	Q8WXI9	P66B_HUMAN	GATAD2B	Transcriptional repressor p66-beta							1645.5												3338.8						1747.07																					3194.49		1476.64	1853.8	1617.27	1540.42	2098.94
Q8WXW3	Q8WXW3	PIBF1_HUMAN	PIBF1	Progesterone-induced-blocking factor 1																				4639.6																												1164.6	1238.83	1301.82	1115.28	1296.19
Q8WXX5	Q8WXX5	DNJC9_HUMAN	DNAJC9	DnaJ homolog subfamily C member 9					2366.61					637.989		2685.58				3226.06			3142.69					1468.34															1742.05	4803.6							3436.96	2070.85	2552.06	2715.16	2358.17	3000.03
Q8WY22	Q8WY22	BRI3B_HUMAN	BRI3BP	BRI3-binding protein																																	1771.03															1562.83	2528.21	2222.51	2715.27	2346.01
Q8WY36	Q8WY36	BBX_HUMAN	BBX	HMG box transcription factor BBX																																																716.489	658.124	603.971	731.969	582.508
Q8WYA0	Q8WYA0	IFT81_HUMAN	IFT81	Intraflagellar transport protein 81 homolog																																																667.671	611.93	486.752	493.977	503.895
Q8WYA6	Q8WYA6	CTBL1_HUMAN	CTNNBL1	Beta-catenin-like protein 1				3063.95				4333.07		645.748	1643.01	440.884				2015.69						1323.48		1351.24			694.483	1397.01				1788.58						4043.99			2703.84					1769.17		3270.66	2597.95	3325.52	3452.55	3585.96
Q8WYL5	Q8WYL5	SSH1_HUMAN	SSH1	Protein phosphatase Slingshot homolog 1										4242.12		2412.08												727.156			2368.79												1458.7				3447.09	1632.27				743.81	1280.1	996.667	966.031	1188.91
Q8WYN0	Q8WYN0	ATG4A_HUMAN	ATG4A	Cysteine protease ATG4A																																																		89.1867	124.721	69.1237
Q8WYP5	Q8WYP5	ELYS_HUMAN	AHCTF1	Protein ELYS					7147.73		1533.35			1283.8	3371.61	2693				3910.98						2346.54				4536.91	834.085			1339.83				4371.91	5233.03	2821.43					2284.6						911.337	869.331	1449.77	800.409	1059.71	931.098
Q8WZ42	Q8WZ42	TITIN_HUMAN	TTN	Titin		5837.53		464.35	8582.87		2518.99			8044.56		556.244	8191.77											784.067	394.911															7689.82							7278.13	423.101	1840.88	372.25	445.547	137.578
Q8WZ73	Q8WZ73	RFFL_HUMAN	RFFL	E3 ubiquitin-protein ligase rififylin																																																746.611	601.221	648.741	376.487	919.038
Q8WZ82	Q8WZ82	OVCA2_HUMAN	OVCA2	Esterase OVCA2																																																672.442	829.94	1150.41	710.954	1422.77
Q8WZA0	Q8WZA0	LZIC_HUMAN	LZIC	Protein LZIC		3099.39		3537.5			5358.81			4202.85		9320.12	8585.85						5752.94					1036.5			5541.61			11334.2		1863.5													9837.51		19302.6	1364.38	1274.79	1068.24	829.533	1212.12
Q8WZA1	Q8WZA1	PMGT1_HUMAN	POMGNT1	Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1																																																667.005	871.709	751.636	957.808	807.657
Q8WZA9	Q8WZA9	IRGQ_HUMAN	IRGQ	Immunity-related GTPase family Q protein				3496.11	2930.7		2121.15			2572.29		2285.43	1996.13			3032.88			6908.76			3293.54	2780.08			1895.68	7768.5	1719.55	3663.7			1923.3						6887.04						4301.75	5760.51	3175.95	4224.16	4992.92	2420.99	5473.24	4932.89	5100.12
Q92466	Q92466	DDB2_HUMAN	DDB2	DNA damage-binding protein 2		1395.65																																													1619.8	945.679	1247.34	1181.08	972.036	1101.36
Q92484	Q92484	ASM3A_HUMAN	SMPDL3A	Acid sphingomyelinase-like phosphodiesterase 3a																2190.21												4034.04																				812.517	1074.72	996.032	723.173	977.199
Q92499	Q92499	DDX1_HUMAN	DDX1	ATP-dependent RNA helicase DDX1	5621.87	6231.92		9647.15	7224.77	6623.05	8917.67	6223.88	7419.79	10117.1	10074.6	10720.9	9824.98	9397.92	3144.75	9191.18	2690.78	5535.76	9812.38	10607	1419.25	11074.3	9022.85	7478.29	2909.13		8273.81	6379.24	9690.73	5643.95	8919.02	6168.04	6108.13	6305.86	9396.48		4365.87	6586.71	4810.87	4896.14	10298.2	4830.24	9009.45	7399.94	9695.47	9468.81	13213.3	8467.95	11375	9150.51	7345.05	9431.39
Q92503	Q92503	S14L1_HUMAN	SEC14L1	SEC14-like protein 1																																																271.655	451.199	265.284	297.566	273.894
Q92506	Q92506	DHB8_HUMAN	HSD17B8	(3R)-3-hydroxyacyl-CoA dehydrogenase	3000.87																															1624.52															3174.92	2224.12	3744.75	3501.39	2997.89	3769.46
Q92508	Q92508	PIEZ1_HUMAN	PIEZO1	Piezo-type mechanosensitive ion channel component 1	3402.94	3080.86		1267.89																					3238.58								5796.94				2266.03					3462.27					3954.05	1231.36	1925.61	1357.27	1708.27	1570.62
Q92520	Q92520	FAM3C_HUMAN	FAM3C	Protein FAM3C					21363.8						5337.02		7513.56					1700.87					2797.69	15189.9										11940.5					2905.68		4352.4						13392.6	2167.7	1742.37	1230.04	1917.4	2327.91
Q92522	Q92522	H1X_HUMAN	H1-10	Histone H1.10					2632.03		2688.19	3138.52			2938.6		2129.69						2566.92				5252.58	4523.52	2624.95	5857.08	3838.73	4009.3	7040.62	6941.91		4286.29		7730.49	5772.77	5241.52		2733.55	3794.68	4283.45	2553.54	3745.04	5814.41	3842.08	4885.82	6762.25	2946.84	1219.57	1914.26	1306.42	1467.93	1382.14
Q92530	Q92530	PSMF1_HUMAN	PSMF1	Proteasome inhibitor PI31 subunit								27636.3		6792.68																	11227.6														13408.1					6679.83		2365.35	2815.09	2893.41	1888.23	2832.47
Q92536	Q92536	YLAT2_HUMAN	SLC7A6	Y+L amino acid transporter 2																																																48.6928	841.59	197.168	147.9	63.4039
Q92538	Q92538	GBF1_HUMAN	GBF1	Golgi-specific brefeldin A-resistance guanine nucleotide exchange factor 1	2413.03			2156.88	2527.16		3166.71	7277.77		2922.13	2551.45	2150.87	4326.39					1541.32		16417.1			3029.63				2716.58		3382.64	2320.63		2605.41					3108.83				3107.4					4493.11	7851.53	2833.33	3455.05	2984.31	2736.48	2961
Q92540	Q92540	SMG7_HUMAN	SMG7	Nonsense-mediated mRNA decay factor SMG7																																																458.135	633.476	603.744	424.595	639.107
Q92541	Q92541	RTF1_HUMAN	RTF1	RNA polymerase-associated protein RTF1 homolog					3428.98		963.043	1002.47			1831.58		1665.96			834.892			1608.49								1053.13								3110.02			2516.34									968.657	2195.14	2712.92	2294.14	2049.98	2502.46
Q92542	Q92542	NICA_HUMAN	NCSTN	Nicastrin	2879.82										12575.5					1269.6									3082.84	6806.65						8442.25						6723.52	6814.83			2253.57				827.961	9614.07	10229	4260.67	10374.3	9981.81	9326.84
Q92543	Q92543	SNX19_HUMAN	SNX19	Sorting nexin-19																																																314.163	573.007	493.249	372.392	470.48
Q92544	Q92544	TM9S4_HUMAN	TM9SF4	Transmembrane 9 superfamily member 4	2962.57			3305.03				5655.97		4364.64	6411.81	4346.52	4106.19				51751.1			3996.23		2976.88		4318.75	4066.42	5337.36	4264.89	3250.8				3942.59		5892.76		29815.2				9827.61		8532.95	2670.78	9568.72	2636.51	3869.62		2589.92	4313.08	3237.08	4277.43	3735.25
Q92545	Q92545	TM131_HUMAN	TMEM131	Transmembrane protein 131																																																716.447	1284.27	845.528	696.184	871.144
Q92546	Q92546	RGP1_HUMAN	RGP1	RAB6A-GEF complex partner protein 2							2116					1523.1																																				450.858	1055.14	837.746	639.823	994.488
Q92551	Q92551	IP6K1_HUMAN	IP6K1	Inositol hexakisphosphate kinase 1																																																480.348	735.578	485.783	450.016	488.537
Q92552	Q92552	RT27_HUMAN	MRPS27	28S ribosomal protein S27, mitochondrial				1665.74				2559.15											2528.87			1227.12		1705.56	2630.35	2035.6														2966.5	1207.14	1727.98					6068.25	1783.56	2561.48	2542.94	2399.87	2426.2
Q92556	Q92556	ELMO1_HUMAN	ELMO1	Engulfment and cell motility protein 1																																																890.584	1073.98	1129.24	811.898	914.152
Q92558	Q92558	WASF1_HUMAN	WASF1	Wiskott-Aldrich syndrome protein family member 1																																																493.458	859.278	716.131	582.25	904.494
Q92560	Q92560	BAP1_HUMAN	BAP1	Ubiquitin carboxyl-terminal hydrolase BAP1																																																337.837	301.793	143.851	223.49	299.979
Q92562	Q92562	FIG4_HUMAN	FIG4	Polyphosphoinositide phosphatase																																																533.471	1279.69	940.38	761.755	1369.55
Q92563	Q92563	TICN2_HUMAN	SPOCK2	Testican-2																				3483.41						3247.83																						576.348		277.139		236.455
Q92567	Q92567	F168A_HUMAN	FAM168A	Protein FAM168A							1208.12					1144.14																																				1940.6	2880.1	2015.03	1989.03	2295.67
Q92569	Q92569	P55G_HUMAN	PIK3R3	Phosphatidylinositol 3-kinase regulatory subunit gamma																																																433.693		488.133	579.837	737.659
Q92572	Q92572	AP3S1_HUMAN	AP3S1	AP-3 complex subunit sigma-1		1641.78		3009.7	2658.01		3505.34	6671.21		3341.13		1805.96	1879.58			2568.92			3677.46			2263.47	10337.2	1981.35			3692.69		7347.9	1255.66							3677.73		3561.26		3502.54			3961.08		3065.37		4657.27	4644.11	4648.49	3967.99	4379.34
Q92574	Q92574	TSC1_HUMAN	TSC1	Hamartin																																																303.478	488.941	379.384	305.793	434.01
Q92575	Q92575	UBXN4_HUMAN	UBXN4	UBX domain-containing protein 4												43814.2	1311.46													9649.47	861.091							4453.82							5772.54						61074.7	3234.41	3513.14	3475.24	4015.42	3984.28
Q92576	Q92576	PHF3_HUMAN	PHF3	PHD finger protein 3													1611.54																																			401.903	577.185	462.66	463.56	526.606
Q92597	Q92597	NDRG1_HUMAN	NDRG1	Protein NDRG1				2170.17												832.384																					3631.7			446.647	5338.88		3079.4					758.86	1143.19	1089.95	899.891	1175.28
Q92598	Q92598	HS105_HUMAN	HSPH1	Heat shock protein 105 kDa		2210.83		5514.99	8448.8	1708.67	6446.05	8345.04	3141.05	7229.43	1346.31	5710.29	7805.31		1145.24	6305.1		3158.98	5501.54	5141.62	6134.26	5075.14	5357.13	3244.59		527.468	4381.99	5612.33	3911.03	7329.02	1913.33	4149.76					2719.45	3276.18	3312.8	3873	3418.9	5584.4	4383.98	4470.99	3928.55	4220.63	5793.53	3434.93	4388.27	3660.71	3625.9	4034.04
Q92599	Q92599	SEPT8_HUMAN	SEPTIN8	Septin-8				2100.37			4085.46		4506.1	3959.93				5420.73					3130.6					1464.66																			2130.19		3123.37		2584.19	3645.24	3276.31	2575.35	2442.09	2403.45
Q92600	Q92600	CNOT9_HUMAN	CNOT9	CCR4-NOT transcription complex subunit 9	5394.63						2405.24									345.034											1083.33																			2129	15499.6	1196.79	1008.77	993.707	1202.18	997.198
Q92604	Q92604	LGAT1_HUMAN	LPGAT1	Acyl-CoA:lysophosphatidylglycerol acyltransferase 1				314.876																																			1300.49				929.119					473.907	886.738	683.148	641.509	627.295
Q92609	Q92609	TBCD5_HUMAN	TBC1D5	TBC1 domain family member 5				1845.14						1564.92																																				1772.3	1671.45	1167.6	1387.68	1207.91	1085.88	1194.49
Q92610	Q92610	ZN592_HUMAN	ZNF592	Zinc finger protein 592												1676.99														1368.01																						448.921	593.857	326.808	564.802	471.778
Q92614	Q92614	MY18A_HUMAN	MYO18A	Unconventional myosin-XVIIIa				2117.78			2231.32	2531.14		870.794		3065.77	7525.23									4344.45					1685.23			2498.91		3935.48					3326.91	3621.7								2765.04		1932.17	3159.03	1918.98	1876.56	2154.74
Q92615	Q92615;Q71RC2	LAR4B_HUMAN	LARP4B	La-related protein 4B				733.4			1267.13	1590.76		1538.54		1131.42	2160.96			1662.8		1699.28				3134.57		2368.24			2177.49			1271.41									779.472		8076.12		1891.71					1803.8	2274.14	2204.26	1733.44	2183.09
Q92616	Q92616	GCN1_HUMAN	GCN1	eIF-2-alpha kinase activator GCN1		5983.66		6901.22	7660.86		5423.52	8690.33	964.936	7631.37	10736.5	7594.92	7573.18	5515.04		7215.87		4277.27	7297.02	7586.26		7887.81	6269.05	6816.46		5369.39	5899.99	5880.71	9460.76	7408.31		5779.48			5364.14		7218.58	4169.46	5776.78	7868.02	6417.08	1815.54	8760.12	8396.36	6795.19	5675.49	10396	4429.65	5932.41	4358.46	4097.14	4065.47
