Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_control_75ng_3-2-2024_Slot2-13_13150.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_control_75ng_3-2-2024_Slot2-14_13151.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_control_75ng_3-2-2024_Slot2-15_13152.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_infected_75ng_3-2-2024_Slot2-16_13153.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_infected_75ng_3-2-2024_Slot2-17_13154.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_infected_75ng_3-2-2024_Slot2-18_13155.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_w_virus_75ng_3-2-2024_Slot2-19_13156.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_w_virus_75ng_3-3-2024_Slot2-20_13157.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_f_w_virus_75ng_3-3-2024_Slot2-21_13158.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_control_75ng_3-2-2024_Slot1-02_13141.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_control_75ng_3-2-2024_Slot1-03_13142.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_control_75ng_3-2-2024_Slot2-01_13140.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_infected_75ng_3-2-2024_Slot1-04_13143.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_infected_75ng_3-2-2024_Slot1-05_13144.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_infected_75ng_3-2-2024_Slot1-06_13145.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_w_virus_75ng_3-2-2024_Slot1-07_13146.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_w_virus_75ng_3-2-2024_Slot1-08_13147.d	E:\Lucy\20240301_astro_w_229E\LucyC_pri_astro_m_w_virus_75ng_3-2-2024_Slot1-09_13148.d
Q8N201	Q8N201	INT1_HUMAN	INTS1	Integrator complex subunit 1	17066.3	17446.6	16019	20103	16303.7	18697	17517.5	14692.2	16302.6	19335.5	17466.2	22410.9	15450	17480.8	17744.4	19436.9	17868.1	18801.9
Q8N264	Q8N264	RHG24_HUMAN	ARHGAP24	Rho GTPase-activating protein 24	1458.81	1626.28	1286.27	1096.61	1213.6	873.49												
Q8N2F6	Q8N2F6	ARM10_HUMAN	ARMC10	Armadillo repeat-containing protein 10	8651.98	10185.6	11217.6	10126.5	10564.2	9936.15	9390.91	9841.83	9234.06	10040.4	9252.04	6021.97	8555.49	8350.65	8732.51	9583.17	9547.04	9396.47
Q8N2G6	Q8N2G6	ZCH24_HUMAN	ZCCHC24	Zinc finger CCHC domain-containing protein 24	8798.25	9014.17	7882.49	8142.88	7064.97	9129.07	7670.96			5499.31	5808.73	7480.93	6417.06	6135.08	9235.9		5128.49	5568.13
Q8N2G8	Q8N2G8	GHDC_HUMAN	GHDC	GH3 domain-containing protein	8747.51	8863.83	10789.9	10126	8811.15	9943.68	9245.98	8793.08	9775.42	27043.4	28552.2	7531.06	25767.4	25194.1	26375.8	25658.5	24515.8	26864.5
Q8N2H3	Q8N2H3	PYRD2_HUMAN	PYROXD2	Pyridine nucleotide-disulfide oxidoreductase domain-containing protein 2	5742.98	8661.84	6243.86	5481.2	5918.35	5195.99	5603.44	6573.27	7182.32			5024.95				3423.57		3050.5
Q8N2K0	Q8N2K0	ABD12_HUMAN	ABHD12	Lysophosphatidylserine lipase ABHD12	47259.4	52485	45916.6	44928.1	42687.5	44141.2	38287.4	34146.6	35095.4	16793	17372.8	43311.1	16511.7	16104.8	17791.4	15507.6	15864.4	15744.7
Q8N2K1	Q8N2K1	UB2J2_HUMAN	UBE2J2	Ubiquitin-conjugating enzyme E2 J2	4629.32	4314.19	4249.21	3436.1	4309.67	4038.17	3317.52	3362.18	3213.73	2941.4	3230.13	4746.79	3174.09	3023.09	2380.75	2779.14	3009.11	2482.69
Q8N2M8	Q8N2M8	CLASR_HUMAN	CLASRP	CLK4-associating serine/arginine rich protein	2845.45	3120.85	2553.8				5480.5			4188.86		4503.06	4252.87		4655.29	5999.39	5176.65	4654.5
Q8N2Q7	Q8NFZ4;Q8N2Q7	NLGN1_HUMAN	NLGN1	Neuroligin-1	1890.55			1802.38	2228.93	2475.35	3303.28	4298.52	3577.29			1112.85						
Q8N2S1	Q8N2S1	LTBP4_HUMAN	LTBP4	Latent-transforming growth factor beta-binding protein 4						2940.02	6241.07	3636.78	3792.22			3099.34						
Q8N2U0	Q8N2U0	TM256_HUMAN	TMEM256	Transmembrane protein 256	496.668	7017.56	3996.16		4097.97	353.945												
Q8N2U9	Q8N2U9	S66A2_HUMAN	SLC66A2	Solute carrier family 66 member 2	3498.77	3712.49	3138.33	3919.77	3638.12	3549.14	2441.85	2470.55		4712.82	4084.84	2436.88	3348.59	2588.26	4997.08	3274.44	4041.8	4463.23
Q8N2W9	Q8N2W9	PIAS4_HUMAN	PIAS4	E3 SUMO-protein ligase PIAS4	2320.92	1824.39	2134.33	2565.6	2217.28	2140.93	2461.7			1840.68	2258.27	4370.61	2241.66	2834.49		2835.32	2115.37	1459.22
Q8N335	Q8N335	GPD1L_HUMAN	GPD1L	Glycerol-3-phosphate dehydrogenase 1-like protein	28595.3	24901.2	34953.9	34694.7	32064	32600.6	42239	38695.9	36666.5	27925.9	27851.8	17495.8	27722.1	28994.8	30630.8	28852	25218.1	28417.8
Q8N350	Q8N350	CBARP_HUMAN	CBARP	Voltage-dependent calcium channel beta subunit-associated regulatory protein	6631.73	7799.97	5623.1	11532.8	9275.71	11360.2	12980	15096.3	12759.1	21963	9403.95	6893.38	5285.62	10827	20746.2	8595.46	7388.83	10417.9
Q8N357	Q8N357	S35F6_HUMAN	SLC35F6	Solute carrier family 35 member F6	30475.3	29503.8	26230.5	29335.1	36231	28151	20319.9	22247.6	21027.5	4478.13		25343.7		3308.51	3769.28	4904.84	4396.03	4890.2
Q8N370	Q8N370	LAT4_HUMAN	SLC43A2	Large neutral amino acids transporter small subunit 4	4457.69	3735.12	3605.74	5003.71	3515.89	4916.57	2723.6	3530.15	3987.1					1883.81				924.988
Q8N392	Q8N392	RHG18_HUMAN	ARHGAP18	Rho GTPase-activating protein 18	30852.6	30148.8	33583.9	32806.8	31710.5	32709.9	29392.2	26489	27910.9	150685	165989	66482.8	152657	164838	170570	121224	124695	135535
Q8N3C0	Q8N3C0	ASCC3_HUMAN	ASCC3	Activating signal cointegrator 1 complex subunit 3	54211.6	48629.8	51541.2	56748.4	54143.2	55616	43616.4	38291.8	39457.3	27350.3	27896.5	46768.7	24361.7	27452.3	27515.8	24670.9	27456	29553.6
Q8N3D4	Q8N3D4	EH1L1_HUMAN	EHBP1L1	EH domain-binding protein 1-like protein 1	16973.1	17263.3	17018.2	16416.9	16440	16109.3	12950.1	13567.8	13355.2	16461.6	15017.2	15494.3	15311.5	16229.4	14586.6	12295.4	12890.6	14546.7
Q8N3E9	Q8N3E9	PLCD3_HUMAN	PLCD3	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3	10002.9	9509.53	11064.5	10028.6	12371.7	10726.7	10624	8131.8	9953.11		1357.86	7356.16	1308.8	1357.54			1274.55	5051.38
Q8N3F0	Q8N3F0	MTURN_HUMAN	MTURN	Maturin								4106.62	4527.41	39008.4	29217.6		34917.6	29742.5	35074.7	22101.6	26531.2	23258
Q8N3F8	Q8N3F8	MILK1_HUMAN	MICALL1	MICAL-like protein 1	12821.7	12286.3	11919.3	12735	12432.2	12739.7	12068.5	12280.3	11441.8	2677.83	3623.99	9217.86	2798.54	3233.92	3227.51	2969.9	4060.77	3143.84
Q8N3P4	Q8N3P4	VPS8_HUMAN	VPS8	Vacuolar protein sorting-associated protein 8 homolog	13052.7	12233.5	13173.5	12709.4	11400.5	13412.9	11243.1	10126.8	9719.78	10670.1	10792.3	10349	10302.7	10381.6	12288.3	10444	9988.22	10477.4
Q8N3R3	Q8N3R3	TCAIM_HUMAN	TCAIM	T-cell activation inhibitor, mitochondrial	2102.56	1376.64		1835.22	1218.48						1473.75	1773.77						
Q8N3R9	Q8N3R9	PALS1_HUMAN	PALS1	Protein PALS1	13198.4	13281.3	14040.5	14217.3	13086.8	13960	9894.99	10048.5	9945.99		2800.65	13543.1		2457.52	3115.06	1791.98		2830.35
Q8N3U4	Q8WVM7;Q8N3U4	STAG2_HUMAN	STAG2	Cohesin subunit SA-2	15096.2	13089.2	12946.9	14151.9	12138.7	14033.8	11494.6	11189.3	10175.9	27301.2	26531	19405.6	28340.4	24000.3	27377.5	29445.6	27661.9	27636.9
Q8N3V7	Q8N3V7	SYNPO_HUMAN	SYNPO	Synaptopodin	22346.3	23534.6	24661.5	18919.9	22620.7	20221.5	12635.6	10665	10381.6			14220.4						
Q8N3X1	Q8N3X1	FNBP4_HUMAN	FNBP4	Formin-binding protein 4	6990.82	6462.52	6149.08	6742.97	6820.1	7105.9	8734.08	9336.24	10607.7	11567.3	10339	8985.71	11097.2	10317.9	9534.53	9290.84	9068.28	9398.54
Q8N3Y1	Q8N3Y1	FBXW8_HUMAN	FBXW8	F-box/WD repeat-containing protein 8	4461.29	4488.93	4634.29	4414.64	5267.52	4498.02	3059.85	3878.76	4370.92			3916.63						606.193
Q8N428	Q8N428	GLT16_HUMAN	GALNT16	Polypeptide N-acetylgalactosaminyltransferase 16	1459	1766.28	830.835	966.283	1097.09	1368.66						869.065						
Q8N441	Q8N441	FGRL1_HUMAN	FGFRL1	Fibroblast growth factor receptor-like 1	3048.07	6131.95	4750.46	1662.03	5019.52	2625.83	1695.93					1074.16						
Q8N442	Q8N442	GUF1_HUMAN	GUF1	Translation factor GUF1, mitochondrial	2825.73	2715.63	2878.29	3458.93	2912.41	3458.76	3321.4	4487.02	3450.9	3571.3	5226.56	5289.77	4274.69	4041.53	3722.39	5182.66	4585.46	4376.39
Q8N461	Q8N461	FXL16_HUMAN	FBXL16	F-box/LRR-repeat protein 16	2733.22	1789.41	2835.84	3029.78	2223.25	2739.19			2044.15			1770.38						
Q8N465	Q8N465	D2HDH_HUMAN	D2HGDH	D-2-hydroxyglutarate dehydrogenase, mitochondrial	6518.44	5919.8	5855.16	7304.51	5387.37	7613.82	6137.52	7525.02	7036.69	6589.61	4449.18	6113.85	5264.43	4629.32	4685.41	5615.99	4726.55	4667.45
Q8N474	Q8N474	SFRP1_HUMAN	SFRP1	Secreted frizzled-related protein 1	1894.64	1744.26		1772.29	2427.2	2430.32	2988.42	3977.73	4160.09			5478.65						
Q8N490	Q8N490	PNKD_HUMAN	PNKD	Probable hydrolase PNKD										23130.6	22366.8		23543.9	23982	20943.5	18462.3	17753.1	18656.7
Q8N4A0	Q8N4A0	GALT4_HUMAN	GALNT4	Polypeptide N-acetylgalactosaminyltransferase 4	10725.3	8505.28	9113.13	9518.79	9053.89	10302.2	7332.56	7697.67	12515	7237.81	6941.77	11286.3	6635.25	6062.72	6212.4	5094.97	6483.47	5364.34
Q8N4B1	Q8N4B1	SESQ1_HUMAN	PHETA1	Sesquipedalian-1	2690.44	2321.6	3214.36	2925.14	3333.9	2227.34	3324.43	3683.43	3533.67	2541.26	3878.3		3162.71	2698.88	2933.77	2193.61	2666.12	2375.35
Q8N4C8	Q8N4C8	MINK1_HUMAN	MINK1	Misshapen-like kinase 1	7974.49	6750.86	7129.77	7681.33	8438.11	10899.2	12931.9	13882.1	11517.6	8199.6	3300.01	7090.97	6639.57	5440.65	6496.21	3653.57	5397.21	4140.08
Q8N4H5	Q8N4H5	TOM5_HUMAN	TOMM5	Mitochondrial import receptor subunit TOM5 homolog	3047.38	1573.99	2103.86	2694.49	2349.51	2014.92	31799.6	24452.4	20665.5	32369.1	37066.7	3638.41	42879.5	37788.3	34610.3	46690	46763	44726.3
Q8N4J0	Q8N4J0	CARME_HUMAN	CARNMT1	Carnosine N-methyltransferase	903.15	1548.82	1418.16	1267.6	1878.26	2495.21	1531.49	1480.6	1600.21	2109.32	2139.24	1289.57	1374.39	2212.99	2163.49		1291.58	929.135
Q8N4L2	Q8N4L2	PP4P2_HUMAN	PIP4P2	Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase	16242.4	18156.6	18593.6	18401.1	17023.6	16916.5	14316.7	24431.9	23666	32213	28314.1	13000.6	32215.3	26669.1	28060.2	20546.1	21900	22203.6
Q8N4P3	Q8N4P3	MESH1_HUMAN	HDDC3	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1		1339.59					4271.55	3050.02		9339.53	7555.36		7406.06	7596.06	7884.16	8971.91	7676.68	7401.18
Q8N4Q0	Q8N4Q0	PTGR3_HUMAN	ZADH2	Prostaglandin reductase 3	6878.96	8301.94	7249.5	8866.45	9213.33	7528.41	7051.8	8559.66	8186.45	8788.68	7447.25	7485.72	7460.09	6519.6	7927.34	9017.68	9613.08	9206.32
Q8N4Q1	Q8N4Q1	MIA40_HUMAN	CHCHD4	Mitochondrial intermembrane space import and assembly protein 40						726.933	2118.04	5154.45	5928.32	2582.8	1327.95		1608.23	3257.03	1557.14	2157.61	2649.31	1974.29
Q8N4T8	Q8N4T8	CBR4_HUMAN	CBR4	3-oxoacyl-[acyl-carrier-protein] reductase					4357.61	5647.8	12226	11353	12883.4	9595.98	7709.14		8078.3	7944.79	11038.9	7978.51	8778.82	8303.48
Q8N4U5	Q8N4U5	T11L2_HUMAN	TCP11L2	T-complex protein 11-like protein 2	6469.79		5046.16		5422.5	5896.88	5380.33			8329.51	9701.43			10056.1		10712.9	14452	9627.79
Q8N4V1	Q8N4V1	EMC5_HUMAN	MMGT1	ER membrane protein complex subunit 5	27933	23770.1	22089.5	33760.8	34067.1	29499.1	35623.4	35838.9	29611.4	21021.2	27695.4	23222.5	27572.9	28523.3	28387.4	30651.4	31653.7	36335.2
Q8N4X5	Q8N4X5	AF1L2_HUMAN	AFAP1L2	Actin filament-associated protein 1-like 2	10163.9	11017.6	11224.6	9592.29	10747.2	9943.74	9241.9	9734.68	9488.09	13736.2		2381.59						
Q8N511	Q8N511	TM199_HUMAN	TMEM199	Transmembrane protein 199	15902.8	16524.8	14502	15873.8	13970.9	16312.1	16609.6	13092.5	12362.3	11422.9	11666.1	13781.4	11159	10560.2	8722.65	10416.2	10458.1	10931.5
Q8N531	Q8N531	FBXL6_HUMAN	FBXL6	F-box/LRR-repeat protein 6	2937.02	3607.21	1932.63	2822.57	2508.95	2905.11	2798.91	2809.79				3040.01	2845.04	1869.4	2060.36	1433.55	1067.86	1474.21
Q8N543	Q8N543	OGFD1_HUMAN	OGFOD1	Prolyl 3-hydroxylase OGFOD1	2996.8	1952.39	933.301	2795.99	2189.02	2167.7	7161.78	10022.9	11053.5	3052.12	4357.71	3026.66	3081.03	3740.66	2927.52	4242.77	3854.19	5601.86
Q8N556	Q8N556	AFAP1_HUMAN	AFAP1	Actin filament-associated protein 1	21629.6	22016.9	25120.9	22935	20509.3	22666.2	19357.7	17061.8	17388.9	3443.31	4166.04	27855.2	3866.62	4562.06	4391.25	2836.36	3788.32	3913.45
Q8N568	Q8N568	DCLK2_HUMAN	DCLK2	Serine/threonine-protein kinase DCLK2	3127.01	4476.92	3055.39	4141.97	3751.52	4074.81	4557.46	5757.92	5735.89			1851.83						
Q8N573	Q8N573	OXR1_HUMAN	OXR1	Oxidation resistance protein 1	16918.3	16444.8	16161.7	15308.2	17270.3	18004.6	13726.2	11781.5	12580.5	14153.5	13865	19378.4	10278.1	16741	14029.5	12032.7	12880	12736.7
Q8N584	Q8N584	TT39C_HUMAN	TTC39C	Tetratricopeptide repeat protein 39C	9881.59	10062.1	10477.2	10992.2	10393.5	11615.6	10705.3	10620.4	11645.9		2459.56	5384.79	1345.52			3058.37	3023.02	3148.91
Q8N5A5	Q8N5A5	ZGPAT_HUMAN	ZGPAT	Zinc finger CCCH-type with G patch domain-containing protein	6316.6	5992.72	7182.71	7949.65	6721.04	7858.82	8190.53	9706.71	9016.6	8628.45	6134.5	8204.14	5997.28	6272.09	8441.92	5602.21	4680.33	6373.48
Q8N5B7	Q8N5B7	CERS5_HUMAN	CERS5	Ceramide synthase 5	8468.68	7555.38	10436.3	9031.13	7366.13	9312	9430.28	4097.04	8557.16	7406.06	6341.04	6143.53	7129.83	5185.5	5226.56	5270.66	4288.2	5631.71
Q8N5C1	Q8N5C1	CAHM5_HUMAN	CALHM5	Calcium homeostasis modulator protein 5	1601.31	2010.92	1493.17	2421.74	1718.94	2419.76				3702.46	2787.44						1965.02	1823.02
Q8N5C6	Q8N5C6	SRBD1_HUMAN	SRBD1	S1 RNA-binding domain-containing protein 1	10733.3	11785.4	10533.9	10799.5	9851.9	10317.5	10452.2	10882.6	10452.2	13983.1	11881.9	12064.6	11653.8	12435.3	12876.1	11513.4	11936.4	13434.9
Q8N5C7	Q8N5C7	DTWD1_HUMAN	DTWD1	tRNA-uridine aminocarboxypropyltransferase 1				779.928		952.852						1553.05				923.597		611.649
Q8N5C8	Q8N5C8	TAB3_HUMAN	TAB3	TGF-beta-activated kinase 1 and MAP3K7-binding protein 3	2199.55	1867.41	1853.29	2084.7	1762.21	1946.48	1984.52	2556.55	2574.4	1010.59	1772.52	1863.16	1069.24	1654.99	2156.18	1645.91	1283.52	955.243
Q8N5D0	Q8N5D0	WDTC1_HUMAN	WDTC1	WD and tetratricopeptide repeats protein 1	6785.26	6427.93	5855.94	4406.45	6068.2	6221.59	5300.17	3945.01	3997.06	5078.66	9475.39	5057.91	8673.12	9301.78	7993.77	8065.54	8316.29	8752.73
Q8N5F7	Q5M9Q1;Q8N5F7	NKAP_HUMAN	NKAP	NF-kappa-B-activating protein	4945.73	4907.51	4453.23	5545.46	4889.71	4919.02	5236.51	5773.38	5291.1	2961.73	3219.55	5222.19	3111.87	3398.22	2765.85	2947.67	3540.63	4467.1
Q8N5G0	Q8N5G0	SIM20_HUMAN	SMIM20	Small integral membrane protein 20	4790.09	6329.45	4530.6	6317.29	6403.02	4827.14	11606.9	9792.13	10142	9260.72	11191.9	4980.61	10648.7	11031.9	12344	8911.45	12555.5	8646.02
Q8N5G2	Q8N5G2	MACOI_HUMAN	MACO1	Macoilin	6766.41	5875.94	6064.37	7829.44	6995.81	6071.49	5784.26	5512.98	5825.67	6881.79	6758.21	5952.83	6836.43	8081.51	6915.16	5376.54	6163.66	5028.45
Q8N5H3	Q8N5H3	LRA25_HUMAN	FAM89B	Leucine repeat adapter protein 25	6676.61	3916.33	5333.32	6325.23	4557.59	5661.44	5054.74	3750.84	3578.16		2347.12	2993.37				3334.1	2052.79	
Q8N5H7	Q8N5H7	SH2D3_HUMAN	SH2D3C	SH2 domain-containing protein 3C																9220.64		
Q8N5I2	Q8N5I2	ARRD1_HUMAN	ARRDC1	Arrestin domain-containing protein 1	1669.68	1519.09	1656.63	2213.93	1426.03	1681.53	3124.81	2705.34		4085.83	6445.63	1741.96	3031.12	3313.92	3791.95	4282.03	4647.74	4342.04
Q8N5I4	Q8N5I4	DHRSX_HUMAN	DHRSX	Dehydrogenase/reductase SDR family member on chromosome X	13770.1	17322.8	14774.3	11964.1	15409.7	12949.6	14323	12407	11931.8	9456.71	6548.14	7606.91	7961.43	4801.15	9659.48	8061.35	7625.74	7705.2
Q8N5J2	Q8N5J2	MINY1_HUMAN	MINDY1	Ubiquitin carboxyl-terminal hydrolase MINDY-1	5167.86	5244.13	6014.74	4708.76	6196.22	6369.13		9411.6		24270.8	25860.4	3999.47	25879.1	26583.3	23632.5	17032.2	18326.9	23119.7
Q8N5K1	Q8N5K1	CISD2_HUMAN	CISD2	CDGSH iron-sulfur domain-containing protein 2	27650.1	31123.3	34532.8	34436.8	23853.4	33154	29149.3	26888.8	21764.4	113831	122989	35432	125753	98579.9	126400	96849.9	116925	108306
Q8N5L8	Q8N5L8	RP25L_HUMAN	RPP25L	Ribonuclease P protein subunit p25-like protein	8653.15	7790.8	8269.67	9913.98	8328.2	9495	13583.7	17881.2	16815.8	12367.9	11474.5	10703.5	10694.4	11909.7	10821.6	13565.7	12007.8	13039.9
Q8N5M1	Q8N5M1	ATPF2_HUMAN	ATPAF2	ATP synthase mitochondrial F1 complex assembly factor 2	10351.4	7871.28	11309.5	10738	11465.5	12614.3	15555.1	12117.7	13370.6	11142.2	10030.9	8230.79	9887.87	9819.67	8925.6	11290.2	11503.9	11098.3
Q8N5M4	Q8N5M4	TTC9C_HUMAN	TTC9C	Tetratricopeptide repeat protein 9C	28836.3	28997.9	28834	32964	31235.3	30301.3	39129.4	36829.8	39673	41042.2	36014.5	28257.7	32989.5	34253.2	34900.3	36405.1	34546.5	35467.9
Q8N5M9	Q8N5M9	JAGN1_HUMAN	JAGN1	Protein jagunal homolog 1	13607.3	12632.9	11406.5	11480.6	19033.7	12289	17930.7	21944.7	17639.2	15590.3	20269	11432.1	21442.5	17354	21235.7	17418.3	18149.9	19098
Q8N5N7	Q8N5N7	RM50_HUMAN	MRPL50	39S ribosomal protein L50, mitochondrial	7378.72	9659.76	9395.55	5521.05	6479.67	6714.79	6689.11	5609.72	6636.53			4913.73				2645.99	2656.51	3979.32
Q8N5W9	Q8N5W9	RFLB_HUMAN	RFLNB	Refilin-B	10317.4	9257.83	9495.17	7860.37		11481.1				1736.59	2976.52	13748.8	3348.77	4540.01	2759.26	5419.8	3135.25	4708.27
Q8N5Y2	Q8N5Y2	MS3L1_HUMAN	MSL3	Male-specific lethal 3 homolog	456.173	956.506	927.79	491.162	767.314	1018.28						1036.12	335.485	414.254		972.362		
Q8N5Z0	Q8N5Z0	AADAT_HUMAN	AADAT	Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial	3768.03	3618.76	3154.78	3880.04	2698.68	3913.11	3219.45		4278.67			4305.94						
Q8N609	Q8N609	TR1L1_HUMAN	TRAM1L1	Translocating chain-associated membrane protein 1-like 1	1602.69	1716.53	1488.81	1151.61	1824.79	1299.53	614.946	780.627				1257.58						
Q8N612	Q8N612	FHI1B_HUMAN	FHIP1B	FHF complex subunit HOOK interacting protein 1B	14260.5	13746.9	12769	14183.4	13972.1	12899.9	10387.9	11036.3	13366.1			12028.6	3173.36					
Q8N653	Q8N653	LZTR1_HUMAN	LZTR1	Leucine-zipper-like transcriptional regulator 1	7046.66	6293.52	6076.7	7099.96	6686.8	7431.12	4365.4	4474.36	5100.49	2088.23	2938.52	7441.06	4203.34	3329.47	5465.82	3616.97	5000.27	2981.14
Q8N668	Q8N668	COMD1_HUMAN	COMMD1	COMM domain-containing protein 1	5530.47	5777.16	5251.51	5507.28	5713.99	5817.21	7051.85	5533.93	5466.19	4597.03	4847.1	7283.29	4958.93	5314.73	4030.39	4807.18	6133.01	5636.85
Q8N684	Q8N684	CPSF7_HUMAN	CPSF7	Cleavage and polyadenylation specificity factor subunit 7	19149.5	17053.6	17482.9	18965.3	19811.3	18562.8	52549	49755	48653.7	49378.3	48787.2	24278.8	46066.4	48200	53103.9	53875.3	50916.8	52291.3
Q8N697	Q8N697	S15A4_HUMAN	SLC15A4	Solute carrier family 15 member 4	24991.6	25744.7	17409.4	23608.1	22761.4	24827.8	16197.6	17395	26231.5	10972.6	10453.8	21518.7	10917.1	7930.34	10274.7	9551.59	9693.51	10917
Q8N699	Q8N699	MYCT1_HUMAN	MYCT1	Myc target protein 1										70085.2	66712.2		68189.8	61065.8	73862.8	60354.5	60043.2	63269
Q8N6G5	Q8N6G5	CGAT2_HUMAN	CSGALNACT2	Chondroitin sulfate N-acetylgalactosaminyltransferase 2	2480.6	4187.43	2881.26	2163.81	3458.63	3364.08	2225.98	2241.45				1147.68						
Q8N6G6	Q8N6G6	ATL1_HUMAN	ADAMTSL1	ADAMTS-like protein 1	8765.64	9887.72	11211	8295.13	11231.2	10294.1	12979.6	16246.2	15015.4			10513.2						
Q8N6H7	Q8N6H7	ARFG2_HUMAN	ARFGAP2	ADP-ribosylation factor GTPase-activating protein 2	25355.5	24531.7	24662.1	28130.6	24569.8	25698.2	30923.6	32168.4	29755.6	28476.7	37918.5	31124.1	33047.6	33807.9	32592.8	29268.3	30378.4	32553.5
Q8N6L1	Q8N6L1	KTAP2_HUMAN	KRTCAP2	Keratinocyte-associated protein 2	13885.2	21713.8	9303.46	13124.5	14120.5	16929.3	10405	9167.75	10285.4	5675.02	6541.65	8737.59	5914.72	4861.2	6790.46	6468.04	6331.2	7401.31
Q8N6M0	Q8N6M0	OTU6B_HUMAN	OTUD6B	Deubiquitinase OTUD6B	17761.1	17471.9	18048.2	19761.7	17930.9	17323.4	18853.7	23299.5	20103.5	14139.4	17083.4	17287.6	20133.1	14925.6	17674.5	15392.1	16812.4	16498.1
Q8N6M3	Q8N6M3	FITM2_HUMAN	FITM2	Acyl-coenzyme A diphosphatase FITM2	6274.47	7265.15	6073.78	7864.43	8184.84	8063.42												
Q8N6N3	Q8N6N3	CA052_HUMAN	C1orf52	UPF0690 protein C1orf52		434.271					680.472	1436.2	1293.96		1197.74			1456.38		1154.76	1721.79	2038.77
Q8N6N7	Q8N6N7	ACBD7_HUMAN	ACBD7	Acyl-CoA-binding domain-containing protein 7	18753.7						17264.5	13655.5	17702.7	14571.6						16543.3		14218
Q8N6Q8	Q8N6Q8	MET25_HUMAN	METTL25	Probable methyltransferase-like protein 25	2666.46	2885.86	3111.92	3237.26	3124.54	3254.33	2231.95	2332.11			2588.7	2988.61	3458.22					
Q8N6R0	Q8N6R0	EFNMT_HUMAN	METTL13	eEF1A lysine and N-terminal methyltransferase	24301.7	21520.2	21053.2	24016.8	20322.8	23348.8	22948.5	21511.9	23568.8	11761.9	13091.7	20050	11794.4	11196.1	13627.7	17283	15793.8	17100.7
Q8N6T3	Q8N6T3	ARFG1_HUMAN	ARFGAP1	ADP-ribosylation factor GTPase-activating protein 1	39628	49267.6	50432.4	41203.8	46454.2	42325.3	30628.3	27251.4	26359.7	16589.8	13386.8	48272.6	21308.3	15261.8	14781.3	15393.9	13937.7	13871.7
Q8N6T7	Q8N6T7	SIR6_HUMAN	SIRT6	NAD-dependent protein deacetylase sirtuin-6	2227			2979.47	2864.45	2587.27	5067.34	7033.98	5279.65	5837.25	4549.32		4052.14	3818.73	3772.39	4687.34	4752.05	4500.94
Q8N6Y2	Q8N6Y2	LRC17_HUMAN	LRRC17	Leucine-rich repeat-containing protein 17	54623.9	51741.3	59837.5	40993.9	63395.8	59520.2	48539	63586.3	62912.2			45120.6						
Q8N720	Q8N720	ZN655_HUMAN	ZNF655	Zinc finger protein 655	1884.9	1817.12	1154.06	1164.41	714.468	1707.44	641.448	1150.39		1420.44		2702.75	1747.23	872.146	606.313	694.474	1350.72	
Q8N755	Q8N755	S66A3_HUMAN	SLC66A3	Solute carrier family 66 member 3	4458.01	5304.98	5373.03	4214.14	4856.39	5205.5			4187.36		2127.86	3366.73	2652.14	2337.16	2105.41	3202.12		
Q8N766	Q8N766	EMC1_HUMAN	EMC1	ER membrane protein complex subunit 1	82540.5	70676.6	74363.2	79159.9	80927.7	74306.3	79747.5	75446.9	74789.5	56818.1	48433.9	64233.6	52724.2	48778	54491.6	45416.6	48590.2	45877.8
