Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-99_3909.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-100_3911.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-101_3913.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-102_3915.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-103_3917.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_f_DDM_DIA_2-26-2024_Slot1-104_3919.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-198_3921.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-199_3923.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-200_3925.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-201_3927.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-26-2024_Slot1-202_3929.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-203_3931.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-204_3935.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-205_3937.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-206_3939.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-207_3941.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-208_3943.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_1.5ul_2-27-2024_Slot1-209_3945.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-26_3890.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-27_3891.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-28_3892.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-29_3894.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-30_3895.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-31_3896.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-32_3898.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-33_3899.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-34_3900.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-35_3902.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-36_3903.d	D:\LucyC\20240228_primary_astrocytes_SC_SCP_DIA\Lucy_pri_astro_m_DDM_DIA_2-25-2024_Slot1-37_3905.d
P60900	P60900	PSA6_HUMAN	PSMA6	Proteasome subunit alpha type-6	921.801	911.906	1214.74	803.48	603.082	1055.6	1058.93	938.069	911.521	557.511	835.631	766.367	1381.89	1023.52	1037.76	803.733	881.116	774.511	1343.01	716.099	849.493	1586.45	905.279	1129.92	722.866	407.556	1119.37	1489.13	1268.13	1016.02
P60903	P60903	S10AA_HUMAN	S100A10	Protein S100-A10	641.278	750.261	311.524	206.685	586.725	348.516	393.428	681.198	874.007		427.747	322.525	815.972	780.755		547.887			1463.46	479.541	1473.34	491.857	472.202	308.597	633.52		239.088	739.84	813.419	693.014
P60953	P60953	CDC42_HUMAN	CDC42	Cell division control protein 42 homolog		348.364	225.42			213.396		574.101		99.4177	319.043	554.622	286.154	313.379		876.588	430.57				400.853	276.786	406.263	342.369	231.76	310.687	224.116	438.553	518.287	341.817
P60981	P60981	DEST_HUMAN	DSTN	Destrin	561.281	1494.27	653.542	458.977	944.157	974.697	870.951	1029.11	595.261	313.847	1751.41	1320.85	1036.64	1005.28	592.416	1651.81	1059.18	437.96	590.723	594.736	1599.69	1089.9	1200.71	1531.23	1023.77	414.96	1143.62	1697.94	2266.28	890.226
P60983	P60983	GMFB_HUMAN	GMFB	Glia maturation factor beta		578.226	320.8	251.986	349.997	302.769	415.646	496.794	147.403		538.981	635.421	599.745	359.686	218.385	384.323					392.703	747.174	716.46	705.028	381.758	142.893	542.138	824.825	517.671	634.837
P61006	Q92930;P61006	RAB8A_HUMAN	RAB8A	Ras-related protein Rab-8A		245.288		728.211		388.741		334.194	359.713		123.313	560.431		284.637		146.31		229.895	344.529	281.573	207.778	183.662	415.529	320.594	416.67	359.276	385.56		202.524	261.878
P61009	P61009	SPCS3_HUMAN	SPCS3	Signal peptidase complex subunit 3		348.843	668.78	618.801	1180.9	546.466	812.279	388.935	788.007	941.818	495.87	292.029	481.856	673.216	603.313	591.917	512.255	656.529	391.099	366.331	571.521	198.954	377.853	635.528	707.747	710.033	295.72	631.405	434.588	479.378
P61011	P61011	SRP54_HUMAN	SRP54	Signal recognition particle 54 kDa protein		202.439	257.292	557.72		215.726	287.396	280.533	259.984		235.264	385.255	244.373	347.668		412.158			228.521		293.287	267.573	527.957	477.494	362.755		537.741	333.782	219.249	456.018
P61018	P61018	RAB4B_HUMAN	RAB4B	Ras-related protein Rab-4B				303.743				170.989			188.588		177.539	198.735											366.461	282.625				104.577
P61019	P61019;Q8WUD1	RAB2A_HUMAN	RAB2A	Ras-related protein Rab-2A		419.064	821.527	1026.47	789.926	1055.58	825.897	849.345	703.814	821.31	837.736	795.583	754.949	1092.79		781.798	1019.3	672.718	740.992	981.127	1180.5	594.416	1181.04	832.607	1019.85	1962.03	1134.13	827.291	936.242	735.484
P61020	P61020	RAB5B_HUMAN	RAB5B	Ras-related protein Rab-5B	212.681	71.0105	124.53				176.568		59.5898		113.463	260.856									158.894	99.3866	138.387	255.849	91.179	172.33	154.099	173.221	165.815	167.191
P61026	P61026	RAB10_HUMAN	RAB10	Ras-related protein Rab-10	265.759	833.38	556.031	612.465	1037.88	613.328	446.094	559.309	674.97	636.775	419.45	835.799	888.623	228.744		683.967	829.204		587.98	627.693	395.908	894.702	907.391	771.999	844.684	714.349	619.527	1091.27	689.005	964.851
P61077	P61077;P62837	UB2D3_HUMAN	UBE2D3	Ubiquitin-conjugating enzyme E2 D3	867.534	442.28	669.26	241.318	219.436	667.628	536.761	361.995			520.206	343.27	220.588	365.862	322.553	932.414	430.611	356.244	220.991	91.9061	987.116	435.157	751.613	639.293	859.644		497.109	957.403	670.694	425.936
P61081	P61081	UBC12_HUMAN	UBE2M	NEDD8-conjugating enzyme Ubc12		508.981	535.474			370.203	433.468	409.565			616.64	375.48	385.924	619.099		369.145			314.918	510.606	574.223	587.584	648.235	403.309	441.639	215.203	641.459	561.823	375.583	468.368
P61088	P61088;Q5JXB2	UBE2N_HUMAN	UBE2N	Ubiquitin-conjugating enzyme E2 N	791.372	2090.76	2419.79	744.919	623.552	1793.22	2407.13	2453.61	762.288	531.332	2408.38	3080.16	3120.04	2219.22	1189.11	2541.7	1333.93	461.488	756.008	755.547	2080.18	2046.37	2404.08	1758.89	1303.87	595.851	2743.66	2296.77	2571.42	3668.44
P61106	P61106	RAB14_HUMAN	RAB14	Ras-related protein Rab-14	875.833	914.912	1533.88	1533.3	781.828	1438.73	1189.46	884.541	1218.52	648.241	1176.68	621.989	825.09	923.271	800.775	1128.37	892.922	760.393	1450.16	1682.42	1157.02	981.048	1334.74	1211.94	1644.35	1034.87	1166.41	1267.24	1246.16	1401.54
P61158	P61158	ARP3_HUMAN	ACTR3	Actin-related protein 3	762.405	1984.08	1524.65	925.576	1630.78	1473.81	1560.03	1489.23	701.469	556.688	1474.3	1753.43	1158.57	1674.43	574.496	1475.63	399.096	553.007	673.571	464.918	1747.88	1656.15	1130.25	1442.38	1150.77	893.315	1755.74	1709.58	2098.65	1474.23
P61160	P61160	ARP2_HUMAN	ACTR2	Actin-related protein 2		1974.65	1462.43	1004.1	1830.81	1707.41	1227.56	1401.46	805.741	720.501	2021.54	2000.18	1776.75	2123.86	978.07	1821.56	751.157	1219.73	1300.47	967.209	2020.17	1314.87	1628.75	1720.22	1360.09	1199.08	1684.27	1669.58	2241.7	1788.24
P61163	P61163	ACTZ_HUMAN	ACTR1A	Alpha-centractin		861.293	1322.36	1040.34	597.14	1011.17	1282.02	770.098	502.36	447.906	665.544	1343.21	702.376	488.215		1068.38	303.541	496.919	814.536		883.74	1281.29	1160.8	905.805	793.015	479.1	715.926	691.475	849.34	599.946
P61165	P61165	TM258_HUMAN	TMEM258	Transmembrane protein 258			166.391				134.688						348.77						117.542					217.922	282.777	209.519			220.96	164.66
P61201	P61201	CSN2_HUMAN	COPS2	COP9 signalosome complex subunit 2			266.912			272.512	384.61				187.493		486.347					542.465	312.703		154.384		152.443	240.174	130.13		319.075	215.576	293.418	175.596
P61204;P84077	P61204;P84077	ARF1_HUMAN;ARF3_HUMAN	ARF1;ARF3	ADP-ribosylation factor 3		788.931	776.291			1324.31	1036.42	1339.64	374.942	295.632	1359.81	1607.62	1612.64	1266.35	792.924	1564.8	1329.04	353.928	657.985	350.067	927.628	1150.94	587.774	780.728	989.082	340.502	827.87	1093.25	1276.02	1293.94
P61221	P61221	ABCE1_HUMAN	ABCE1	ATP-binding cassette sub-family E member 1		484.444	810.564	270.649	275.748	755.906	328.346	701.818			586.447	524.615	426.902	549.417		489.848				441.991	522.478	774.265	494.938	838.089	377.172		609.206	846.76	555.67	581.697
P61224	P62834;P61224	RAP1B_HUMAN	RAP1B	Ras-related protein Rap-1b	1422.37	3320.81	2067.7	1188.34	2427.44	1645.63	1826.55	3774.25	2823.14	1862.92	2742.33	2781.24	3872.09	3350.65	611.086	3971.93	386.991	3721.84	1409.75	1758.07	2961.38	1674.99	3213.53	2445.2	3608.58	3197.42	2740.68	1535.08	4313.87	2195.85
P61225	Q9Y3L5;P10114;P61225	RAP2B_HUMAN	RAP2B	Ras-related protein Rap-2b		344.368	450.837	703.489	362.148	177.357	658.206	467.957			312.594	540.601	469.989	1033.26		184.104			585.466		437.142		556.06	391.76	551.565	390.63	518.875	638.345	700.676	197.396
P61247	P61247	RS3A_HUMAN	RPS3A	40S ribosomal protein S3a	1215.9	3542.99	5696.08	5049.56	1548.88	5737.83	3561.12	4177.28	1456.59	990.029	4157.8	3277.57	3780.23	4606.41	1394.2	3742.73	1715.35	531.847	3694.1	1099.72	4218.01	2996.67	4978.62	4554.79	4314.4	1141.49	4683.08	4216.37	3814.87	4933.76
P61254	P61254;Q9UNX3	RL26_HUMAN	RPL26	60S ribosomal protein L26	2062.9	3764.13	6878.79	5788.81	1597.03	6430.04	4110.23	5827.72	3018.05	1280.81	4287.96	3875.48	5254.9	3969.18	1916.01	4327.8	1849.87	930.918	5001.94	1630.01	3664.34	3810.99	6437.56	5803.77	5705.88	2040.09	5581.46	5628.49	4459.48	5802.62
P61289	P61289	PSME3_HUMAN	PSME3	Proteasome activator complex subunit 3		177.537	401.745	229.76		342.936	402.547	194.345	167.971		288.036	302.225	303.462	356.871	908.312	226.914					206.008	308.488	321.089	489.454	146.841		215.127		249.8	525.839
P61313	P61313	RL15_HUMAN	RPL15	60S ribosomal protein L15	735.279	2394.28	4815.57	4757.19	1321.91	4288.41	2800.6	4093.75	1860.47	957.037	3631.11	3050.84	2799.6	3347.9	1176.43	3652.97	1062.38	714.151	3664.1	964.867	2764.62	2340.7	5489.27	4686.09	3827.85	1586.2	4154.24	5153.02	2503.25	3268.56
P61326;Q96A72	P61326;Q96A72	MGN2_HUMAN;MGN_HUMAN	MAGOH;MAGOHB	Protein mago nashi homolog			315.45	597.239		371.706		365.287	35.1373	167.851	251.835	561.481		290.208		501.57			361.185			280.991		572.786	141.195	182.533	447.801	567.577	291.09	462.208
P61353	P61353	RL27_HUMAN	RPL27	60S ribosomal protein L27	2085.49	3925.54	8908.33	7575.15	2503.53	8642.77	4900.86	8234.77	3695.13	1271.38	6282	6149.44	5185.92	5406.08	1641.69	7182.45	1769.89	1735.26	5447.87	2368.96	3857.84	4154.92	8022.13	7506.47	7275.64	3552.75	8233.15	6066.93	6025.47	7026.69
P61421	P61421	VA0D1_HUMAN	ATP6V0D1	V-type proton ATPase subunit d 1		299.762	176.706	464.996	133.357	293.491	226.333	130.216		427.727			684.658	271.224		375.991		327.707	336.243		204.069	166.425	116.857	376.438	443.32	613.534	192.536	243.299	247.128	160.716
P61457	P61457	PHS_HUMAN	PCBD1	Pterin-4-alpha-carbinolamine dehydratase	459.266	425.854	178.038			290.177	297.14						305.551	238.648					514.555	306.958	175.238								411.812	448.577
P61513	P61513	RL37A_HUMAN	RPL37A	60S ribosomal protein L37a		583.079	964.206	1141.51	395.022	999.128	538.104	1169.25	522.639	311.046	628.646	410.287	752.139	458.426		621.979	584.695	226.729	604.847	292.226	670.049	378.896	1457.39	1214.88	1143.05	391.93	855.317	950.277	736.005	1135.16
P61586	P61586	RHOA_HUMAN	RHOA	Transforming protein RhoA		1314.23	1117.49	744.881	954.688	1281.71	1029.4	1366.23	972.93	497.415	1448.05	1231.45	761.62	1737.24		1459.72		128.946	717.849	700.528	2931.71	1534.77	1685.38	1341.62	958.253	1162.85	1337.9	1404.9	1633.68	892.79
P61604	P61604	CH10_HUMAN	HSPE1	"10 kDa heat shock protein, mitochondrial"	1608.74	1635.3	3794.95	3326.54	1201.16	2454.11	4097.5	2469.99	1705.53	5431.8	2041.05	2694.03	2071.02	2954.02	1066.28	1349.17	1299.31	3791	4378.94	3855.38	1349.61	3801.28	3094.15	2299.85	2880.75	3232.93	2605.93	1875.44	3002.41	3089.83
P61619	Q9H9S3;P61619	S61A1_HUMAN	SEC61A1	Protein transport protein Sec61 subunit alpha isoform 1	115.315	360.261	892.089	909.317	881.722	1435.57	889.366	1263.6	1316.26	926.209	906.331	1083.85	821.756	835.756	85.2323	726.364	716.741	973.649	395.71	864.82	787.655	552.493	991.818	949.656	1113.94	1542.05	1299.85	1062.53	941.143	755.715
P61626	P61626	LYSC_HUMAN	LYZ	Lysozyme C	7857.73	2951.19	1988.84	2940.99	4381.77	2532.64	3883.99	2185.71	3287.98	2440.23	1990.94	3687.1	2143.37	2790.24	6527.14	2707.13	5949.84	4146.1	4752.62	4330.76	2277.45	3458.11	1756.72	2976.67	1445.37	3280.73	2993.3	2267.38	2277.96	2179.75
P61758	P61758	PFD3_HUMAN	VBP1	Prefoldin subunit 3		212.776	157.123	762.196		452.874	163.086	158.196			266.235	570.7	152.612	360.067		348.297			620.673		465.51	461.986	539.019	332.165	367.417		700.761		243.339	171.471
P61764	P61764	STXB1_HUMAN	STXBP1	Syntaxin-binding protein 1		347.249					205.926		223.655		236.841	412.378	518.921	409.309							326.778	77.4434	133.648	494.093	194.778	175.635	182.389	508.05	193.182	76.6969
P61803	P61803	DAD1_HUMAN	DAD1	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit DAD1		714.558	715.519	795.286	1442.97	1093.99	1267	752.981	1542.93	1504.46	822.57	626.197	1190.91	1098.73	967.354	1581.71	1488.33	877.35		769.759	1460.45	537.035	551.44	935.734	1083.48	1125.7	408	1477.12	699.235	698.84
P61812	P61812	TGFB2_HUMAN	TGFB2	Transforming growth factor beta-2 proprotein								110.033	116.691	294.776												132.96	98.8212	174.102	317.752			134.119		
P61916	P61916	NPC2_HUMAN	NPC2	NPC intracellular cholesterol transporter 2					56.8869																					198.711	231.15		265.634	
P61923	P61923	COPZ1_HUMAN	COPZ1	Coatomer subunit zeta-1		299.698	710.605	645.042	363.036	1146.24	560.666	551.543			607.87	690.631	655.125	743.353		889.835			746.538	383.231	581.288	548.728	507.684	720.163	348.862	199.947	304.814	385.325	708.765	511.214
P61927	P61927	RL37_HUMAN	RPL37	60S ribosomal protein L37		1024.77	1184.69	1601.02	430.948	1148.47	358.129	508.771	257.691	299.155	852.387	376.016	590.982	958.35		584.127		538.414	727.064	202.951	692.652	889.501	1088.43	778.279	846.247	472.481	965.328	733.239	1095.42	936.587
P61956	P61956;P55854;Q6EEV6	SUMO2_HUMAN	SUMO2	Small ubiquitin-related modifier 2	297.334	531.727	1482.01	570.857	190.508	1538.58	1327.01	1680.24	979.567	206.506	1051.79	1233.32	1567.05	1739.27	1440.84	2232.43	544.354	142.139	911.687	576.72	616.376	1670.66	1696.41	1337.9	838.203	303.938	1171.77	1157.29	1498.25	1304.59
P61960	P61960	UFM1_HUMAN	UFM1	Ubiquitin-fold modifier 1	260.292	778.078	601.889	139.982	477.03	1199.6	584.143	967.383		188.38	695.557	691.394	814.805	826.689		983.147	253.808				1381.6	485.719	1138.93	926.949	342.388		806.253	1375.83	735.04	498.132
P61966	P61966	AP1S1_HUMAN	AP1S1	AP-1 complex subunit sigma-1A			218.015			296.418		172.147	232.859		152.871										214.811	132.852	156.212	225.243	276.439	98.5316			213.481	
P61970	P61970	NTF2_HUMAN	NUTF2	Nuclear transport factor 2	182.246	988.935	3303.55	991.447	272.078	2176.92	3283.29	3266.23	560.103	1284.5	3518.52	2783.9	2620.08	2915.85	1085.51	1798.1	1501.53	931.805	1732.17	1032.18	720.545	3957.14	2275.13	2510.91	1973.44	1064.28	1377.06	1953.32	2764.59	2492.53
P61978	P61978	HNRPK_HUMAN	HNRNPK	Heterogeneous nuclear ribonucleoprotein K		783.554	3533.32	2085.62	398.14	3393.85	3296.51	2707.18	3152.07	1212.13	2885.92	3020.66	3423.08	2759.41	1342.83	3136.14	277.152	1645.6	2961.36	748.982	731.509	2668.65	2500.95	3250.62	2716.18	921.882	3157.62	2695.52	2725.19	3274.42
P61981	P61981	1433G_HUMAN	YWHAG	14-3-3 protein gamma	2853.34	6987.47	5660.67	2207.07	2990.22	5359.52	6282.53	7090.71	1973.38	1500.02	7320.25	7703.52	7960.09	7808.69	2097.12	7461.12	3485.13	993.762	4103.86	1986.71	8556.22	7847.29	8583.04	7003.42	5058.9	1613.6	7910.51	7849.7	7673.53	8091.5
P62070	P62070	RRAS2_HUMAN	RRAS2	Ras-related protein R-Ras2											257.799			106.438		177.291					105.034				221.858			145.798	111.974	164.015
P62081	P62081	RS7_HUMAN	RPS7	40S ribosomal protein S7	701.469	2289.61	4808.46	4714.08	698.387	4469.58	2845.61	3491.78	1057.08	765.557	3485.27	2787.07	3641.96	3055.52	1016.55	3321.97	853.498	2978.62	2066.93	1377.99	4298.16	3057.53	3445.79	3607.6	3770.71	771.538	3614.52	3512.44	3102.62	4126.63
P62136	P62136	PP1A_HUMAN	PPP1CA	Serine/threonine-protein phosphatase PP1-alpha catalytic subunit		508.695	765.045	444.063	974.85	729.14	983.788	673.964	345.551	440.083	594.217	1223.21	591.835	887.882	371.901	815.468	623.006		623.53		480.571	415.88	580.47	420.164	733.325	326.459	677.049	613.406	654.654	876.066
P62140	P62140	PP1B_HUMAN	PPP1CB	Serine/threonine-protein phosphatase PP1-beta catalytic subunit		489.16	310.214	590.628	369.773	159.515	625.547	479.814	382.908	227.676	829.205	375.263	938.071	837.871	538.245	790.087		374.293	952.715		348.477	775.324	419.662	596.843	682.947		329.985	658.541	567.596	415.458
P62191	P62191	PRS4_HUMAN	PSMC1	26S proteasome regulatory subunit 4	173.065	926.68	930.794	963.047	459.907	1021.52	737.256	752.73	348.415	538.039	965.59	1022.01	1277.27	954.893	897.22	778.852	446.795	537.045	952.481	191.48	819.216	891.204	810.092	771.01	655.492	434.656	566.1	908.163	855.195	1126.86
P62195	P62195	PRS8_HUMAN	PSMC5	26S proteasome regulatory subunit 8	621.344	822.111	1359.79	1102.87	577.576	1257.56	1171.79	825.619	410.341	850.269	1140.75	1453.86	1605.32	1537.22	1563.56	1521.22	400.711	917.021	1020.12	630.235	1004.31	1407.12	1031.68	949.766	890.185	717.673	1073.79	1220.67	1315.2	1565.67
P62241	P62241	RS8_HUMAN	RPS8	40S ribosomal protein S8	1044.83	2473.64	3790.73	4472.92	1021.55	4358.31	2979.97	3812.58	1176.12	640.693	3515.11	2916.61	2997	3103.63	1091.19	2909.47	812.996	455.326	2322.39	954.53	2700.15	1985.58	3245.82	3184.72	2657.08	713.665	2988.58	2772.54	2943.72	3500.7
P62244	P62244	RS15A_HUMAN	RPS15A	40S ribosomal protein S15a	1392.67	3384.61	6174.52	5940.25	1285.77	7024.02	3806.32	5167.64	1468.34	700.358	4662.11	3752.77	3796.77	4256.01	1070.4	4518.34	2032.74	753.238	3105.84	1258.11	5419.84	2739.43	5561.32	4387.05	6149.47	1481.79	4645.91	4198.18	4796.56	5669.95
P62249	P62249	RS16_HUMAN	RPS16	40S ribosomal protein S16	1054.89	2427.64	4043.04	4124.02	987.395	4804.65	2632.19	4021.11	701.561	824.898	3930.99	3292.48	3080.61	3054.14	1043.25	2859.37	1046.96	435.884	2772.07	647.77	3890.24	2440.35	4073.2	3882.72	3608.56	958.294	3489.6	3384.72	3422.96	3540.78
P62256	P62256	UBE2H_HUMAN	UBE2H	Ubiquitin-conjugating enzyme E2 H						145.681		125.439					418.66								182.045		280.216	116.538	75.978		176.449		108.407	595.091
P62258	P62258	1433E_HUMAN	YWHAE	14-3-3 protein epsilon	590.449	1828.82	2435.86	870.902	1476.67	2457.77	2862.76	2545	684.194	711.281	2537	2536.59	3428.79	3238.59	1499.84	2310.94	1156.79	990.852	1688.58	813.025	2645.66	2520.11	2459.41	3038.22	1792.4	566.973	2706.85	1945.01	2847.34	3232.82
P62263	P62263	RS14_HUMAN	RPS14	40S ribosomal protein S14	1213.85	2309.61	4678.44	4466.22	801.837	4094.53	2507.19	3665.03	842.203	709.515	3090.51	3061.1	3147.11	2971.44	312.427	2697.7	837.458	731.322	2904.39	331.733	2984.12	2391.55	4297.13	3686.17	3104.35	819.747	3250.72	3235.36	2980.66	3432.1
P62266	P62266	RS23_HUMAN	RPS23	40S ribosomal protein S23	976.311	1373.8	2630.4	1834.76	636.66	2639.03	1537.6	1523.84	311.682	729.59	1868.19	1289.98	1719.97	1892.2	975.246	1638.04	320.587	296.724	1989.48	528.135	2043.9	1028.19	2195.45	1991.8	1596.23	745.949	1934.3	1434.65	1466.68	2193.4
P62269	P62269	RS18_HUMAN	RPS18	40S ribosomal protein S18	539.36	2506.08	3958.73	3606.13	1192.04	4089.61	2299.17	4014.05	668.3	586.237	3775.21	3384.61	3316.51	3122.86	502.282	3277.53	1095.26	632.418	2191.29	808.527	3009.23	1846.21	3187.02	3075.08	2926.32	934.959	3537.5	3071.85	2774.78	3538.74
P62273	P62273	RS29_HUMAN	RPS29	40S ribosomal protein S29		912.194	759.912	1768.73		1496.39	927.984	310.749	175.775		466.141	461.511	700.708	436.463		418.899			650.86		707.611	394.521	847.167	1428.83	974.48		699.835	840.201	830.191	1184.68
P62277	P62277	RS13_HUMAN	RPS13	40S ribosomal protein S13	1149.04	3462.53	7310.06	7665.22	1852.95	7346.82	4096.7	6765.38	1974.95	1500.33	5134.41	5568.24	4786.83	4726.51	1125.99	6051.53	2093.06	1809.02	3815.92	1499.22	4715.12	3322.91	5583.24	5319.32	5034.08	1625.33	5777.92	4575.41	4249.39	5617.69
P62280	P62280	RS11_HUMAN	RPS11	40S ribosomal protein S11	1279.85	2182.37	3855.63	3326.44	826.821	3843.32	2247.52	3807.81	1558.62	892.723	2498.3	2920.84	3171.43	3545.74	1108.3	3333.36	1289.66	776.888	2665.41	973.11	3023.11	2106.9	3267.83	3709.85	3116.56	1291.3	3858.22	2578.55	2732.18	3071.19
P62304	P62304	RUXE_HUMAN	SNRPE	Small nuclear ribonucleoprotein E			126.337	242.672		219.364							348.768					203.34	169.748		153.697	211.843		301.809	125.683					
P62310	P62310	LSM3_HUMAN	LSM3	U6 snRNA-associated Sm-like protein LSm3		105.139	406.768	15.8643		396.768	365.219		329.018	490.42	331.629	346.147	529.853	114.289	465.888	485.043	94.0896	249.133	267.868	351.475	387.538	340.875	257.294	394.206	239.677		352.655	202.349	353.996	165.577
P62312	P62312	LSM6_HUMAN	LSM6	U6 snRNA-associated Sm-like protein LSm6			344.46	454.646		273.448	343.345	518.526	250.986	155.168	440.277	328.455	259.068	790.54	593.939	517.602			283.739		370.738	232.994	437.659	484.756	263.833	355.243	428.335	453.464	373.764	432.786
P62314	P62314	SMD1_HUMAN	SNRPD1	Small nuclear ribonucleoprotein Sm D1	1083.34	254.483	423.422	470.002	389.908	500.111	1042.66	500.5	517.029	514.771	490.752	366.105	272.993	457.633	843.463	326.866		376.771	653.279	231.584	305.239	424.809	439.978	465.313	349.655	362.493	454.1	252.279	123.783	243.285
P62316	P62316	SMD2_HUMAN	SNRPD2	Small nuclear ribonucleoprotein Sm D2			680.311	654.793		1057.03	1206.03	467.937	1244.54	1180.52	1052.78	1245.44	889.888	1033.58	1077.8	971.719	248.154	893.043	928.623	504.017	222.347	923.992	676.206	1646.54	944.116	1390.9	993.377	887.699	1380.64	804.126
P62318	P62318	SMD3_HUMAN	SNRPD3	Small nuclear ribonucleoprotein Sm D3	1047.3	448.525	641.221	704.882	78.0515	566.651	1225.45	1000.33	785.388	439.627	663.23	745.307	958.219	394.811	1202.62	611.179	690.133	954.174	1037.42	749.769		1006.95	906.177	440.504	521.859	395.182	958.031	603.265	354.413	857.982
P62328	P62328	TYB4_HUMAN	TMSB4X	Thymosin beta-4	370.691	1372.66	1884.8	613.7	479.807	1802.55	2585.05	2120.59	721.592	516.157	3774.29	3904.77	7594.45	1953.24	1079.14	4011.17	1454.09	409.222	477.111	384.141	2093.74	1467.89	1345.79	1247.32	609.278	411.744	1199.03	653.983	2197.58	2915.84
P62330	P62330	ARF6_HUMAN	ARF6	ADP-ribosylation factor 6		337.544	219.048		635.671	432.193	662.25	300.358	395.938		560.759	711.909	313.276	467.527		808.87		107.394	454.311	127.49	523.801	446.975	550.125	434.673	730.861	140.236	429.523	709.691	349.695	438.634
P62333	P62333	PRS10_HUMAN	PSMC6	26S proteasome regulatory subunit 10B	449.541	426.282	573.627	639.58		433.998	479.43	416.407	279.869	257.403	386.357	332.213	477.747	465.763	257.496	426.701	71.5065	250.466	534.734	615.273	612.926	655.512	517.505	584.332	391.311	380.892	519.967	567.896	499.884	598.314
